C500: ハングル音節セシウム
C501: ハングル音節Sseub
C502: ハングルシラブルセブ
C503: ハングル音節Sseus
C504: ハングル音節Sseuss
C505: ハングル音節スン
C506: ハングル音節Sseuj
C507: ハングル音節Sseuc
C508: ハングル音節セク
C509: ハングル音節
C50A: ハングル音節接音
C50B: ハングル音節Sseuh
C50C: ハングル音節シシ
C50D: ハングル音節文字
C50E: ハングル音節文字
C50F: ハングル音節シグ
C510: ハングル音節シン
C511: ハングル音節シンシ
C512: ハングル音節シン
C513: ハングル音節サイズ
C514: ハングル音節シシル
C515: ハングル音節記号
C516: ハングル音節シルム
C517: ハングル音節Ssyilb
C518: ハングル音節シシル
C519: ハングル音節シルト
C51A: ハングル音節シープ
C51B: ハングル音節シリル
C51C: ハングル音節シム
C51D: ハングル音節サイボ
C51E: ハングル音節Ssyib
C51F: ハングル音節シシス
C520: ハングル音節シシス
C521: ハングル音節Ssying
C522: ハングル音節シシィ
C523: ハングル音節シック
C524: ハングル音節シック
C525: ハングル音節記号
C526: ハングル音節記号
C527: ハングル音節記号
C528: ハングル音節Ssi
C529: ハングル音節記号
C52A: ハングル音節記号
C52B: ハングル音節ssigs
C52C: ハングル音節シン
C52D: ハングル音節シンシ
C52E: ハングル音節シン
C52F: ハングル音節Sid
C530: ハングル音節Ssil
C531: ハングル音節文字
C532: ハングル音節Ssilm
C533: ハングル音節Ssilb
C534: ハングル音節文字列
C535: ハングル音節Ssilt
C536: ハングル音節Ssilp
C537: ハングル音節Ssilh
C538: ハングル音節文字列
C539: ハングル音節Ssib
C53A: ハングル音節Ssib
C53B: ハングル音節語Ssis
C53C: ハングル音節Ssiss
C53D: ハングル音節Ssing
C53E: ハングル音節Ssij
C53F: ハングル音節シック
C540: ハングル音節Sik
C541: ハングル音節座
C542: ハングル音節一口
C543: ハングル音節Ssih
C544: ハングル音節A
C545: ハングル音節Ag
C546: ハングル音節Agg
C547: ハングル音節エッグ
C548: ハングル音節
C549: ハングル音節Anj
C54A: ハングル音節アン
C54B: ハングル音節広告
C54C: ハングル音節アル
C54D: ハングル音節アルグ
C54E: ハングル音節語
C54F: ハングル音節Alb
C550: ハングル音節アルス
C551: ハングル音節アルト
C552: ハングル音節アルプス
C553: ハングル音節アル
C554: ハングル音節Am
C555: ハングル音節Ab
C556: ハングル音節Abs
C557: ハングル音節名
C558: ハングル音節尻
C559: ハングル音節Ang
C55A: ハングル音節Aj
C55B: ハングル音節Ac
C55C: ハングル音節語Ak
C55D: ハングル音節
C55E: ハングル音節Ap
C55F: ハングル音節ああ
C560: ハングル音節Ae
C561: ハングル音節AEG
C562: ハングル音節エッグ
C563: ハングル音節エッグ
C564: ハングル音節Aen
C565: ハングル音節Aenj
C566: ハングル音節アーン
C567: ハングル音節
C568: ハングル音節アエル
C569: ハングル音節Aelg
C56A: ハングル音節Aelm
C56B: ハングル音節Aelb
C56C: ハングル音節Aels
C56D: ハングル音節アルト
C56E: ハングル音節エイプ
C56F: ハングル音節アール
C570: ハングル音節語
C571: ハングル音節Aeb
C572: ハングル音節羊
C573: ハングル音節Aes
C574: ハングル音節
C575: ハングル音節アーン
C576: ハングル音節Aej
C577: ハングル音節AEC
C578: ハングル音節エーク
C579: ハングル音節Aet
C57A: ハングル音節エイプ
C57B: ハングル音節アエ
C57C: ハングル音節雅
C57D: ハングル音節ヤグ
C57E: ハングル音節Yagg
C57F: ハングル音節Yags
C580: ハングル音節ヤン
C581: ハングル音節Yanj
C582: ハングル音節ヤン
C583: ハングル音節ヤド
