C800: ハングル音節Jeo
C801: ハングル音節ジョグ
C802: ハングル音節文字
C803: ハングル音節ジョグ
C804: ハングル音節チョン
C805: ハングル音節全音
C806: ハングル音節チョン
C807: ハングル音節
C808: ハングル音節Jeol
C809: ハングル音節全曲
C80A: ハングル音節全文
C80B: ハングル音節全集
C80C: ハングル音節Jeols
C80D: ハングル音節Jeolt
C80E: ハングル音節Jeolp
C80F: ハングル音節全羅
C810: ハングル音節文字
C811: ハングル音節文字
C812: ハングル音節ジョブ
C813: ハングル音節ヒョウ
C814: ハングル音節文字
C815: ハングル音節チョン
C816: ハングル音節
C817: ハングル音節ジョック
C818: ハングル音節
C819: ハングル音節
C81A: ハングル音節ジープ
C81B: ハングル音節
C81C: ハングル音節語Je
C81D: ハングル音節ジェグ
C81E: ハングル音節ジェグ
C81F: ハングル音節文字
C820: ハングル音節ジェン
C821: ハングル音節イェニ
C822: ハングル音節イェン
C823: ハングル音節ジェド
C824: ハングル音節ジェル
C825: ハングル音節Jelg
C826: ハングル音節ジェルム
C827: ハングル音節ジェルブ
C828: ハングル音節ジェル
C829: ハングル音節ジェルト
C82A: ハングル音節
C82B: ハングル音節イェル
C82C: ハングル音節ジェム
C82D: ハングル音節ジェブ
C82E: ハングル音節ジェブ
C82F: ハングル音節Jes
C830: ハングル音節ジェス
C831: ハングル音節eng
C832: ハングル音節語Jej
C833: ハングル音節ジェック
C834: ハングル音節ジェック
C835: ハングル音節ジェット
C836: ハングル音節Jep
C837: ハングル音節ジェフ
C838: ハングル音節Jyeo
C839: ハングル音節文字
C83A: ハングル音節Jyeogg
C83B: ハングル音節文字
C83C: ハングル音節Jyeon
C83D: ハングル音節Jyeonj
C83E: ハングル音節Jyeonh
C83F: ハングル音節文字
C840: ハングル音節Jyeol
C841: ハングル音節Jyeolg
C842: ハングル音節Jyeolm
C843: ハングル音節Jyeolb
C844: ハングル音節文字
C845: ハングル音節Jyeolt
C846: ハングル音節Jyeolp
C847: ハングル音節Jyeolh
C848: ハングル音節文字
C849: ハングル音節Jyeob
C84A: ハングル音節Jyeobs
C84B: ハングル音節Jyeos
C84C: ハングル音節文字
C84D: ハングル音節Jyeong
C84E: ハングル音節Jyeoj
C84F: ハングル音節Jyeoc
C850: ハングル音節Jyeok
C851: ハングル音節Jyeot
C852: ハングル音節Jyeop
C853: ハングル音節Jyeoh
C854: ハングル音節ジェイ
C855: ハングル音節Jyeg
C856: ハングル音節ジェグ
C857: ハングル音節ジグ
C858: ハングル音節文字
C859: ハングル音節Jyenj
C85A: ハングル音節Jyenh
C85B: ハングル音節Jyed
C85C: ハングル音節文字
C85D: ハングル音節Jyelg
C85E: ハングル音節文字
C85F: ハングル音節Jyelb
C860: ハングル音節文字
C861: ハングル音節Jyelt
C862: ハングル音節Jyelp
C863: ハングル音節Jyelh
C864: ハングル音節Jyem
C865: ハングル音節ジェブ
C866: ハングル音節文字
C867: ハングル音節ジェイズ
C868: ハングル音節ジェス
C869: ハングル音節Jyeng
C86A: ハングル音節Jyej
C86B: ハングル音節ジェイク
C86C: ハングル音節Jyek
C86D: ハングル音節文字
C86E: ハングル音節ジープ
C86F: ハングル音節Jyeh
C870: ハングル音節語
C871: ハングル音節ジョグ
C872: ハングル音節ジョグ
C873: ハングル音節ジョグ
C874: ハングル音節Jon
C875: ハングル音節Jonj
C876: ハングル音節Jonh
C877: ハングル音節ジョッド
C878: ハングル音節Jol
C879: ハングル音節ジョルグ
C87A: ハングル音節ジョルム
C87B: ハングル音節ヨルブ
C87C: ハングル音節ジョル
C87D: ハングル音節ジョルト
C87E: ハングル音節Jolp
C87F: ハングル音節ヨル
C880: ハングル音節ジョム
C881: ハングル音節仕事
C882: ハングル音節ジョブ
C883: ハングル音節ジョス
C884: ハングル音節ジョス
C885: ハングル音節ジョン
C886: ハングル音節文字
C887: ハングル音節Joc
C888: ハングル音節ジョク
C889: ハングル音節ジョット
C88A: ハングル音節ジョップ
C88B: ハングル音節Joh
C88C: ハングル音節Jwa
C88D: ハングル音節Jwag
C88E: ハングル音節Jwagg
C88F: ハングル音節Jwags
C890: ハングル音節ユワン
C891: ハングル音節Jwanj
C892: ハングル音節ユワン
C893: ハングル音節Jwad
C894: ハングル音節Jwal
C895: ハングル音節Jwalg
C896: ハングル音節Jwalm
C897: ハングル音節Jwalb
C898: ハングル音節Jwals
C899: ハングル音節Jwalt
C89A: ハングル音節Jwalp
C89B: ハングル音節Jwalh
C89C: ハングル音節Jwam
C89D: ハングル音節Jwab
C89E: ハングル音節Jwab
C89F: ハングル音節Jwas
C8A0: ハングル音節Jwass
C8A1: ハングル音節Jwang
C8A2: ハングル音節Jwaj
C8A3: ハングル音節Jwac
C8A4: ハングル音節Jwak
C8A5: ハングル音節Jwat
C8A6: ハングル音節Jwap
C8A7: ハングル音節Jwah
C8A8: ハングル音節Jwae
C8A9: ハングル音節Jwaeg
C8AA: ハングル音節Jwaegg
C8AB: ハングル音節Jwaegs
C8AC: ハングル音節Jwaen
C8AD: ハングル音節Jwaenj
C8AE: ハングル音節Jwaenh
C8AF: ハングル音節Jwaed
C8B0: ハングル音節Jwael
C8B1: ハングル音節Jwaelg
C8B2: ハングル音節Jwaelm
C8B3: ハングル音節Jwaelb
C8B4: ハングル音節Jwaels
C8B5: ハングル音節Jwaelt
C8B6: ハングル音節Jwaelp
C8B7: ハングル音節Jwaelh
C8B8: ハングル音節Jwaem
C8B9: ハングル音節Jwaeb
C8BA: ハングル音節Jwaebs
C8BB: ハングル音節Jwaes
C8BC: ハングル音節Jwaess
C8BD: ハングル音節Jwaeng
C8BE: ハングル音節Jwaej
C8BF: ハングル音節Jwaec
C8C0: ハングル音節Jwaek
C8C1: ハングル音節Jwaet
C8C2: ハングル音節Jwaep
C8C3: ハングル音節Jwaeh
C8C4: ハングル音節ジョー
C8C5: ハングル音節ジョーグ
C8C6: ハングル音節ジョーグ
C8C7: ハングル音節ジョグ
C8C8: ハングル音節Joen
C8C9: ハングル音節Joenj
C8CA: ハングル音節ヨエン
C8CB: ハングル音節結合
C8CC: ハングル音節ジョエル
C8CD: ハングル音節ヨエルグ
C8CE: ハングル音節ヨエル
C8CF: ハングル音節ヨエルブ
C8D0: ハングル音節ジョエル
C8D1: ハングル音節ジョエル
C8D2: ハングル音節ジョイント
C8D3: ハングル音節ジョエル
C8D4: ハングル音節ジョム
C8D5: ハングル音節ジョーブ
C8D6: ハングル音節ジョー
C8D7: ハングル音節ジョーズ
C8D8: ハングル音節ジョス
C8D9: ハングル音節Joeng
C8DA: ハングル音節Joej
C8DB: ハングル音節ジョック
C8DC: ハングル音節ジョーク
C8DD: ハングル音節ジョエット
C8DE: ハングル音節ジョープ
C8DF: ハングル音節ジョー
C8E0: ハングル音節女
C8E1: ハングル音節ジョグ
C8E2: ハングル音節ジョグ
C8E3: ハングル音節ジョグ
C8E4: ハングル音節Jyon
C8E5: ハングル音節Jyonj
C8E6: ハングル音節Jyonh
C8E7: ハングル音節ジョード
C8E8: ハングル音節Jyol
C8E9: ハングル音節Jyolg
C8EA: ハングル音節Jyolm
C8EB: ハングル音節Jyolb
C8EC: ハングル音節ジョイルズ
C8ED: ハングル音節Jyolt
C8EE: ハングル音節Jyolp
C8EF: ハングル音節Jyolh
C8F0: ハングル音節ジョム
C8F1: ハングル音節ジョブ
C8F2: ハングル音節ジョブ
C8F3: ハングル音節ジョス
C8F4: ハングル音節ジョイス
C8F5: ハングル音節Jyong
C8F6: ハングル音節Jyoj
C8F7: ハングル音節ジョック
C8F8: ハングル音節Jyok
C8F9: ハングル音節ジョット
C8FA: ハングル音節ジョップ
C8FB: ハングル音節ジョー
C8FC: ハングル音節Ju
C8FD: ハングル音節水差し
C8FE: ハングル音節ジャグ
C8FF: ハングル音節水差し
