CB00: ハングル音節Jjwaels
CB01: ハングル音節語Jjwaelt
CB02: ハングル音節Jjwaelp
CB03: ハングル音節Jjwaelh
CB04: ハングル音節語Jjwaem
CB05: ハングル音節ジャワブ
CB06: ハングル音節Jjwaebs
CB07: ハングル音節Jjwaes
CB08: ハングル音節Jjwaess
CB09: ハングル音節Jjwaeng
CB0A: ハングル音節Jjwaej
CB0B: ハングル音節Jjwaec
CB0C: ハングル音節Jjwaek
CB0D: ハングル音節Jjwaet
CB0E: ハングル音節Jjwaep
CB0F: ハングル音節Jjwaeh
CB10: ハングル音節ジョー
CB11: ハングル音節ジョーグ
CB12: ハングル音節ジョエッグ
CB13: ハングル音節ジョーグ
CB14: ハングル音節助詞
CB15: ハングル音節ジョジョ
CB16: ハングル音節Jjoenh
CB17: ハングル音節喜び
CB18: ハングル音節ジョジョ
CB19: ハングル音節Jjoelg
CB1A: ハングル音節文字
CB1B: ハングル音節Jjoelb
CB1C: ハングル音節ジョジョ
CB1D: ハングル音節ジョジョ
CB1E: ハングル音節ジョイント
CB1F: ハングル音節ジョジョ
CB20: ハングル音節ジョジョム
CB21: ハングル音節Jjoeb
CB22: ハングル音節ジョー
CB23: ハングル音節ジョー
CB24: ハングル音節ジョイス
CB25: ハングル音節Jjoeng
CB26: ハングル音節ジョイ
CB27: ハングル音節ジョジョ
CB28: ハングル音節ジョジョ
CB29: ハングル音節ジョジョ
CB2A: ハングル音節ジョープ
CB2B: ハングル音節ジョー
CB2C: ハングル音節女
CB2D: ハングル音節Jjyog
CB2E: ハングル音節Jjyogg
CB2F: ハングル音節ジョグ
CB30: ハングル音節語Jjyon
CB31: ハングル音節
CB32: ハングル音節Jjyonh
CB33: ハングル音節ジョジョ
CB34: ハングル音節Jjyol
CB35: ハングル音節Jyyolg
CB36: ハングル音節Jyyolm
CB37: ハングル音節Jjyolb
CB38: ハングル音節Jjyols
CB39: ハングル音節Jjyolt
CB3A: ハングル音節Jjyolp
CB3B: ハングル音節Jjyolh
CB3C: ハングル音節Jjyom
CB3D: ハングル音節Jjyob
CB3E: ハングル音節ジョブ
CB3F: ハングル音節ジョジョ
CB40: ハングル音節ジョジョ
CB41: ハングル音節語
CB42: ハングル音節ジョジョ
CB43: ハングル音節語彙
CB44: ハングル音節Jjyok
CB45: ハングル音節ジョジョ
CB46: ハングル音節Jjyop
CB47: ハングル音節語
CB48: ハングル音節語
CB49: ハングル音節ジャグ
CB4A: ハングル音節ジャグ
CB4B: ハングル音節ジャグ
CB4C: ハングル音節語
CB4D: ハングル音節語
CB4E: ハングル音節ジュン
CB4F: ハングル音節ジャッジ
CB50: ハングル音節Jjul
CB51: ハングル音節Jjulg
CB52: ハングル音節Jjulm
CB53: ハングル音節Jjulb
CB54: ハングル音節Jjuls
CB55: ハングル音節語Jjult
CB56: ハングル音節Jjulp
CB57: ハングル音節ジュール
CB58: ハングル音節ジャム
CB59: ハングル音節ジャブ
CB5A: ハングル音節ジャブ
CB5B: ハングル音節語
CB5C: ハングル音節ユス
CB5D: ハングル音節チュン
CB5E: ハングル音節Jjuj
CB5F: ハングル音節Jjuc
CB60: ハングル音節Jjuk
CB61: ハングル音節Jjut
CB62: ハングル音節Jjup
CB63: ハングル音節Jjuh
CB64: ハングル音節Jjweo
CB65: ハングル音節Jjweog
CB66: ハングル音節Jjweogg
CB67: ハングル音節Jjweogs
CB68: ハングル音節Jjweon
CB69: ハングル音節Jjweonj
CB6A: ハングル音節Jjweonh
CB6B: ハングル音節Jjweod
CB6C: ハングル音節Jjweol
CB6D: ハングル音節Jjweolg
CB6E: ハングル音節Jjweolm
CB6F: ハングル音節Jjweolb
CB70: ハングル音節Jjweols
CB71: ハングル音節Jjweolt
CB72: ハングル音節Jjweolp
CB73: ハングル音節Jjweolh
CB74: ハングル音節Jjweom
CB75: ハングル音節Jjweob
CB76: ハングル音節Jjweobs
CB77: ハングル音節Jjweos
CB78: ハングル音節Jjweoss
CB79: ハングル音節Jjweong
CB7A: ハングル音節Jjweoj
CB7B: ハングル音節Jjweoc
CB7C: ハングル音節Jjweok
CB7D: ハングル音節Jjweot
CB7E: ハングル音節Jjweop
CB7F: ハングル音節Jjweoh
CB80: ハングル音節Jjwe
CB81: ハングル音節Jjweg
CB82: ハングル音節Jjwegg
CB83: ハングル音節Jjwegs
CB84: ハングル音節語Jjwen
CB85: ハングル音節Jjwenj
CB86: ハングル音節Jjwenh
CB87: ハングル音節Jjwed
CB88: ハングル音節文字
CB89: ハングル音節Jjwelg
CB8A: ハングル音節Jjwelm
CB8B: ハングル音節Jjwelb
CB8C: ハングル音節Jjwels
CB8D: ハングル音節文字
CB8E: ハングル音節Jjwelp
CB8F: ハングル音節Jjwelh
