CC00: ハングル音節ジジム
CC01: ハングル音節Jjyib
CC02: ハングル音節Jjyibs
CC03: ハングル音節語Jjyis
CC04: ハングル音節Jjyiss
CC05: ハングル音節Jjying
CC06: ハングル音節Jjyij
CC07: ハングル音節Jjyic
CC08: ハングル音節Jjyik
CC09: ハングル音節Jjyit
CC0A: ハングル音節Jjyip
CC0B: ハングル音節Jjyih
CC0C: ハングル音節文字
CC0D: ハングル音節ジグ
CC0E: ハングル音節ジグ
CC0F: ハングル音節ジグ
CC10: ハングル音節Jjin
CC11: ハングル音節名人
CC12: ハングル音節
CC13: ハングル音節Jjid
CC14: ハングル音節ジル
CC15: ハングル音節Jjilg
CC16: ハングル音節Jjilm
CC17: ハングル音節Jjilb
CC18: ハングル音節文字
CC19: ハングル音節ジルト
CC1A: ハングル音節Jjilp
CC1B: ハングル音節チル
CC1C: ハングル音節ジム
CC1D: ハングル音節ジブ
CC1E: ハングル音節ジブ
CC1F: ハングル音節文字
CC20: ハングル音節Jjiss
CC21: ハングル音節景
CC22: ハングル音節Jjij
CC23: ハングル音節Jjic
CC24: ハングル音節Jjik
CC25: ハングル音節Jjit
CC26: ハングル音節Jjip
CC27: ハングル音節Jjih
CC28: ハングル音節Ca
CC29: ハングル音節カグ
CC2A: ハングル音節Cagg
CC2B: ハングル音節カグ
CC2C: ハングル音節缶
CC2D: ハングル音節文字
CC2E: ハングル音節カン
CC2F: ハングル音節パッド
CC30: ハングル音節cal
CC31: ハングル音節Calg
CC32: ハングル音節平静
CC33: ハングル音節子牛
CC34: ハングル音節記号
CC35: ハングル音節カルト
CC36: ハングル音節コープ
CC37: ハングル音節カルー
CC38: ハングル音節カム
CC39: ハングル音節キャブ
CC3A: ハングル音節キャブ
CC3B: ハングル音節Cas
CC3C: ハングル音節キャス
CC3D: ハングル音節詠唱
CC3E: ハングル音節文字
CC3F: ハングル音節語音
CC40: ハングル音節朴
CC41: ハングル音節猫
CC42: ハングル音節キャップ
CC43: ハングル音節文字
CC44: ハングル音節Cae
CC45: ハングル音節文字
CC46: ハングル音節ケッグ
CC47: ハングル音節頬
CC48: ハングル音節カーン
CC49: ハングル音節カエンジ
CC4A: ハングル音節カーン
CC4B: ハングル音節
CC4C: ハングル音節ケール
CC4D: ハングル音節カエルグ
CC4E: ハングル音節カラム
CC4F: ハングル音節カエルブ
CC50: ハングル音節カエル
CC51: ハングル音節カルト
CC52: ハングル音節Caelp
CC53: ハングル音節カエル
CC54: ハングル音節Caem
CC55: ハングル音節ケーブ
CC56: ハングル音節
CC57: ハングル音節
CC58: ハングル音節
CC59: ハングル音節eng
CC5A: ハングル音節ケイジ
CC5B: ハングル音節盲目
CC5C: ハングル音節頬
CC5D: ハングル音節ケート
CC5E: ハングル音節ケープ
CC5F: ハングル音節カエ
CC60: ハングル音節文字
CC61: ハングル音節サイアグ
CC62: ハングル音節Cyagg
CC63: ハングル音節サイグ
CC64: ハングル音節シアン
CC65: ハングル音節シアン
CC66: ハングル音節シアン
CC67: ハングル音節Cyad
CC68: ハングル音節シアル
CC69: ハングル音節Cyalg
CC6A: ハングル音節文字
CC6B: ハングル音節Cyalb
CC6C: ハングル音節シアル
CC6D: ハングル音節シルト
CC6E: ハングル音節チャープ
CC6F: ハングル音節Cyalh
CC70: ハングルシラブルシム
CC71: ハングル音節サイアブ
CC72: ハングルシラブル
CC73: ハングル音節シリアス
CC74: ハングル音節シリアス
CC75: ハングル音節シアン
CC76: ハングル音節文字
CC77: ハングルシラブルサイアック
CC78: ハングル音節シーク
CC79: ハングル音節シート
CC7A: ハングル音節文字列
CC7B: ハングル音節シア
CC7C: ハングル音節文字
CC7D: ハングル音節文字
CC7E: ハングル音節チャエッグ
CC7F: ハングル音節記号
CC80: ハングル音節文字
CC81: ハングル音節Cyaenj
CC82: ハングル音節Cyaenh
CC83: ハングル音節Cyaed
CC84: ハングル音節シエル
CC85: ハングル音節記号
CC86: ハングル音節記号
CC87: ハングル音節Cyaelb
CC88: ハングル音節シエル
CC89: ハングル音節Cyaelt
CC8A: ハングル音節シャープ
CC8B: ハングル音節Cyaelh
CC8C: ハングル音節記号
CC8D: ハングル音節チャイブ
CC8E: ハングル音節文字
CC8F: ハングル音節Cyaes
CC90: ハングル音節文字
CC91: ハングル音節陳
CC92: ハングル音節Cyaej
CC93: ハングル音節文字
CC94: ハングル音節チェク
CC95: ハングル音節シャイア
CC96: ハングル音節文字
CC97: ハングル音節文字
CC98: ハングル音節Ceo
CC99: ハングル音節Ceog
CC9A: ハングル音節Ceogg
CC9B: ハングル音節コグ
CC9C: ハングル音節記号
CC9D: ハングル音節図
CC9E: ハングル音節記号
CC9F: ハングル音節
CCA0: ハングル音節記号
CCA1: ハングル音節文字
CCA2: ハングル音節文字
CCA3: ハングル音節記号
CCA4: ハングル音節記号
CCA5: ハングル音節文字
CCA6: ハングル音節チェルプ
CCA7: ハングル音節文字
CCA8: ハングル音節セオム
CCA9: ハングル音節語頭
CCAA: ハングル音節セオブ
CCAB: ハングル音節記号
CCAC: ハングル音節文字
CCAD: ハングル音節記号
CCAE: ハングル音節文字
CCAF: ハングル音節Ceoc
CCB0: ハングル音節ok
CCB1: ハングル音節
CCB2: ハングル音節
CCB3: ハングル音節長
CCB4: ハングル音節文字
CCB5: ハングル音節文字
CCB6: ハングル音節文字
CCB7: ハングル音節文字
CCB8: ハングル音節Cen
CCB9: ハングル音節語
CCBA: ハングル音節アクセント
CCBB: ハングル音節
CCBC: ハングル音節セル
CCBD: ハングル音節セルク
CCBE: ハングル音節Celm
CCBF: ハングル音節Celb
CCC0: ハングル音節セル
CCC1: ハングル音節ケルト
CCC2: ハングル音節ケルプ
CCC3: ハングル音節チェル
CCC4: ハングル音節語
CCC5: ハングル音節セブ
CCC6: ハングル音節セブ
CCC7: ハングル音節Ces
CCC8: ハングル音節文字
CCC9: ハングル音節eng
CCCA: ハングル音節文字
CCCB: ハングル音節Cec
CCCC: ハングル音節頬
CCCD: ハングル音節ケット
CCCE: ハングル音節セップ
CCCF: ハングル音節文字
CCD0: ハングル音節Cyeo
CCD1: ハングル音節キヨグ
CCD2: ハングル音節Cyeogg
CCD3: ハングル音節キヨグ
CCD4: ハングル音節シヨン
CCD5: ハングル音節Cyeonj
CCD6: ハングル音節ション
CCD7: ハングル音節キョウト
CCD8: ハングル音節シオル
CCD9: ハングル音節Cyeolg
CCDA: ハングル音節キルム
CCDB: ハングル音節Cyeolb
CCDC: ハングル音節シオール
CCDD: ハングル音節シヨルト
CCDE: ハングル音節Cyeolp
CCDF: ハングル音節Cyeolh
CCE0: ハングル音節シヨム
CCE1: ハングル音節シオブ
CCE2: ハングル音節シオブ
CCE3: ハングル音節キヨ
CCE4: ハングル音節キオス
CCE5: ハングル音節チョン
CCE6: ハングル音節Cyeoj
CCE7: ハングル音節シヨック
CCE8: ハングル音節Cyeok
CCE9: ハングル音節キヨ
CCEA: ハングル音節キヨップ
CCEB: ハングル音節Cyeoh
CCEC: ハングル音節Cye
CCED: ハングル音節文字
CCEE: ハングル音節Cyegg
CCEF: ハングル音節語
CCF0: ハングル音節シーン
CCF1: ハングル音節Cyenj
CCF2: ハングル音節シーン
CCF3: ハングルシラブルシード
CCF4: ハングル音節シエル
CCF5: ハングル音節Cyelg
CCF6: ハングル音節シルム
CCF7: ハングル音節シエルブ
CCF8: ハングル音節シエル
CCF9: ハングル音節シルト
CCFA: ハングル音節サイプ
CCFB: ハングル音節シエル
CCFC: ハングル音節
CCFD: ハングル音節シブ
CCFE: ハングル音節シブ
CCFF: ハングル音節目
