CD00: ハングル音節チェス
CD01: ハングル音節Cyeng
CD02: ハングル音節チェジュ
CD03: ハングル音節シック
CD04: ハングル音節チェク
CD05: ハングル音節
CD06: ハングル音節シープ
CD07: ハングル音節チェ
CD08: ハングル音節共同
CD09: ハングル音節コグ
CD0A: ハングル音節コッグ
CD0B: ハングル音節コグ
CD0C: ハングル音節コン
CD0D: ハングル音節コンジュ
CD0E: ハングル音節コン
CD0F: ハングル音節タラ
CD10: ハングル音節コル
CD11: ハングル音節コルク
CD12: ハングル音節列
CD13: ハングル音節コルブ
CD14: ハングル音節列
CD15: ハングル音節コルト
CD16: ハングル音節コルプ
CD17: ハングル音節コル
CD18: ハングル音節コム
CD19: ハングル音節コブ
CD1A: ハングル音節コブ
CD1B: ハングル音節コス
CD1C: ハングル音節コス
CD1D: ハングル音節コング
CD1E: ハングル音節文字
CD1F: ハングル音節コック
CD20: ハングル音節コック
CD21: ハングル音節ベビーベッド
CD22: ハングル音節警官
CD23: ハングル音節コー
CD24: ハングル音節Cwa
CD25: ハングル音節Cwag
CD26: ハングル音節Cwagg
CD27: ハングル音節Cwag
CD28: ハングル音節クワン
CD29: ハングル音節クワニ
CD2A: ハングル音節クワン
CD2B: ハングル音節クワッド
CD2C: ハングル音節クワル
CD2D: ハングル音節Cwalg
CD2E: ハングル音節クワルム
CD2F: ハングル音節クワルブ
CD30: ハングル音節クワルス
CD31: ハングル音節クワルト
CD32: ハングル音節クワルプ
CD33: ハングル音節クワル
CD34: ハングル音節クワム
CD35: ハングル音節Cwab
CD36: ハングル音節クワブ
CD37: ハングル音節Cwas
CD38: ハングル音節クワス
CD39: ハングル音節クワン
CD3A: ハングル音節クワイ
CD3B: ハングル音節Cwac
CD3C: ハングル音節Cwak
CD3D: ハングル音節Cwat
CD3E: ハングル音節Cwap
CD3F: ハングル音節語
CD40: ハングル音節クウェ
CD41: ハングル音節Cwaeg
CD42: ハングル音節クウェッグ
CD43: ハングル音節クウェッグ
CD44: ハングル音節クウェン
CD45: ハングル音節クウェニ
CD46: ハングル音節クウェーン
CD47: ハングル音節
CD48: ハングル音節クウェル
CD49: ハングル音節クウェルク
CD4A: ハングル音節クウェルム
CD4B: ハングル音節クウェルブ
CD4C: ハングル音節クウェルズ
CD4D: ハングル音節クウェルト
CD4E: ハングル音節Cwaelp
CD4F: ハングル音節クウェル
CD50: ハングル音節クウェム
CD51: ハングル音節クウェーブ
CD52: ハングル音節Cwaebs
CD53: ハングル音節クウェイズ
CD54: ハングル音節クワス
CD55: ハングル音節クウェン
CD56: ハングル音節クワイ
CD57: ハングル音節Cwaec
CD58: ハングル音節Cwaek
CD59: ハングル音節クウェート
CD5A: ハングル音節Cwaep
CD5B: ハングル音節クウェ
CD5C: ハングル音節コー
CD5D: ハングル音節コグ
CD5E: ハングル音節コッグ
CD5F: ハングル音節コグ
CD60: ハングル音節コーエン
CD61: ハングル音節Coenj
CD62: ハングル音節コーエン
CD63: ハングル音節共学
CD64: ハングルシラブルコイル
CD65: ハングル音節コエルグ
CD66: ハングル音節コーム
CD67: ハングル音節コエルブ
CD68: ハングルシラブルコイル
CD69: ハングル音節コルト
CD6A: ハングル音節コープ
CD6B: ハングル音節コーラ
CD6C: ハングル音節コーム
CD6D: ハングルシラブルコーブ
CD6E: ハングル音節鞘
CD6F: ハングルシラブルコーズ
CD70: ハングル音節コーレス
CD71: ハングル音節Coeng
CD72: ハングル音節Coej
CD73: ハングル音節コーチ
CD74: ハングル音節コーク
CD75: ハングル音節コート
CD76: ハングル音節コープ
CD77: ハングル音節コー
CD78: ハングル音節Cyo
CD79: ハングル音節サイログ
CD7A: ハングル音節Cyogg
CD7B: ハングル音節
CD7C: ハングル音節シロン
CD7D: ハングル音節Cyonj
CD7E: ハングル音節シノ
CD7F: ハングル音節Cyod
CD80: ハングル音節Cyol
CD81: ハングル音節文字
CD82: ハングル音節文字
CD83: ハングル音節Cyolb
CD84: ハングル音節Cyols
CD85: ハングル音節文字
CD86: ハングル音節Cyolp
CD87: ハングル音節文字
CD88: ハングル音節Cyom
CD89: ハングル音節サイオブ
CD8A: ハングル音節サイオブ
CD8B: ハングル音節サイオス
CD8C: ハングル音節Cyoss
CD8D: ハングル音節サイオン
CD8E: ハングル音節Cyoj
CD8F: ハングル音節Cyoc
CD90: ハングル音節Cyok
CD91: ハングル音節Cyot
CD92: ハングル音節シロップ
CD93: ハングル音節サイ
CD94: ハングル音節銅
CD95: ハングル音節カグ
CD96: ハングル音節Cugg
CD97: ハングル音節カグ
CD98: ハングル音節語
CD99: ハングル音節カンジ
CD9A: ハングル音節カンク
CD9B: ハングル音節カッド
CD9C: ハングル音節カル
CD9D: ハングル音節カルグ
CD9E: ハングル音節稈
CD9F: ハングル音節カルブ
CDA0: ハングル音節カル
CDA1: ハングル音節カルト
CDA2: ハングル音節カルプ
CDA3: ハングル音節カルー
CDA4: ハングル音節スペルマ
CDA5: ハングル音節カブ
CDA6: ハングル音節カブス
CDA7: ハングル音節カス
CDA8: ハングル音節カス
CDA9: ハングル音節カン
CDAA: ハングル音節文字
CDAB: ハングル音節Cuc
CDAC: ハングル音節語
CDAD: ハングル音節カット
CDAE: ハングル音節カップ
CDAF: ハングル音節文字
CDB0: ハングル音節Cweo
CDB1: ハングル音節Cweog
CDB2: ハングル音節Cweogg
CDB3: ハングル音節クウィッグ
CDB4: ハングル音節クウィーン
CDB5: ハングル音節Cweonj
CDB6: ハングル音節クウィーン
CDB7: ハングル音節Cweod
CDB8: ハングル音節クウェル
CDB9: ハングル音節Cweolg
CDBA: ハングル音節クウェルム
CDBB: ハングル音節Cweolb
CDBC: ハングル音節カウル
CDBD: ハングル音節Cweolt
CDBE: ハングル音節Cweolp
CDBF: ハングル音節Cweolh
CDC0: ハングル音節クーム
CDC1: ハングル音節Cweob
CDC2: ハングル音節Cweob
CDC3: ハングル音節クレオス
CDC4: ハングル音節クウィオス
CDC5: ハングル音節Cweong
CDC6: ハングル音節クウェイ
CDC7: ハングル音節Cweoc
CDC8: ハングル音節Cweok
CDC9: ハングル音節
CDCA: ハングル音節Cweop
CDCB: ハングル音節Cweoh
CDCC: ハングル音節Cwe
CDCD: ハングル音節クウェグ
CDCE: ハングル音節クウェッグ
CDCF: ハングル音節クウェグ
CDD0: ハングル音節クウェン
CDD1: ハングル音節クウェニ
CDD2: ハングル音節クウェン
CDD3: ハングル音節Cwed
CDD4: ハングル音節クウェル
CDD5: ハングル音節語Cwelg
CDD6: ハングル音節冠
CDD7: ハングル音節Cwelb
CDD8: ハングル音節クウェル
CDD9: ハングル音節クヴェット
CDDA: ハングル音節クロップ
CDDB: ハングル音節Cwelh
CDDC: ハングル音節クェム
CDDD: ハングル音節Cweb
CDDE: ハングル音節ウェブ
CDDF: ハングル音節Cwes
CDE0: ハングル音節クス
CDE1: ハングル音節クウェン
CDE2: ハングル音節クウェイ
CDE3: ハングル音節Cwec
CDE4: ハングル音節Cwek
CDE5: ハングル音節クウェット
CDE6: ハングル音節Cwep
CDE7: ハングル音節クウェ
CDE8: ハングル音節Cwi
CDE9: ハングル音節Cwig
CDEA: ハングル音節Cwigg
CDEB: ハングルシラブルウィッグ
CDEC: ハングル音節クウィン
CDED: ハングル音節クウィニ
CDEE: ハングル音節クウィン
CDEF: ハングル音節Cwid
CDF0: ハングル音節クイル
CDF1: ハングル音節Cwilg
CDF2: ハングル音節クウィルム
CDF3: ハングル音節Cwilb
CDF4: ハングル音節クイルズ
CDF5: ハングル音節切符
CDF6: ハングル音節Cwilp
CDF7: ハングル音節クイル
CDF8: ハングル音節クウィム
CDF9: ハングル音節Cwib
CDFA: ハングル音節Cwib
CDFB: ハングル音節Cwis
CDFC: ハングル音節クウィス
CDFD: ハングル音節カッティング
CDFE: ハングル音節Cwij
CDFF: ハングル音節Cwic
