CE00: ハングル音節Cwik
CE01: ハングル音節スイッチ
CE02: ハングル音節Cwip
CE03: ハングル音節Cwih
CE04: ハングル音節Cyu
CE05: ハングル音節Cyug
CE06: ハングル音節Cyugg
CE07: ハングル音節Cyugs
CE08: ハングル音節シヌン
CE09: ハングル音節Cyunj
CE0A: ハングル音節シヌン
CE0B: ハングル音節シッド
CE0C: ハングル音節Cyul
CE0D: ハングル音節Cyulg
CE0E: ハングル音節シルム
CE0F: ハングル音節Cyulb
CE10: ハングル音節Cyuls
CE11: ハングル音節シルト
CE12: ハングル音節シロップ
CE13: ハングル音節チュール
CE14: ハングル音節シム
CE15: ハングル音節サイブ
CE16: ハングル音節サイブ
CE17: ハングル音節シラス
CE18: ハングル音節シラス
CE19: ハングル音節チョン
CE1A: ハングル音節Cyuj
CE1B: ハングル音節Cyuc
CE1C: ハングル音節Cyuk
CE1D: ハングル音節
CE1E: ハングル音節文字列
CE1F: ハングル音節チュウ
CE20: ハングル音節
CE21: ハングル音節セグ
CE22: ハングル音節セグ
CE23: ハングル音節セグス
CE24: ハングル音節
CE25: ハングル音節
CE26: ハングル音節セウン
CE27: ハングル音節
CE28: ハングル音節
CE29: ハングル音節文字
CE2A: ハングル音節セラム
CE2B: ハングル音節名
CE2C: ハングル音節
CE2D: ハングル音節セルト
CE2E: ハングル音節頭
CE2F: ハングル音節記号
CE30: ハングル音節セム
CE31: ハングル音節
CE32: ハングル音節カブス
CE33: ハングル音節記号
CE34: ハングル音節セウス
CE35: ハングル音節語
CE36: ハングル音節
CE37: ハングル音節コック
CE38: ハングル音節チュック
CE39: ハングル音節セウト
CE3A: ハングル音節
CE3B: ハングル音節
CE3C: ハングル音節記号
CE3D: ハングル音節文字
CE3E: ハングル音節文字
CE3F: ハングル音節文字
CE40: ハングル音節シリン
CE41: ハングル音節文字
CE42: ハングル音節文字
CE43: ハングルシラブルシイド
CE44: ハングル音節シリル
CE45: ハングル音節文字
CE46: ハングル音節キリル語
CE47: ハングル音節
CE48: ハングル音節サイクル
CE49: ハングル音節シルト
CE4A: ハングル音節シロップ
CE4B: ハングル音節キリル
CE4C: ハングル音節シム
CE4D: ハングル音節シブ
CE4E: ハングル音節シブ
CE4F: ハングル音節シリス
CE50: ハングル音節シリス
CE51: ハングル音節
CE52: ハングル音節文字
CE53: ハングル音節シック
CE54: ハングル音節シック
CE55: ハングル音節シト
CE56: ハングル音節サイプ
CE57: ハングル音節文字
CE58: ハングル音節語Ci
CE59: ハングル音節たばこ
CE5A: ハングル音節Cigg
CE5B: ハングル音節たばこ
CE5C: ハングル音節シン
CE5D: ハングル音節Cinj
CE5E: ハングル音節シン
CE5F: ハングル音節酸
CE60: ハングル音節シル
CE61: ハングル音節絹
CE62: ハングル音節映画
CE63: ハングル音節Cilb
CE64: ハングル音節記号
CE65: ハングル音節チルト
CE66: ハングル音節Cilp
CE67: ハングル音節Cilh
CE68: ハングルシラブルシム
CE69: ハングル音節シブ
CE6A: ハングル音節シブ
CE6B: ハングル音節シス
CE6C: ハングル音節シス
CE6D: ハングル音節記号
CE6E: ハングル音節Cij
CE6F: ハングル音節シック
CE70: ハングル音節シック
CE71: ハングル音節シット
CE72: ハングル音節Cip
CE73: ハングル音節Cih
CE74: ハングル音節語
CE75: ハングル音節カグ
CE76: ハングル音節カグ
CE77: ハングル音節カグ
CE78: ハングル音節カン
CE79: ハングル音節漢字
CE7A: ハングル音節カン
CE7B: ハングル音節カド
CE7C: ハングル音節カル
CE7D: ハングル音節カルグ
CE7E: ハングル音節カルム
CE7F: ハングル音節カルブ
CE80: ハングル音節カルス
CE81: ハングル音節カルト
CE82: ハングル音節カルップ
CE83: ハングル音節カル
CE84: ハングル音節カム
CE85: ハングル音節カブ
CE86: ハングル音節カブ
CE87: ハングル音節カス
CE88: ハングル音節カス
CE89: ハングル音節カン
CE8A: ハングル音節文字
CE8B: ハングル音節カック
CE8C: ハングル音節カック
CE8D: ハングル音節カット
CE8E: ハングル音節キャップ
CE8F: ハングル音節カー
CE90: ハングル音節楓
CE91: ハングル音節ケグ
CE92: ハングル音節ケグ
CE93: ハングル音節ケグ
CE94: ハングル音節ケーン
CE95: ハングル音節ケンジ
CE96: ハングル音節ケーン
CE97: ハングル音節ケード
CE98: ハングル音節カエル
CE99: ハングル音節ケルク
CE9A: ハングル音節ケールム
CE9B: ハングル音節カエルブ
CE9C: ハングル音節カエル
CE9D: ハングル音節ケルト
CE9E: ハングル音節ケープ
CE9F: ハングル音節カエル
CEA0: ハングル音節ケーム
CEA1: ハングル音節ケープ
CEA2: ハングル音節ケープ
CEA3: ハングル音節ケーズ
CEA4: ハングル音節Kaess
CEA5: ハングル音節ケーン
CEA6: ハングル音節ケージ
CEA7: ハングル音節ケーク
CEA8: ハングル音節ケーク
CEA9: ハングル音節ケート
CEAA: ハングル音節ケープ
CEAB: ハングル音節カエ
CEAC: ハングル音節文字
CEAD: ハングル音節文字
CEAE: ハングル音節Kyagg
CEAF: ハングル音節文字
CEB0: ハングル音節文字
CEB1: ハングル音節漢字
CEB2: ハングル音節文字
CEB3: ハングル音節チャット
CEB4: ハングル音節キヤル
CEB5: ハングル音節キルグ
CEB6: ハングル音節キルム
CEB7: ハングル音節キルブ
CEB8: ハングル音節キール
CEB9: ハングルシラブルキルト
CEBA: ハングルシラブルキヤープ
CEBB: ハングル音節キアル
CEBC: ハングル音節カム
CEBD: ハングル音節文字
CEBE: ハングル音節キャブ
CEBF: ハングル音節キアス
CEC0: ハングル音節キアス
CEC1: ハングル音節楊
CEC2: ハングル音節文字
CEC3: ハングル音節文字
CEC4: ハングル音節文字
CEC5: ハングル音節チャット
CEC6: ハングル音節文字列
CEC7: ハングル音節Kyah
CEC8: ハングル音節文字
CEC9: ハングル音節文字
CECA: ハングル音節キエッグ
CECB: ハングル音節記号
CECC: ハングル音節文字
