D000: ハングル音節クウェオン
D001: ハングル音節クウェニ
D002: ハングル音節クウェン
D003: ハングル音節クウェード
D004: ハングル音節クヴェル
D005: ハングル音節クヴェオルク
D006: ハングル音節クヴェルム
D007: ハングル音節クヴェオルブ
D008: ハングル音節クヴェール
D009: ハングル音節クヴェルト
D00A: ハングル音節クウェルプ
D00B: ハングル音節クウェルフ
D00C: ハングル音節クーム
D00D: ハングル音節クウィオブ
D00E: ハングル音節Kweobs
D00F: ハングル音節クウェオス
D010: ハングル音節クウェオス
D011: ハングル音節クウィョン
D012: ハングル音節クウェイ
D013: ハングル音節クウェック
D014: ハングル音節クヴェク
D015: ハングル音節クート
D016: ハングル音節クウィープ
D017: ハングル音節クヴェオ
D018: ハングル音節クウェ
D019: ハングル音節クウェグ
D01A: ハングル音節クウェッグ
D01B: ハングル音節クウェグ
D01C: ハングル音節クウェン
D01D: ハングル音節クウェニ
D01E: ハングル音節クウェン
D01F: ハングル音節クェッド
D020: ハングル音節クウェル
D021: ハングル音節クウェルク
D022: ハングル音節クウェルム
D023: ハングル音節クウェルブ
D024: ハングル音節クウェル
D025: ハングル音節クウェルト
D026: ハングル音節クウェルプ
D027: ハングル音節クウェル
D028: ハングル音節クム
D029: ハングル音節クウェブ
D02A: ハングル音節クウェブ
D02B: ハングル音節クェス
D02C: ハングル音節クウェス
D02D: ハングル音節クウェン
D02E: ハングル音節クウェジ
D02F: ハングル音節クウェック
D030: ハングル音節クウェック
D031: ハングル音節クウェット
D032: ハングル音節クウェップ
D033: ハングル音節クウェ
D034: ハングル音節クウィ
D035: ハングル音節クウィッグ
D036: ハングル音節クウィッグ
D037: ハングル音節クィッグス
D038: ハングル音節クウィン
D039: ハングル音節クウィニ
D03A: ハングル音節クウィン
D03B: ハングル音節クウィド
D03C: ハングル音節クイル
D03D: ハングル音節クイルグ
D03E: ハングル音節クウィルム
D03F: ハングル音節クイルブ
D040: ハングル音節クイルズ
D041: ハングル音節クウィルト
D042: ハングル音節クワイプ
D043: ハングル音節クウィル
D044: ハングル音節クウィム
D045: ハングル音節クイブ
D046: ハングル音節Kwibs
D047: ハングル音節クウィス
D048: ハングル音節クウィス
D049: ハングル音節クウィング
D04A: ハングル音節クワイ
D04B: ハングル音節クウィック
D04C: ハングル音節クウィック
D04D: ハングル音節クウィット
D04E: ハングル音節Kwip
D04F: ハングル音節クウィ
D050: ハングル音節九
D051: ハングル音節きゅう
D052: ハングル音節Kyugg
D053: ハングル音節キグ
D054: ハングル音節きゅん
D055: ハングル音節Kyunj
D056: ハングル音節キュン
D057: ハングル音節Kyud
D058: ハングル音節キルル
D059: ハングル音節Kyulg
D05A: ハングル音節キルム
D05B: ハングル音節キルブ
D05C: ハングル音節キルルス
D05D: ハングル音節キルト
D05E: ハングル音節Kyulp
D05F: ハングル音節Kyulh
D060: ハングル音節キム
D061: ハングル音節Kyub
D062: ハングル音節文字列
D063: ハングル音節キウス
D064: ハングル音節キュス
D065: ハングル音節キョン
D066: ハングル音節Kyuj
D067: ハングル音節Kyuc
D068: ハングル音節曲
D069: ハングル音節Kyut
D06A: ハングル音節Kyup
D06B: ハングル音節キュウ
D06C: ハングル音節語
D06D: ハングル音節キグ
D06E: ハングル音節Keugg
D06F: ハングル音節キグ
D070: ハングル音節un
D071: ハングル音節Keunj
D072: ハングル音節Keunh
D073: ハングル音節クド
D074: ハングル音節キール
D075: ハングル音節コウル
D076: ハングル音節コラム
D077: ハングル音節ケウルブ
D078: ハングル音節キール
D079: ハングル音節カルト
D07A: ハングル音節ケープ
D07B: ハングル音節カウル
D07C: ハングル音節キム
D07D: ハングル音節
D07E: ハングルシラブルキューブ
D07F: ハングル音節キース
D080: ハングル音節キース
D081: ハングル音節慶
D082: ハングル音節Keuj
D083: ハングル音節コック
D084: ハングル音節語
D085: ハングル音節クート
D086: ハングル音節キープ
D087: ハングル音節Keuh
D088: ハングル音節キイ
D089: ハングル音節Kyig
D08A: ハングル音節キッグ
D08B: ハングル音節キグ
D08C: ハングル音節キン
D08D: ハングル音節Kyinj
D08E: ハングル音節キイン
D08F: ハングル音節キッド
D090: ハングル音節キル
D091: ハングル音節キルグ
D092: ハングル音節キルム
D093: ハングル音節キルブ
D094: ハングル音節キルズ
D095: ハングル音節キルト
D096: ハングル音節キルプ
D097: ハングル音節キル
D098: ハングル音節キム
D099: ハングル音節キーブ
D09A: ハングル音節キーブ
D09B: ハングル音節キス
D09C: ハングル音節キス
D09D: ハングル音節キイ
D09E: ハングル音節Kyij
D09F: ハングル音節キック
D0A0: ハングル音節キク
D0A1: ハングル音節キット
D0A2: ハングル音節キップ
D0A3: ハングル音節
D0A4: ハングル音節語
D0A5: ハングル音節キグ
D0A6: ハングル音節キッグ
D0A7: ハングル音節キグ
D0A8: ハングル音節キン
D0A9: ハングル音節キンジ
D0AA: ハングル音節キン
D0AB: ハングル音節キッド
D0AC: ハングル音節キル
D0AD: ハングル音節キルク
D0AE: ハングル音節キルム
D0AF: ハングル音節キルブ
D0B0: ハングル音節キル
D0B1: ハングル音節キルト
D0B2: ハングル音節キルプ
D0B3: ハングル音節キル
D0B4: ハングル音節キム
D0B5: ハングル音節キブ
D0B6: ハングル音節キブ
D0B7: ハングル音節キス
D0B8: ハングル音節キス
D0B9: ハングル音節王
D0BA: ハングル音節キジ
D0BB: ハングル音節キック
D0BC: ハングル音節キック
D0BD: ハングル音節キット
D0BE: ハングル音節キップ
D0BF: ハングル音節キウ
D0C0: ハングル音節語Ta
D0C1: ハングル音節タグ
D0C2: ハングル音節タグ
D0C3: ハングル音節タグ
D0C4: ハングル音節タン
D0C5: ハングル音節タンジュ
D0C6: ハングル音節タン
D0C7: ハングル音節タッド
