D400: ハングル音節ポス
D401: ハングル音節ポン
D402: ハングル音節ポイ
D403: ハングル音節Poc
D404: ハングル音節ポック
D405: ハングル音節ポット
D406: ハングル音節ポップ
D407: ハングル音節Poh
D408: ハングル音節Pwa
D409: ハングル音節Pwag
D40A: ハングル音節Pwagg
D40B: ハングル音節Pwag
D40C: ハングル音節Pwan
D40D: ハングル音節Pwanj
D40E: ハングル音節プワン
D40F: ハングル音節Pwad
D410: ハングル音節語
D411: ハングル音節Pwalg
D412: ハングル音節語
D413: ハングル音節Pwalb
D414: ハングル音節Pwals
D415: ハングル音節語
D416: ハングル音節Pwalp
D417: ハングル音節Pwalh
D418: ハングル音節Pwam
D419: ハングル音節Pwab
D41A: ハングル音節Pwab
D41B: ハングル音節Pwas
D41C: ハングル音節Pwass
D41D: ハングル音節w
D41E: ハングル音節Pwaj
D41F: ハングル音節Pwac
D420: ハングル音節Pwak
D421: ハングル音節Pwat
D422: ハングル音節Pwap
D423: ハングル音節Pwah
D424: ハングル音節Pwae
D425: ハングル音節Pwaeg
D426: ハングル音節Pwaegg
D427: ハングル音節Pwaegs
D428: ハングル音節Pwaen
D429: ハングル音節Pwaenj
D42A: ハングル音節プウェン
D42B: ハングル音節
D42C: ハングル音節Pwael
D42D: ハングル音節Pwaelg
D42E: ハングル音節Pwaelm
D42F: ハングル音節Pwaelb
D430: ハングル音節表音
D431: ハングル音節Pwaelt
D432: ハングル音節Pwaelp
D433: ハングル音節Pwaelh
D434: ハングル音節Pwaem
D435: ハングル音節Pwaeb
D436: ハングル音節Pwaebs
D437: ハングル音節Pwaes
D438: ハングル音節Pwaess
D439: ハングル音節Pwaeng
D43A: ハングル音節Pwaej
D43B: ハングル音節Pwaec
D43C: ハングル音節Pwaek
D43D: ハングル音節Pwaet
D43E: ハングル音節Pwaep
D43F: ハングル音節Pwaeh
D440: ハングル音節ポー
D441: ハングル音節Poeg
D442: ハングル音節ポエッグ
D443: ハングル音節ポーグ
D444: ハングル音節ポーン
D445: ハングル音節Poenj
D446: ハングル音節詩
D447: ハングル音節
D448: ハングル音節
D449: ハングル音節詩
D44A: ハングル音節語
D44B: ハングル音節人形
D44C: ハングル音節数
D44D: ハングル音節詩
D44E: ハングル音節Poelp
D44F: ハングル音節Poelh
D450: ハングル音節詩
D451: ハングル音節ポーブ
D452: ハングル音節ポーブ
D453: ハングル音節詩
D454: ハングル音節詩
D455: ハングル音節詩
D456: ハングル音節Poej
D457: ハングル音節Poec
D458: ハングル音節ポーク
D459: ハングル音節詩人
D45A: ハングル音節詩
D45B: ハングル音節Poeh
D45C: ハングル音節ピョ
D45D: ハングル音節Pyog
D45E: ハングル音節ピョッグ
D45F: ハングル音節
D460: ハングル音節ピョン
D461: ハングル音節ピョンジュ
D462: ハングル音節ピョン
D463: ハングル音節ピョッド
D464: ハングル音節ピロール
D465: ハングル音節Pyolg
D466: ハングル音節パイロム
D467: ハングル音節パイロブ
D468: ハングル音節記号
D469: ハングル音節ピョルト
D46A: ハングル音節Pyolp
D46B: ハングル音節パイロ
D46C: ハングル音節パイオム
D46D: ハングル音節ピョブ
D46E: ハングル音節パイオブ
D46F: ハングル音節ピョー
D470: ハングル音節ピョス
D471: ハングル音節ピョン
D472: ハングル音節Pyoj
D473: ハングル音節ピョク
D474: ハングル音節ピョク
D475: ハングル音節ピトー
D476: ハングル音節ピョップ
D477: ハングル音節ピョー
D478: ハングル音節Pu
D479: ハングル音節パグ
D47A: ハングル音節パグ
D47B: ハングル音節パグ
D47C: ハングル音節パンク
D47D: ハングル音節Punj
D47E: ハングル音節ぷん
D47F: ハングル音節パッド
D480: ハングル音節Pul
D481: ハングル音節パルグ
D482: ハングル音節プラム
D483: ハングル音節パルブ
D484: ハングル音節パルス
D485: ハングル音節パルト
D486: ハングル音節パルプ
D487: ハングル音節プル
D488: ハングル音節パム
D489: ハングル音節パブ
D48A: ハングル音節パブ
D48B: ハングル音節膿
D48C: ハングル音節小娘
D48D: ハングル音節プン
D48E: ハングル音節Puj
D48F: ハングル音節Puc
D490: ハングル音節パク
D491: ハングル音節プット
D492: ハングル音節子犬
D493: ハングル音節Puh
D494: ハングル音節Pweo
D495: ハングル音節Pweog
D496: ハングル音節Pweogg
D497: ハングル音節Pweogs
D498: ハングル音節Pweon
D499: ハングル音節Pweonj
D49A: ハングル音節Pweonh
D49B: ハングル音節Pweod
D49C: ハングル音節Pweol
D49D: ハングル音節Pweolg
D49E: ハングル音節Pweolm
D49F: ハングル音節Pweolb
D4A0: ハングル音節プール
D4A1: ハングル音節Pweolt
D4A2: ハングル音節Pweolp
D4A3: ハングル音節Pweolh
D4A4: ハングル音節プーム
D4A5: ハングル音節Pweob
D4A6: ハングル音節Pweobs
D4A7: ハングル音節Pweos
D4A8: ハングル音節Pweoss
D4A9: ハングル音節Pweong
D4AA: ハングル音節Pweoj
D4AB: ハングル音節Pweoc
D4AC: ハングル音節Pweok
D4AD: ハングル音節Pweot
