FF00:
FF01: 全角感嘆符
FF02: 全角引用符
FF03: 全角ナンバー記号
FF04: 全角ドル記号
FF05: 全角パーセント記号
FF06: 全角アンパサンド
FF07: 全角アポストロフィ
FF08: 全角左括弧
FF09: 全角右かっこ
FF0A: 全角アスタリスク
FF0B: 全角プラス記号
FF0C: 全角コンマ
FF0D: 全角ハイフン - マイナス
FF0E: 全幅フルストップ
FF0F: 全幅Solidus
FF10: 全角数字ゼロ
FF11: 全角数字1
FF12: 全角数字2
FF13: 全角数字3
FF14: 全角数字4
FF15: 全角数字5
FF16: 全角数字6
FF17: 全角数字7
FF18: 全角数字8
FF19: 全角数字9
FF1A: 全角コロン
FF1B: 全角セミコロン
FF1C: 全角小なり記号
FF1D: 全角等号
FF1E: 全角大なり記号
FF1F: 全角疑問符
FF20: 全幅コマーシャル
FF21: 全角ラテン大文字A
FF22: 全角ラテン大文字B
FF23: 全角ラテン大文字C
FF24: 全角ラテン大文字D
FF25: 全角ラテン大文字E
FF26: 全角ラテン大文字F
FF27: 全角ラテン大文字G
FF28: 全角ラテン大文字H
FF29: 全角ラテン大文字I
FF2A: 全角ラテン大文字J
FF2B: 全角ラテン大文字K
FF2C: 全角ラテン大文字L
FF2D: 全角ラテン大文字M
FF2E: 全角ラテン大文字N
FF2F: 全角ラテン大文字O
FF30: 全角ラテン大文字P
FF31: 全角ラテン大文字Q
FF32: 全角ラテン大文字R
FF33: 全角ラテン大文字S
FF34: 全角ラテン大文字T
FF35: 全角ラテン大文字U
FF36: 全角ラテン大文字V
FF37: 全角ラテン大文字W
FF38: 全角ラテン大文字X
FF39: 全角ラテン大文字Y
FF3A: 全角ラテン大文字Z
FF3B: 全角左角かっこ
FF3C: 全幅リバースソリッド
FF3D: 全角右角かっこ
FF3E: 全角アクセントアクセント
FF3F: 全幅低回線
FF40: 全角墓アクセント
FF41: 全角ラテン小文字A
FF42: 全角ラテン小文字B
FF43: 全角ラテン小文字C
FF44: 全角ラテン小文字D
FF45: 全角ラテン小文字E
FF46: 全角ラテン小文字F
FF47: 全角ラテン小文字G
FF48: 全角ラテン小文字H
FF49: 全角ラテン小文字I
FF4A: 全角ラテン小文字J
FF4B: 全角ラテン小文字K
FF4C: 全角ラテン小文字L
FF4D: 全角ラテン小文字M
FF4E: 全角ラテン小文字N
FF4F: 全角ラテン小文字O
FF50: 全角ラテン小文字P
FF51: 全角ラテン小文字Q
FF52: 全角ラテン小文字R
FF53: 全角ラテン小文字S
FF54: 全角ラテン小文字T
FF55: 全角ラテン小文字U
FF56: 全角ラテン小文字V
FF57: 全角ラテン小文字W
FF58: 全角ラテン小文字X
FF59: 全角ラテン小文字Y
FF5A: 全角ラテン小文字Z
FF5B: 全角左中括弧
FF5C: 全幅垂直線
FF5D: 全角右中かっこ
FF5E: 全角チルド
FF5F: 全角左白かっこ
FF60: 全角右かっこ
FF61: 半角表意文字フルストップ
FF62: 半角左コーナーブラケット
FF63: 半角右コーナーブラケット
FF64: 半角表意コンマ
FF65: 半角カタカナミドルドット
FF66: 半角カタカナレター
FF67: 半角カタカナレタースモールA
FF68: 半角カタカナレタースモールI
FF69: 半角カタカナレタースモールU
FF6A: 半角カタカナ文字小E
FF6B: 半角カタカナレタースモールO
FF6C: 半角カタカナ文字Small Ya
FF6D: 半角カタカナレタースモールゆう
FF6E: 半角カタカナレタースモールよ
