10800: キプロスの音節A
10801: キプロスの音節E
10802: キプロスの音節I
10803: キプロスの音節O
10804: キプロスの音節U
10805: キプロスの音節Ja
10806:
10807:
10808: キプロスの音節ジョ
10809:
1080A: キプロスの音節Ka
1080B: キプロスの音節Ke
1080C: キプロス音節木
1080D: キプロスの音節Ko
1080E: キプロスの音節区
1080F: キプロスの音節ラ
10810: キプロスの音節ル
10811: キプロスの音節李
10812: キプロスの音節Lo
10813: キプロスの音節呂
10814: キプロスの音節Ma
10815: キプロスシラブルミー
10816: キプロスの音節語Mi
10817: キプロスの音節Mo
10818: キプロス音節無
10819: キプロスの音節Na
1081A: キプロスの音節Ne
1081B: キプロス音節Ni
1081C: キプロスの音節
1081D: キプロス音節ニュー
1081E: キプロスの音節Pa
1081F: キプロスの音節Pe
10820: キプロスの音節Pi
10821: キプロスの音節Po
10822: キプロスの音節Pu
10823: キプロスの音節のRa
10824: キプロスの音節Re
10825: キプロスの音節Ri
10826: キプロスの音節Ro
10827: キプロスの音節Ru
10828: キプロスの音節Sa
10829: キプロスの音節Se
1082A: キプロスシラブルSi
1082B: キプロスの音節
1082C: キプロスの音節蘇
1082D: キプロスの音節Ta
1082E: キプロスの音節テ
1082F: キプロスの音節Ti
10830: キプロスの音節
10831: キプロス音節Tu
10832: キプロスの音節和
10833: キプロスの音節
10834: キプロスの音節Wi
10835: キプロスの音節ヲ
10836:
10837: キプロスの音節Xa
10838: キプロスの音節Xe
10839:
1083A:
1083B:
1083C: キプロスの音節Za
1083D:
1083E:
1083F: キプロスの音節Zo
10840: インペリアルアラムレターアレフ
10841: インペリアルアラムレターベス
10842: 帝国アラム文字Gimel
10843: インペリアルアラムレターデレス
10844: インペリアルアラムレター彼
10845: インペリアルアラムレターウォー
10846: 帝国アラム文字Zayin
10847: インペリアルアラムレターヘス
10848: インペリアルアラムレターテス
10849: インペリアルアラムレターヨード
1084A: 帝国アラム文字Kaph
1084B: インペリアルアラムレターラメド
1084C: インペリアルアラムレターメモ
1084D: インペリアルアラムレターヌン
1084E: インペリアルアラムレターSamekh
1084F: 皇帝のアラム文字アイン
10850: 帝国アラム文字Pe
10851: インペリアルアラムレターサド
10852: インペリアルアラムレターQoph
10853: インペリアルアラムレターレッシュ
10854: 帝国アラムレターシン
10855: インペリアルアラムレタートー
10856:
10857: インペリアルアラムセクションサイン
10858: 帝国アラムナンバーワン
10859: インペリアルアラム2
1085A: 帝国アラム数3
1085B: インペリアルアラムナンバーテン
1085C: インペリアルアラム数20
1085D: 帝国アラム数百百
1085E: 帝国アラム数1千
1085F: 皇帝の演劇数十千
10860: パルミレネレターアレフ
10861: パルミレネレターベス
10862: パルミレネレタージメル
10863: パルミレネレターデレス
10864: パルミレンの手紙彼
10865: パルミレネレターウォー
10866: パルミレネレターザイン
10867: パルミレネレターヘス
10868: パルミレネレターテス
10869: パルミレネレターヨード
1086A: パルミレネレターカフ
1086B: パルミレネレターラメド
1086C: パルミレネレターメモ
1086D: パルミレネレターファイナル修道女
1086E: パルミレネレター修道女
1086F: パルミレネレターサメク
10870: パルミレネレターアイン
10871: パルミレネレターペ
10872: パルミレネレターサデ
10873: パルミレネレターコフ
10874: パルミレネレターレシュ
10875: パルミレネレターシン
10876: パルミレネレタートー
10877: パルミレン左向きフルーロン
10878: パルミレンの右向きフルーロン
10879: パルミレンナンバーワン
1087A: パルミレンナンバー2
1087B: パルミレンナンバー3
1087C: パルミレーヌ第4番
1087D: パルミレン5番
1087E: パルミレンナンバーテン
1087F: パルミレンナンバー20
10880: ナバテアン文字ファイナルアレフ
10881: ナバテアン文字アレフ
10882: ナバテアンレターファイナルベス
10883: ナバテアン文字ベス
10884: ナバテアン文字ギメル
10885: ナバテアン文字デレス
10886: ナバテアンレターファイナル彼
10887: ナバテアン文字彼
10888: ナバテアン文字ワウ
10889: なばあいあん文字Zayin
1088A: ナバテアン文字ヘス
1088B: ナバテア文字テス
1088C: ナバテアンレターファイナルヨード
1088D: ナバテアン文字ヨード
1088E: ナバテアン文字ファイナルカフ
1088F: ナバテア文字Kaph
10890: ナバテアンレターファイナルラメド
10891: ナバテアン文字ラメド
10892: なばたえんレターファイナルメモ
10893: ナバテアンレターメモ
10894: なばたえんレターファイナル修道女
10895: なばあいあんレター修道女
10896: ナバテア文字Samekh
10897: なばあいあん文字あやん
10898: なばあいあん文字Pe
10899: ナバテアン文字Sadhe
1089A: ナバテア文字Qoph
1089B: なばあいあんレターレシュ
1089C: なばたえんレターファイナルシン
1089D: なばたいえんしんしん
1089E: ナバテアンレタートー
1089F:
108A0:
108A1:
108A2:
108A3:
108A4:
108A5:
108A6:
108A7: ナバテアンナンバーワン
108A8: ナバテアンナンバー2
108A9: ナバテアンナンバー3
108AA: ナバテアンナンバー4
108AB: ナバテア十字架4番
108AC: ナバテアンナンバー5
108AD: ナバテアンナンバーテン
108AE: ナバテアンナンバー20
108AF: ナバテアンナンバーワン百
108B0:
108B1:
108B2:
108B3:
108B4:
108B5:
108B6:
108B7:
108B8:
108B9:
108BA:
108BB:
108BC:
108BD:
108BE:
108BF:
108C0:
108C1:
108C2:
108C3:
108C4:
108C5:
108C6:
108C7:
108C8:
108C9:
108CA:
108CB:
108CC:
108CD:
108CE:
108CF:
108D0:
108D1:
108D2:
108D3:
108D4:
108D5:
108D6:
108D7:
108D8:
108D9:
108DA:
108DB:
108DC:
108DD:
108DE:
108DF:
108E0: ハットランレターアレフ
108E1: ハトランの手紙Beth
108E2: ハトランの手紙Gimel
108E3: ハトランの手紙Daleth-Resh
108E4: ハットラン手紙彼
108E5: Hatran Letter Waw
108E6: ハトランの手紙Zayn
108E7: ハトラン書簡ヘス
108E8: ハットランレターテス
108E9: ハトランの手紙Yodh
108EA: ハトラン手紙カフ
108EB: ハトランの手紙Lamedh
108EC: ハットランレターメモ
108ED: ハットラン手紙修道女
108EE: ハトランの手紙Samekh
108EF: ハトランの手紙Ayn
108F0: Hatran Letter Pe
108F1: ハトランの手紙サディ
108F2: ハトランの手紙Qoph
108F3:
108F4: ハットランレターシン
108F5: Hatran Letter Taw
108F6:
108F7:
108F8:
108F9:
108FA:
108FB: ハットランナンバーワン
108FC: ハットランナンバーファイブ
108FD: ハットランナンバーテン
108FE: ハットランナンバー20
108FF: ハットランナンバーワン百
