13000: エジプトの象形文字A001
13001: エジプトの象形文字A002
13002: エジプトの象形文字A003
13003: エジプトの象形文字A004
13004: エジプトの象形文字A005
13005: エジプトの象形文字A005a
13006: エジプトの象形文字A006
13007: エジプトの象形文字A006a
13008: エジプトの象形文字A006b
13009: エジプトの象形文字A007
1300A: エジプトの象形文字A008
1300B: エジプトの象形文字A009
1300C: エジプトの象形文字A010
1300D: エジプトの象形文字A011
1300E: エジプトの象形文字A012
1300F: エジプトの象形文字A013
13010: エジプトの象形文字A014
13011: エジプトの象形文字A014a
13012: エジプトの象形文字A015
13013: エジプトの象形文字A016
13014: エジプトの象形文字A017
13015: エジプトの象形文字A017a
13016: エジプトの象形文字A018
13017: エジプトの象形文字A019
13018: エジプトの象形文字A020
13019: エジプトの象形文字A021
1301A: エジプトの象形文字A022
1301B: エジプトの象形文字A023
1301C: エジプトの象形文字A024
1301D: エジプトの象形文字A025
1301E: エジプトの象形文字A026
1301F: エジプトの象形文字A027
13020: エジプトの象形文字A028
13021: エジプトの象形文字A029
13022: エジプトの象形文字A030
13023: エジプトの象形文字A031
13024: エジプトの象形文字A032
13025: エジプトの象形文字A032a
13026: エジプトの象形文字A033
13027: エジプトの象形文字A034
13028: エジプトの象形文字A035
13029: エジプトの象形文字A036
1302A: エジプトの象形文字A037
1302B: エジプトの象形文字A038
1302C: エジプトの象形文字A039
1302D: エジプトの象形文字A040
1302E: エジプトの象形文字A040a
1302F: エジプトの象形文字A041
13030: エジプトの象形文字A042
13031: エジプトの象形文字A042a
13032: エジプトの象形文字A043
13033: エジプトの象形文字A043a
13034: エジプトの象形文字A044
13035: エジプトの象形文字A045
13036: エジプトの象形文字A045a
13037: エジプトの象形文字A046
13038: エジプトの象形文字A047
13039: エジプトの象形文字A048
1303A: エジプトの象形文字A049
1303B: エジプトの象形文字A050
1303C: エジプトの象形文字A051
1303D: エジプトの象形文字A052
1303E: エジプトの象形文字A053
1303F: エジプトの象形文字A054
13040: エジプトの象形文字A055
13041: エジプトの象形文字A056
13042: エジプトの象形文字A057
13043: エジプトの象形文字A058
13044: エジプトの象形文字A059
13045: エジプトの象形文字A060
13046: エジプトの象形文字A061
13047: エジプトの象形文字A062
13048: エジプトの象形文字A063
13049: エジプトの象形文字A064
1304A: エジプトの象形文字A065
1304B: エジプトの象形文字A066
1304C: エジプトの象形文字A067
1304D: エジプトの象形文字A068
1304E: エジプトの象形文字A069
1304F: エジプトの象形文字A070
13050: エジプトの象形文字B001
13051: エジプトの象形文字B002
13052: エジプトの象形文字B003
13053: エジプトの象形文字B004
13054: エジプトの象形文字B005
13055: エジプトの象形文字B005a
13056: エジプトの象形文字B006
13057: エジプトの象形文字B007
13058: エジプトの象形文字B008
13059: エジプトの象形文字B009
1305A: エジプトの象形文字C001
1305B: エジプトの象形文字C002
1305C: エジプトの象形文字C002a
1305D: エジプトの象形文字C002b
1305E: エジプトの象形文字C002c
1305F: エジプトの象形文字C003
13060: エジプトの象形文字C004
13061: エジプトの象形文字C005
13062: エジプトの象形文字C006
13063: エジプトの象形文字C007
13064: エジプトの象形文字C008
13065: エジプトの象形文字C009
13066: エジプトの象形文字C010
13067: エジプトの象形文字C010a
13068: エジプトの象形文字C011
13069: エジプトの象形文字C012
1306A: エジプトの象形文字C013
1306B: エジプトの象形文字C014
1306C: エジプトの象形文字C015
1306D: エジプトの象形文字C016
1306E: エジプトの象形文字C017
1306F: エジプトの象形文字C018
13070: エジプトの象形文字C019
13071: エジプトの象形文字C020
13072: エジプトの象形文字C021
13073: エジプトの象形文字C022
13074: エジプトの象形文字C023
13075: エジプトの象形文字C024
13076: エジプトの象形文字D001
13077: エジプトの象形文字D002
13078: エジプトの象形文字D003
13079: エジプトの象形文字D004
1307A: エジプトの象形文字D005
1307B: エジプトの象形文字D006
1307C: エジプトの象形文字D007
1307D: エジプトの象形文字D008
1307E: エジプトの象形文字D008a
1307F: エジプトの象形文字D009
13080: エジプトの象形文字D010
13081: エジプトの象形文字D011
13082: エジプトの象形文字D012
13083: エジプトの象形文字D013
13084: エジプトの象形文字D014
13085: エジプトの象形文字D015
13086: エジプトの象形文字D016
13087: エジプトの象形文字D017
13088: エジプトの象形文字D018
13089: エジプトの象形文字D019
1308A: エジプトの象形文字D020
1308B: エジプトの象形文字D021
1308C: エジプトの象形文字D022
1308D: エジプトの象形文字D023
1308E: エジプトの象形文字D024
1308F: エジプトの象形文字D025
13090: エジプトの象形文字D026
13091: エジプトの象形文字D027
13092: エジプトの象形文字D027a
13093: エジプトの象形文字D028
13094: エジプトの象形文字D029
13095: エジプトの象形文字D030
13096: エジプトの象形文字D031
13097: エジプトの象形文字D031a
13098: エジプトの象形文字D032
13099: エジプトの象形文字D033
1309A: エジプトの象形文字D034
1309B: エジプトの象形文字D034a
1309C: エジプトの象形文字D035
1309D: エジプトの象形文字D036
1309E: エジプトの象形文字D037
