13100: エジプトの象形文字F002
13101: エジプトの象形文字F003
13102: エジプトの象形文字F004
13103: エジプトの象形文字F005
13104: エジプトの象形文字F006
13105: エジプトの象形文字F007
13106: エジプトの象形文字F008
13107: エジプトの象形文字F009
13108: エジプトの象形文字F010
13109: エジプトの象形文字F011
1310A: エジプトの象形文字F012
1310B: エジプトの象形文字F013
1310C: エジプトの象形文字F013a
1310D: エジプトの象形文字F014
1310E: エジプトの象形文字F015
1310F: エジプトの象形文字F016
13110: エジプトの象形文字F017
13111: エジプトの象形文字F018
13112: エジプトの象形文字F019
13113: エジプトの象形文字F020
13114: エジプトの象形文字F021
13115: エジプトの象形文字F021a
13116: エジプトの象形文字F022
13117: エジプトの象形文字F023
13118: エジプトの象形文字F024
13119: エジプトの象形文字F025
1311A: エジプトの象形文字F026
1311B: エジプトの象形文字F027
1311C: エジプトの象形文字F028
1311D: エジプトの象形文字F029
1311E: エジプトの象形文字F030
1311F: エジプトの象形文字F031
13120: エジプトの象形文字F031a
13121: エジプトの象形文字F032
13122: エジプトの象形文字F033
13123: エジプトの象形文字F034
13124: エジプトの象形文字F035
13125: エジプトの象形文字F036
13126: エジプトの象形文字F037
13127: エジプトの象形文字F037a
13128: エジプトの象形文字F038
13129: エジプトの象形文字F038a
1312A: エジプトの象形文字F039
1312B: エジプトの象形文字F040
1312C: エジプトの象形文字F041
1312D: エジプトの象形文字F042
1312E: エジプトの象形文字F043
1312F: エジプトの象形文字F044
13130: エジプトの象形文字F045
13131: エジプトの象形文字F045a
13132: エジプトの象形文字F046
13133: エジプトの象形文字F046a
13134: エジプトの象形文字F047
13135: エジプトの象形文字F047a
13136: エジプトの象形文字F048
13137: エジプトの象形文字F049
13138: エジプトの象形文字F050
13139: エジプトの象形文字F051
1313A: エジプトの象形文字F051a
1313B: エジプトの象形文字F051b
1313C: エジプトの象形文字F051c
1313D: エジプトの象形文字F052
1313E: エジプトの象形文字F053
1313F: エジプトの象形文字G001
13140: エジプトの象形文字G002
13141: エジプトの象形文字G003
13142: エジプトの象形文字G004
13143: エジプトの象形文字G005
13144: エジプトの象形文字G006
13145: エジプトの象形文字G006a
13146: エジプトの象形文字G007
13147: エジプトの象形文字G007a
13148: エジプトの象形文字G007b
13149: エジプトの象形文字G008
1314A: エジプトの象形文字G009
1314B: エジプトの象形文字G010
1314C: エジプトの象形文字G011
1314D: エジプトの象形文字G011a
1314E: エジプトの象形文字G012
1314F: エジプトの象形文字G013
13150: エジプトの象形文字G014
13151: エジプトの象形文字G015
13152: エジプトの象形文字G016
13153: エジプトの象形文字G017
13154: エジプトの象形文字G018
13155: エジプトの象形文字G019
13156: エジプトの象形文字G020
13157: エジプトの象形文字G020a
13158: エジプトの象形文字G021
13159: エジプトの象形文字G022
1315A: エジプトの象形文字G023
1315B: エジプトの象形文字G024
1315C: エジプトの象形文字G025
1315D: エジプトの象形文字G026
1315E: エジプトの象形文字G026a
1315F: エジプトの象形文字G027
13160: エジプトの象形文字G028
13161: エジプトの象形文字G029
13162: エジプトの象形文字G030
13163: エジプトの象形文字G031
13164: エジプトの象形文字G032
13165: エジプトの象形文字G033
13166: エジプトの象形文字G034
13167: エジプトの象形文字G035
13168: エジプトの象形文字G036
13169: エジプトの象形文字G036a
1316A: エジプトの象形文字G037
1316B: エジプトの象形文字G037a
1316C: エジプトの象形文字G038
1316D: エジプトの象形文字G039
1316E: エジプトの象形文字G040
1316F: エジプトの象形文字G041
13170: エジプトの象形文字G042
13171: エジプトの象形文字G043
13172: エジプトの象形文字G043a
13173: エジプトの象形文字G044
13174: エジプトの象形文字G045
13175: エジプトの象形文字G045a
13176: エジプトの象形文字G046
13177: エジプトの象形文字G047
13178: エジプトの象形文字G048
13179: エジプトの象形文字G049
1317A: エジプトの象形文字G050
1317B: エジプトの象形文字G051
1317C: エジプトの象形文字G052
1317D: エジプトの象形文字G053
1317E: エジプトの象形文字G054
1317F: エジプトの象形文字H001
13180: エジプトの象形文字H002
13181: エジプトの象形文字H003
13182: エジプトの象形文字H004
13183: エジプトの象形文字H005
13184: エジプトの象形文字H006
13185: エジプトの象形文字H006a
13186: エジプトの象形文字H007
13187: エジプトの象形文字H008
13188: エジプトの象形文字I001
13189: エジプトの象形文字I002
1318A: エジプトの象形文字I003
1318B: エジプトの象形文字I004
1318C: エジプトの象形文字I005
1318D: エジプトの象形文字I005a
1318E: エジプトの象形文字I006
1318F: エジプトの象形文字I007
13190: エジプトの象形文字I008
13191: エジプトの象形文字I009
13192: エジプトの象形文字I009a
13193: エジプトの象形文字I010
13194: エジプトの象形文字I010a
13195: エジプトの象形文字I011
13196: エジプトの象形文字I011a
13197: エジプトの象形文字I012
13198: エジプトの象形文字I013
