13200: エジプトの象形文字N018
13201: エジプトの象形文字N018a
13202: エジプトの象形文字N018b
13203: エジプトの象形文字N019
13204: エジプトの象形文字N020
13205: エジプトの象形文字N021
13206: エジプトの象形文字N022
13207: エジプトの象形文字N023
13208: エジプトの象形文字N024
13209: エジプトの象形文字N025
1320A: エジプトの象形文字N025a
1320B: エジプトの象形文字N026
1320C: エジプトの象形文字N027
1320D: エジプトの象形文字N028
1320E: エジプトの象形文字N029
1320F: エジプトの象形文字N030
13210: エジプトの象形文字N031
13211: エジプトの象形文字N032
13212: エジプトの象形文字N033
13213: エジプトの象形文字N033a
13214: エジプトの象形文字N034
13215: エジプトの象形文字N034a
13216: エジプトの象形文字N035
13217: エジプトの象形文字N035a
13218: エジプトの象形文字N036
13219: エジプトの象形文字N037
1321A: エジプトの象形文字N037a
1321B: エジプトの象形文字N038
1321C: エジプトの象形文字N039
1321D: エジプトの象形文字N040
1321E: エジプトの象形文字N041
1321F: エジプトの象形文字N042
13220: エジプトの象形文字Nl001
13221: エジプトの象形文字Nl002
13222: エジプトの象形文字Nl003
13223: エジプトの象形文字Nl004
13224: エジプトの象形文字Nl005
13225: エジプトの象形文字Nl005a
13226: エジプトの象形文字Nl006
13227: エジプトの象形文字Nl007
13228: エジプトの象形文字Nl008
13229: エジプトの象形文字Nl009
1322A: エジプトの象形文字N1010
1322B: エジプトの象形文字Nl011
1322C: エジプトの象形文字Nl012
1322D: エジプトの象形文字Nl013
1322E: エジプトの象形文字Nl014
1322F: エジプトの象形文字Nl015
13230: エジプトの象形文字Nl016
13231: エジプトの象形文字Nl017
13232: エジプトの象形文字Nl017a
13233: エジプトの象形文字Nl018
13234: エジプトの象形文字Nl019
13235: エジプトの象形文字Nl020
13236: エジプトの象形文字Nu001
13237: エジプトの象形文字Nu002
13238: エジプトの象形文字Nu003
13239: エジプトの象形文字Nu004
1323A: エジプトの象形文字Nu005
1323B: エジプトの象形文字Nu006
1323C: エジプトの象形文字Nu007
1323D: エジプトの象形文字Nu008
1323E: エジプトの象形文字Nu009
1323F: エジプトの象形文字Nu010
13240: エジプトの象形文字Nu010a
13241: エジプトの象形文字Nu011
13242: エジプトの象形文字Nu011a
13243: エジプトの象形文字Nu012
13244: エジプトの象形文字Nu013
13245: エジプトの象形文字Nu014
13246: エジプトの象形文字Nu015
13247: エジプトの象形文字Nu016
13248: エジプトの象形文字Nu017
13249: エジプトの象形文字Nu018
1324A: エジプトの象形文字Nu018a
1324B: エジプトの象形文字Nu019
1324C: エジプトの象形文字Nu020
1324D: エジプトの象形文字Nu021
1324E: エジプトの象形文字Nu022
1324F: エジプトの象形文字Nu022a
13250: エジプトの象形文字O001
13251: エジプトの象形文字O001a
13252: エジプトの象形文字O002
13253: エジプトの象形文字O003
13254: エジプトの象形文字O004
13255: エジプトの象形文字O005
13256: エジプトの象形文字O005a
13257: エジプトの象形文字O006
13258: エジプトの象形文字O006a
13259: エジプトの象形文字O006b
1325A: エジプトの象形文字O006c
1325B: エジプトの象形文字O006d
1325C: エジプトの象形文字O006e
1325D: エジプトの象形文字O006f
1325E: エジプトの象形文字O007
1325F: エジプトの象形文字O008
13260: エジプトの象形文字O009
13261: エジプトの象形文字O010
13262: エジプトの象形文字O010a
13263: エジプトの象形文字O010b
13264: エジプトの象形文字O010c
13265: エジプトの象形文字O011
13266: エジプトの象形文字O012
13267: エジプトの象形文字O013
13268: エジプトの象形文字O014
13269: エジプトの象形文字O015
1326A: エジプトの象形文字O016
1326B: エジプトの象形文字O017
1326C: エジプトの象形文字O018
1326D: エジプトの象形文字O019
1326E: エジプトの象形文字O019a
1326F: エジプトの象形文字O020
13270: エジプトの象形文字O020a
13271: エジプトの象形文字O021
13272: エジプトの象形文字O022
13273: エジプトの象形文字O023
13274: エジプトの象形文字O024
13275: エジプトの象形文字O024a
13276: エジプトの象形文字O025
13277: エジプトの象形文字O025a
13278: エジプトの象形文字O026
13279: エジプトの象形文字O027
1327A: エジプトの象形文字O028
1327B: エジプトの象形文字O029
1327C: エジプトの象形文字O029a
1327D: エジプトの象形文字O030
1327E: エジプトの象形文字O030a
1327F: エジプトの象形文字O031
13280: エジプトの象形文字O032
13281: エジプトの象形文字O033
13282: エジプトの象形文字O033a
13283: エジプトの象形文字O034
13284: エジプトの象形文字O035
13285: エジプトの象形文字O036
13286: エジプトの象形文字O036a
13287: エジプトの象形文字O036b
13288: エジプトの象形文字O036c
13289: エジプトの象形文字O036d
1328A: エジプトの象形文字O037
1328B: エジプトの象形文字O038
1328C: エジプトの象形文字O039
1328D: エジプトの象形文字O040
1328E: エジプトの象形文字O041
1328F: エジプトの象形文字O042
13290: エジプトの象形文字O043
13291: エジプトの象形文字O044
13292: エジプトの象形文字O045
13293: エジプトの象形文字O046
13294: エジプトの象形文字O047
13295: エジプトの象形文字O048
13296: エジプトの象形文字O049
13297: エジプトの象形文字O050
13298: エジプトの象形文字O050a
13299: エジプトの象形文字O050b
1329A: エジプトの象形文字O051
1329B: エジプトの象形文字P001
1329C: エジプトの象形文字P001a
1329D: エジプトの象形文字P002
1329E: エジプトの象形文字P003
1329F: エジプトの象形文字P003a
132A0: エジプトの象形文字P004
132A1: エジプトの象形文字P005
132A2: エジプトの象形文字P006
132A3: エジプトの象形文字P007
132A4: エジプトの象形文字P008
132A5: エジプトの象形文字P009
132A6: エジプトの象形文字P010
132A7: エジプトの象形文字P011
132A8: エジプトの象形文字Q001
132A9: エジプトの象形文字Q002
132AA: エジプトの象形文字Q003
132AB: エジプトの象形文字Q004
132AC: エジプトの象形文字Q005
132AD: エジプトの象形文字Q006
132AE: エジプトの象形文字Q007
132AF: エジプトの象形文字R001
132B0: エジプトの象形文字R002
132B1: エジプトの象形文字R002a
132B2: エジプトの象形文字R003
132B3: エジプトの象形文字R003a
132B4: エジプトの象形文字R003b
132B5: エジプトの象形文字R004
132B6: エジプトの象形文字R005
132B7: エジプトの象形文字R006
132B8: エジプトの象形文字R007
132B9: エジプトの象形文字R008
132BA: エジプトの象形文字R009
132BB: エジプトの象形文字R010
132BC: エジプトの象形文字R010a
132BD: エジプトの象形文字R011
132BE: エジプトの象形文字R012
132BF: エジプトの象形文字R013
132C0: エジプトの象形文字R014
132C1: エジプトの象形文字R015
132C2: エジプトの象形文字R016
132C3: エジプトの象形文字R016a
132C4: エジプトの象形文字R017
132C5: エジプトの象形文字R018
132C6: エジプトの象形文字R019
132C7: エジプトの象形文字R020
132C8: エジプトの象形文字R021
132C9: エジプトの象形文字R022
132CA: エジプトの象形文字R023
132CB: エジプトの象形文字R024
132CC: エジプトの象形文字R025
132CD: エジプトの象形文字R026
132CE: エジプトの象形文字R027
132CF: エジプトの象形文字R028
132D0: エジプトの象形文字R029
132D1: エジプトの象形文字S001
132D2: エジプトの象形文字S002
132D3: エジプトの象形文字S002a
132D4: エジプトの象形文字S003
132D5: エジプトの象形文字S004
132D6: エジプトの象形文字S005
132D7: エジプトの象形文字S006
132D8: エジプトの象形文字S006a
132D9: エジプトの象形文字S007
132DA: エジプトの象形文字S008
132DB: エジプトの象形文字S009
132DC: エジプトの象形文字S010
132DD: エジプトの象形文字S011
132DE: エジプトの象形文字S012
132DF: エジプトの象形文字S013
132E0: エジプトの象形文字S014
132E1: エジプトの象形文字S014a
132E2: エジプトの象形文字S014b
132E3: エジプトの象形文字S015
132E4: エジプトの象形文字S016
132E5: エジプトの象形文字S017
132E6: エジプトの象形文字S017a
132E7: エジプトの象形文字S018
132E8: エジプトの象形文字S019
132E9: エジプトの象形文字S020
132EA: エジプトの象形文字S021
132EB: エジプトの象形文字S022
132EC: エジプトの象形文字S023
132ED: エジプトの象形文字S024
132EE: エジプトの象形文字S025
132EF: エジプトの象形文字S026
132F0: エジプトの象形文字S026a
132F1: エジプトの象形文字S026b
132F2: エジプトの象形文字S027
132F3: エジプトの象形文字S028
132F4: エジプトの象形文字S029
132F5: エジプトの象形文字S030
132F6: エジプトの象形文字S031
132F7: エジプトの象形文字S032
132F8: エジプトの象形文字S033
132F9: エジプトの象形文字S034
132FA: エジプトの象形文字S035
132FB: エジプトの象形文字S035a
132FC: エジプトの象形文字S036
132FD: エジプトの象形文字S037
132FE: エジプトの象形文字S038
132FF: エジプトの象形文字S039
