13300: エジプトの象形文字S040
13301: エジプトの象形文字S041
13302: エジプトの象形文字S042
13303: エジプトの象形文字S043
13304: エジプトの象形文字S044
13305: エジプトの象形文字S045
13306: エジプトの象形文字S046
13307: エジプトの象形文字T001
13308: エジプトの象形文字T002
13309: エジプトの象形文字T003
1330A: エジプトの象形文字T003a
1330B: エジプトの象形文字T004
1330C: エジプトの象形文字T005
1330D: エジプトの象形文字T006
1330E: エジプトの象形文字T007
1330F: エジプトの象形文字T007a
13310: エジプトの象形文字T008
13311: エジプトの象形文字T008a
13312: エジプトの象形文字T009
13313: エジプトの象形文字T009a
13314: エジプトの象形文字T010
13315: エジプトの象形文字T011
13316: エジプトの象形文字T011a
13317: エジプトの象形文字T012
13318: エジプトの象形文字T013
13319: エジプトの象形文字T014
1331A: エジプトの象形文字T015
1331B: エジプトの象形文字T016
1331C: エジプトの象形文字T016a
1331D: エジプトの象形文字T017
1331E: エジプトの象形文字T018
1331F: エジプトの象形文字T019
13320: エジプトの象形文字T020
13321: エジプトの象形文字T021
13322: エジプトの象形文字T022
13323: エジプトの象形文字T023
13324: エジプトの象形文字T024
13325: エジプトの象形文字T025
13326: エジプトの象形文字T026
13327: エジプトの象形文字T027
13328: エジプトの象形文字T028
13329: エジプトの象形文字T029
1332A: エジプトの象形文字T030
1332B: エジプトの象形文字T031
1332C: エジプトの象形文字T032
1332D: エジプトの象形文字T032a
1332E: エジプトの象形文字T033
1332F: エジプトの象形文字T033a
13330: エジプトの象形文字T034
13331: エジプトの象形文字T035
13332: エジプトの象形文字T036
13333: エジプトの象形文字U001
13334: エジプトの象形文字U002
13335: エジプトの象形文字U003
13336: エジプトの象形文字U004
13337: エジプトの象形文字U005
13338: エジプトの象形文字U006
13339: エジプトの象形文字U006a
1333A: エジプトの象形文字U006b
1333B: エジプトの象形文字U007
1333C: エジプトの象形文字U008
1333D: エジプトの象形文字U009
1333E: エジプトの象形文字U010
1333F: エジプトの象形文字U011
13340: エジプトの象形文字U012
13341: エジプトの象形文字U013
13342: エジプトの象形文字U014
13343: エジプトの象形文字U015
13344: エジプトの象形文字U016
13345: エジプトの象形文字U017
13346: エジプトの象形文字U018
13347: エジプトの象形文字U019
13348: エジプトの象形文字U020
13349: エジプトの象形文字U021
1334A: エジプトの象形文字U022
1334B: エジプトの象形文字U023
1334C: エジプトの象形文字U023a
1334D: エジプトの象形文字U024
1334E: エジプトの象形文字U025
1334F: エジプトの象形文字U026
13350: エジプトの象形文字U027
13351: エジプトの象形文字U028
13352: エジプトの象形文字U029
13353: エジプトの象形文字U029a
13354: エジプトの象形文字U030
13355: エジプトの象形文字U031
13356: エジプトの象形文字U032
13357: エジプトの象形文字U032a
13358: エジプトの象形文字U033
13359: エジプトの象形文字U034
1335A: エジプトの象形文字U035
1335B: エジプトの象形文字U036
1335C: エジプトの象形文字U037
1335D: エジプトの象形文字U038
1335E: エジプトの象形文字U039
1335F: エジプトの象形文字U040
13360: エジプトの象形文字U041
13361: エジプトの象形文字U042
13362: エジプトの象形文字V001
13363: エジプトの象形文字V001a
13364: エジプトの象形文字V001b
13365: エジプトの象形文字V001c
13366: エジプトの象形文字V001d
13367: エジプトの象形文字V001e
13368: エジプトの象形文字V001f
13369: エジプトの象形文字V001g
1336A: エジプトの象形文字V001h
1336B: エジプトの象形文字V001i
1336C: エジプトの象形文字V002
1336D: エジプトの象形文字V002a
1336E: エジプトの象形文字V003
1336F: エジプトの象形文字V004
13370: エジプトの象形文字V005
13371: エジプトの象形文字V006
13372: エジプトの象形文字V007
13373: エジプトの象形文字V007a
13374: エジプトの象形文字V007b
13375: エジプトの象形文字V008
13376: エジプトの象形文字V009
13377: エジプトの象形文字V010
13378: エジプトの象形文字V011
13379: エジプトの象形文字V011a
