16E00:
16E01:
16E02:
16E03:
16E04:
16E05:
16E06:
16E07:
16E08:
16E09:
16E0A:
16E0B:
16E0C:
16E0D:
16E0E:
16E0F:
16E10:
16E11:
16E12:
16E13:
16E14:
16E15:
16E16:
16E17:
16E18:
16E19:
16E1A:
16E1B:
16E1C:
16E1D:
16E1E:
16E1F:
16E20:
16E21:
16E22:
16E23:
16E24:
16E25:
16E26:
16E27:
16E28:
16E29:
16E2A:
16E2B:
16E2C:
16E2D:
16E2E:
16E2F:
16E30:
16E31:
16E32:
16E33:
16E34:
16E35:
16E36:
16E37:
16E38:
16E39:
16E3A:
16E3B:
16E3C:
16E3D:
16E3E:
16E3F:
16E40: メデファイドリンキャピタルレターM
16E41: メデファイドリンキャピタルレターS
16E42: メデファイドリンキャピタルレターV
16E43: メデファイドリンキャピタルレターW
16E44: メデファイドリン大文字Atiu
16E45: メデファイドリンキャピタルレターZ
16E46: メデファイドリンキャピタルレターKp
16E47: メデファイドリン大文字P
16E48: メデファイドリン大文字T
16E49: メデファイドリン大文字G
16E4A: メデファイドリン大文字F
16E4B: メデファイドリンキャピタルレターI
16E4C: メデファイドリンキャピタルレターK
16E4D: メデファイドリン大文字A
16E4E: メデファイドリンキャピタルレターJ
16E4F: メデファイドリン大文字E
16E50: メデファイドリン大文字B
16E51: メデファイドリン大文字C
16E52: メデファイドリンキャピタルレターU
16E53: メデファイドリンキャピタルレターユー
16E54: メデファイドリン大文字L
16E55: メデファイドリンキャピタルレターQ
16E56: メデファイドリンキャピタルレターHp
16E57: メデファイドリンキャピタルレターニューヨーク
16E58: メデファイドリン大文字X
16E59: メデファイドリン大文字D
16E5A: メデファイドリンキャピタルレター大江
16E5B: メデファイドリン大文字N
16E5C: メデファイドリン大文字R
16E5D: メデファイドリン大文字O
16E5E: メデファイドリン大文字Ai
16E5F: メデファイドリン大文字Y
16E60: メデファイドリンスモールレターM
16E61: メデファイドリンスモールレターS
16E62: メデファイドリンスモールレターV
16E63: メデファイドリンスモールレターW
16E64: メデファイドリンスモールレターアティウ
16E65: メデファイドリンスモールレターZ
16E66: メデファイドリンスモールレターKp
16E67: メデファイドリンスモールレターP
16E68: メデファイドリンスモールレターT
16E69: メデファイドリンスモールレターG
16E6A: メデファイドリンスモールレターF
16E6B: メデファイドリンスモールレターI
16E6C: メデファイドリンスモールレターK
16E6D: メデファイドリンスモールレターA
16E6E: メデファイドリンスモールレターJ
16E6F: メデファイドリンスモールレターE
16E70: メデファイドリンスモールレターB
16E71: メデファイドリンスモールレターC
16E72: メデファイドリンスモールレターU
16E73: メデファイドリンスモールレターユウ
16E74: メデファイドリンスモールレターL
16E75: メデファイドリンスモールレターQ
16E76: メデファイドリンスモールレターHp
16E77: メデファイドリンスモールレターニューヨーク
16E78: メデファイドリンスモールレターX
16E79: メデファイドリンスモールレターD
16E7A: メデファイドリンスモールレター大江さん
16E7B: メデファイドリンスモールレターN
16E7C: メデファイドリンスモールレターR
16E7D: メデファイドリンスモールレターO
16E7E: メデファイドリンスモールレターアイ
16E7F: メデファイドリンスモールレターY
16E80: メデファイドリンディジットゼロ
16E81: メデファイドリンディジットワン
16E82: メデファイドリンディジット2
16E83: メデファイドリンディジットスリー
16E84: メデファイドリンディジットフォー
16E85: メデファイドリンディジットファイブ
16E86: メデファイドリンディジットシックス
16E87: メデファイドリンディジットセブン
16E88: メデファイドリンディジットエイト
16E89: メデファイドリンディジットナイン
16E8A: メデファイドリンナンバーテン
16E8B: メデファイドリンナンバー11
16E8C: メデファイドリンナンバー12
16E8D: メデファイドリンナンバー13
16E8E: メデファイドリン番号14
16E8F: メデファイドリン番号15
16E90: メデファイドリンナンバー16
16E91: メデファイドリン番号17
16E92: メデファイドリンナンバー18
16E93: メデファイドリンナンバー19
16E94: Medefaidrin Digit One代替フォーム
16E95: メデファイドリン数字2別形式
16E96: メデファイドリン数字3別形式
16E97: メデファイドリンコンマ
16E98: メデファイドリンフルストップ
16E99: メデファイドリンのシンボルシバ
16E9A: メデファイドリンの感嘆ああ
16E9B:
16E9C:
16E9D:
16E9E:
16E9F:
16EA0:
16EA1:
16EA2:
16EA3:
16EA4:
16EA5:
16EA6:
16EA7:
16EA8:
16EA9:
16EAA:
16EAB:
16EAC:
16EAD:
16EAE:
16EAF:
16EB0:
16EB1:
16EB2:
16EB3:
16EB4:
16EB5:
16EB6:
16EB7:
16EB8:
16EB9:
16EBA:
16EBB:
16EBC:
16EBD:
16EBE:
16EBF:
16EC0:
16EC1:
16EC2:
16EC3:
16EC4:
16EC5:
16EC6:
16EC7:
16EC8:
16EC9:
16ECA:
16ECB:
16ECC:
16ECD:
16ECE:
16ECF:
16ED0:
16ED1:
16ED2:
16ED3:
16ED4:
16ED5:
16ED6:
16ED7:
16ED8:
16ED9:
16EDA:
16EDB:
16EDC:
16EDD:
16EDE:
16EDF:
16EE0:
16EE1:
16EE2:
16EE3:
16EE4:
16EE5:
16EE6:
16EE7:
16EE8:
16EE9:
16EEA:
16EEB:
16EEC:
16EED:
16EEE:
16EEF:
16EF0:
16EF1:
16EF2:
16EF3:
16EF4:
16EF5:
16EF6:
16EF7:
16EF8:
16EF9:
16EFA:
16EFB:
16EFC:
16EFD:
16EFE:
16EFF: