17400: Tangut表意文字L2008-3707
17401: タング付表意文字L2008-3156
17402: Tangutの表意文字L2008-3271
17403: Tangut表意文字L2008-3253
17404: Tangutの表意文字L2008-2061
17405: タング付表意文字L2008-2434
17406: タング付表意文字L2008-3089
17407: タング付表意文字L2008-3090
17408: タング付表意文字L2008-3088
17409: タング付表意文字L2008-2600
1740A: タング付表意文字L2008-3558
1740B: タング付表意文字L2008-3401
1740C: タング付表意文字L2008-3432
1740D: タング付表意文字L2008-3018
1740E: Tangutの表意文字L2008-3391
1740F: タング付表意文字L2008-3036
17410: Tangut表意文字L2008-3423
17411: タング付表意文字L2008-3398
17412: タング付表意文字L2008-3005
17413: タング付表意文字L2008-3038
17414: タング付表意文字L2008-3083
17415: タング付表意文字L2008-3448
17416: タング付表意文字L2008-3392
17417: タング付表意文字L2008-3015
17418: タング付表意文字L2008-3043
17419: タング付表意文字L2008-3016
1741A: タング付表意文字L2008-3188
1741B: Tangutの表意文字L2008-2994
1741C: タング付表意文字L2008-3008
1741D: タング付表意文字L2008-3822
1741E: タング付表意文字L2008-3825
1741F: タング付表意文字L2008-3816
17420: タング付表意文字L2008-3828
17421: タング付表意文字L2008-3820
17422: タング付表意文字L2008-3814
17423: Tangutの表意文字L2008-3821
17424: タング付表意文字L2008-3813
17425: Tangutの表意文字L2008-3829
17426: タング付表意文字L2008-3824
17427: タング付表意文字L2008-3817
17428: タング付表意文字L2008-3893
17429: Tangutの表意文字L2008-3938
1742A: タング付表意文字L2008-4775
1742B: タング付表意文字L2008-4795
1742C: タング付表意文字L2008-4933
1742D: Tangutの表意文字L2008-4761
1742E: Tangutの表意文字L2008-4676
1742F: タング付表意文字L2008-4719
17430: タング付表意文字L2008-4842
17431: Tangutの表意文字L2008-4884
17432: Tangutの表意文字L2008-5042
17433: タング付表意文字L2008-4865
17434: Tangutの表意文字L2008-4681
17435: タング付表意文字L2008-4803
17436: タング付表意文字L2008-4720
17437: Tangutの表意文字L2008-4843
17438: タング付表意文字L2008-4804
17439: Tangutの表意文字L2008-4760
