17A00: Tangutの表意文字L2008-2652
17A01: Tangutの表意文字L2008-2612
17A02: タング付表意文字L2008-3685
17A03: タング付表意文字L2008-2633
17A04: Tangut表意文字L2008-2132
17A05: タング付表意文字L2008-2619
17A06: Tangutの表意文字L2008-2623
17A07: タング付表意文字L2008-3780
17A08: Tangutの表意文字L2008-2756
17A09: タング付表意文字L2008-3575
17A0A: タング付表意文字L2008-3582
17A0B: Tangutの表意文字L2008-2096
17A0C: Tangut表意文字L2008-3129
17A0D: Tangutの表意文字L2008-2476
17A0E: タング付表意文字L2008-2613
17A0F: Tangutの表意文字L2008-3663
17A10: タング付表意文字L2008-3624
17A11: Tangutの表意文字L2008-6044
17A12: Tangutの表意文字L2008-2097
17A13: タング付表意文字L2008-2100
17A14: Tangutの表意文字L2008-2123
17A15: Tangut表意文字L2008-3783
17A16: タング付表意文字L2008-3144
17A17: タング付表意文字L2008-3595
17A18: Tangutの表意文字L2008-3660
17A19: タング付表意文字L2008-3159
17A1A: Tangutの表意文字L2008-3662
17A1B: Tangutの表意文字L2008-2511
17A1C: Tangutの表意文字L2008-2664
17A1D: Tangutの表意文字L2008-3249
17A1E: タング付表意文字L2008-3230
17A1F: Tangutの表意文字L2008-2494
17A20: タング付表意文字L2008-3147
17A21: タング付表意文字L2008-3116
17A22: タング付表意文字L2008-3286B
17A23: Tangut表意文字L2008-2624
17A24: Tangutの表意文字L2008-2179
17A25: タング付表意文字L2008-3106
17A26: Tangutの表意文字L2008-3381
17A27: タング付表意文字L2008-3154
17A28: Tangutの表意文字L2008-2757
17A29: Tangutの表意文字L2008-3219
17A2A: Tangutの表意文字L2008-3263
17A2B: タング付表意文字L2008-3197
17A2C: Tangutの表意文字L2008-3287
17A2D: タング付表意文字L2008-3105
17A2E: Tangut表意文字L2008-3235
17A2F: Tangutの表意文字L2008-3267
17A30: Tangutの表意文字L2008-2497
17A31: タング付表意文字L2008-3656
17A32: タング付表意文字L2008-3260
17A33: タング付表意文字L2008-3175
17A34: Tangutの表意文字L2008-2204
17A35: Tangutの表意文字L2008-2607
17A36: Tangut表意文字L2008-3117
17A37: Tangutの表意文字L2008-2236
17A38: Tangutの表意文字L2008-2217
17A39: Tangutの表意文字L2008-2092
17A3A: Tangutの表意文字L2008-2076
17A3B: Tangutの表意文字L2008-2226
17A3C: Tangutの表意文字L2008-2130
17A3D: タング付表意文字L2008-6045
17A3E: タング付表意文字L2008-3598
17A3F: Tangut表意文字L2008-3218
17A40: Tangut表意文字L2008-3302
17A41: Tangutの表意文字L2008-2878
17A42: Tangutの表意文字L2008-2286
17A43: Tangutの表意文字L2008-2875
17A44: Tangutの表意文字L2008-2860
17A45: Tangutの表意文字L2008-2869
17A46: Tangutの表意文字L2008-2882
17A47: Tangutの表意文字L2008-2872
17A48: タング付表意文字L2008-2805
17A49: Tangutの表意文字L2008-3236
17A4A: タング付表意文字L2008-3681
17A4B: タング付表意文字L2008-3682
17A4C: タング付表意文字L2008-2680
17A4D: Tangutの表意文字L2008-2221-2807
17A4E: Tangutの表意文字L2008-2785
17A4F: タング付表意文字L2008-3343
17A50: タング付表意文字L2008-2108
17A51: Tangutの表意文字L2008-2109
17A52: タング付表意文字L2008-3132
17A53: タング付表意文字L2008-3637
17A54: Tangut表意文字L2008-2665
17A55: Tangutの表意文字L2008-2112
17A56: タング付表意文字L2008-3148
17A57: タング付表意文字L2008-3714
17A58: Tangutの表意文字L2008-2099
17A59: Tangutの表意文字L2008-2667
17A5A: Tangutの表意文字L2008-2495
17A5B: Tangutの表意文字L2008-3646
17A5C: タング付表意文字L2008-3611
17A5D: Tangutの表意文字L2008-2653
17A5E: Tangutの表意文字L2008-2666
17A5F: タング付表意文字L2008-3318
17A60: タング付表意文字L2008-3319
