17C00: タング付表意文字L2008-5332
17C01: Tangutの表意文字L2008-5176
17C02: Tangutの表意文字L2008-5595
17C03: タング付表意文字L2008-5186
17C04: タング付表意文字L2008-5187
17C05: Tangutの表意文字L2008-5597
17C06: Tangutの表意文字L2008-5167
17C07: Tangutの表意文字L2008-5623
17C08: Tangutの表意文字L2008-5629
17C09: Tangutの表意文字L2008-5238
17C0A: Tangutの表意文字L2008-5181
17C0B: Tangutの表意文字L2008-5438
17C0C: Tangutの表意文字L2008-5331
17C0D: Tangut表意文字L2008-5630
17C0E: Tangutの表意文字L2008-5398
17C0F: Tangutの表意文字L2008-0788
17C10: Tangutの表意文字L2008-0781
17C11: Tangutの表意文字L2008-5945
17C12: Tangutの表意文字L2008-0744
17C13: Tangutの表意文字L2008-0491
17C14: Tangutの表意文字L2008-0997
17C15: タング付表意文字L2008-6020
17C16: Tangutの表意文字L2008-0478
17C17: タング付表意文字L2008-1084
17C18: タング付表意文字L2008-1097
17C19: タング付表意文字L2008-0174
17C1A: タング付表意文字L2008-0755
17C1B: タング付表意文字L2008-1640
17C1C: タング付表意文字L2008-0856
17C1D: Tangutの表意文字L2008-0499
17C1E: タング付表意文字L2008-0176
17C1F: Tangutの表意文字L2008-0175
17C20: タング付表意文字L2008-1011
17C21: Tangutの表意文字L2008-0963
17C22: Tangutの表意文字L2008-0761
17C23: タング付表意文字L2008-1012
17C24: Tangut表意文字L2008-1125
17C25: Tangutの表意文字L2008-1649
17C26: タング付表意文字L2008-1595
17C27: Tangutの表意文字L2008-1126
17C28: タング付表意文字L2008-1844
17C29: Tangutの表意文字L2008-0964
17C2A: Tangutの表意文字L2008-0772
17C2B: タング付表意文字L2008-1233
17C2C: タング付表意文字L2008-1292
17C2D: タング付表意文字L2008-1040
17C2E: Tangutの表意文字L2008-0947
17C2F: Tangutの表意文字L2008-1251
17C30: タング付表意文字L2008-1264
17C31: Tangutの表意文字L2008-0678
17C32: タング付表意文字N1966-190-053
17C33: タング付表意文字L2008-1370
17C34: タング付表意文字L2008-1688
17C35: タング付表意文字L2008-0336
17C36: タングタング表意文字S1968-4699
17C37: タング付表意文字L2008-1431
17C38: Tangutの表意文字L2008-0390
17C39: タング付表意文字L2008-1476
