17D00: Tangutの表意文字L2008-0464
17D01: タング付表意文字L2008-1560
17D02: タング付表意文字L2008-1572
17D03: Tangutの表意文字L2008-0468
17D04: タング付表意文字L2008-1571
17D05: Tangutの表意文字L2008-1838
17D06: タング付表意文字L2008-1556
17D07: タング付表意文字L2008-1832
17D08: タング付表意文字L2008-1099
17D09: タング付表意文字L2008-1088
17D0A: Tangutの表意文字L2008-0759
17D0B: タング付表意文字L2008-4448
17D0C: Tangutの表意文字L2008-4443
17D0D: タング付表意文字L2008-1513
17D0E: タング付表意文字L2008-1533
17D0F: タング付表意文字L2008-3408
17D10: タング付表意文字L2008-2320
17D11: タング付表意文字L2008-3400
17D12: Tangutの表意文字L2008-2539
17D13: タング付表意文字L2008-3426
17D14: Tangutの表意文字L2008-3417
17D15: Tangutの表意文字L2008-2531
17D16: Tangutの表意文字L2008-2694
17D17: タング付表意文字L2008-2330
17D18: タング付表意文字L2008-3418
17D19: Tangutの表意文字L2008-3742
17D1A: タング付表意文字L2008-3427
17D1B: Tangutの表意文字L2008-2331
17D1C: タング付表意文字L2008-3743
17D1D: Tangutの表意文字L2008-2901
17D1E: タング付表意文字L2008-2540
17D1F: タング付表意文字L2008-3425
17D20: Tangut表意文字L2008-2528
17D21: タング付表意文字L2008-3399
17D22: タング付表意文字L2008-3419
17D23: タング付表意文字L2008-2899
17D24: Tangutの表意文字L2008-3747
17D25: タング付表意文字L2008-3412
17D26: タング付表意文字L2008-1528
17D27: タング付表意文字L2008-1498
17D28: タング付表意文字L2008-1493
17D29: タング付表意文字L2008-1505
17D2A: タング付表意文字L2008-3396
17D2B: タング付表意文字L2008-3006
17D2C: Tangutの表意文字L2008-3272
17D2D: Tangutの表意文字L2008-2999
17D2E: タング付表意文字L2008-3017
17D2F: Tangutの表意文字L2008-5999
17D30: タング付表意文字L2008-0037
17D31: タング付表意文字L2008-0062
17D32: Tangutの表意文字L2008-0071
17D33: タング付表意文字L2008-0059
17D34: タング付表意文字L2008-0140
17D35: Tangutの表意文字L2008-0124
17D36: タング付表意文字N1966-018-083
17D37: タング付表意文字L2008-0004
17D38: タング付表意文字L2008-0054
17D39: Tangutの表意文字L2008-0127
17D3A: タング付表意文字L2008-0092
17D3B: タング付表意文字L2008-0110
17D3C: タング付表意文字L2008-0006
17D3D: タング付表意文字L2008-0011
17D3E: タング付表意文字L2008-0040
17D3F: タング付表意文字L2008-0105
17D40: Tangutの表意文字L2008-0072
17D41: Tangutの表意文字L2008-0153
17D42: Tangutの表意文字L2008-0111
17D43: Tangutの表意文字L2008-0083
17D44: タング付表意文字L2008-0103
17D45: Tangutの表意文字L2008-0047
17D46: タング付表意文字L2008-0113
17D47: タング付表意文字L2008-0033
17D48: Tangutの表意文字L2008-0029
17D49: Tangut表意文字L2008-0060
17D4A: Tangutの表意文字L2008-0125
17D4B: タング付表意文字L2008-0041
17D4C: タング付表意文字L2008-0149
17D4D: タング付表意文字L2008-0119
17D4E: タング付表意文字L2008-0128
17D4F: タング付表意文字L2008-0012
17D50: タング付表意文字L2008-0139
17D51: タング付表意文字L2008-0154
17D52: タング付表意文字L2008-0152
17D53: タング付表意文字L2008-0034
17D54: Tangutの表意文字L2008-0051
17D55: タング付表意文字L2008-0022
17D56: タング付表意文字L2008-0131
17D57: Tangutの表意文字L2008-0098
17D58: タング付表意文字L2008-0020
17D59: Tangutの表意文字L2008-0129
17D5A: タング付表意文字L2008-0021
17D5B: タング付表意文字L2008-0137
17D5C: タング付表意文字L2008-0133
17D5D: タング付表意文字L2008-0115
17D5E: タング付表意文字L2008-0106
17D5F: タング付表意文字L2008-0144
17D60: タング付表意文字L2008-0138
17D61: タング付表意文字L2008-0146
17D62: タング付表意文字L2008-0134
17D63: タング付表意文字L2008-0055
17D64: タング付表意文字L2008-0007
17D65: タング付表意文字L2008-0130
17D66: タング付表意文字L2008-0093
17D67: タング付表意文字L2008-0136
17D68: タング付表意文字L2008-0107
17D69: タング付表意文字L2008-0120
17D6A: タング付表意文字L2008-0114
17D6B: タング付表意文字L2008-0109
17D6C: タング付表意文字L2008-0126
17D6D: タング付表意文字L2008-0135
17D6E: Tangutの表意文字L2008-0121
17D6F: Tangutの表意文字L2008-0073
17D70: Tangutの表意文字L2008-0078
17D71: タング付表意文字L2008-0058
17D72: タング付表意文字L2008-0023
17D73: タング付表意文字L2008-0053
17D74: タング付表意文字L2008-1283
17D75: タング付表意文字L2008-0588
17D76: Tangutの表意文字L2008-1867
17D77: Tangutの表意文字L2008-1383-1384
17D78: タング付表意文字L2008-0817
17D79: タング付表意文字L2008-1049
17D7A: Tangutの表意文字L2008-4451
17D7B: タング付表意文字L2008-0346
17D7C: Tangutの表意文字L2008-0321
17D7D: タング付表意文字L2008-0542
17D7E: Tangutの表意文字L2008-0691
17D7F: Tangutの表意文字L2008-1171
17D80: タング付表意文字L2008-1315
17D81: Tangutの表意文字L2008-0692
17D82: Tangutの表意文字L2008-1872
17D83: タング付表意文字L2008-1733
17D84: Tangutの表意文字L2008-0704
17D85: Tangutの表意文字L2008-1354
17D86: タング付表意文字L2008-1256
17D87: タング付表意文字L2008-1864
17D88: Tangutの表意文字L2008-1757
17D89: Tangutの表意文字L2008-1781
17D8A: Tangutの表意文字L2008-1674
17D8B: Tangutの表意文字L2008-1782
17D8C: Tangutの表意文字L2006-6014
17D8D: Tangutの表意文字L2008-1172
17D8E: Tangutの表意文字L2008-0574
17D8F: タング付表意文字L2008-1401
17D90: タング付表意文字L2008-1232
17D91: Tangutの表意文字L2008-6012
17D92: タング付表意文字H2004-A-5841
17D93: タング付表意文字L2008-0348
17D94: Tangutの表意文字L2008-1726
17D95: Tangutの表意文字L2008-1692
17D96: Tangutの表意文字L2008-6021
17D97: タング付表意文字L2008-1131
17D98: タング付表意文字L2008-1039
17D99: タング付表意文字L2008-0514
17D9A: タング付表意文字L2008-0213
17D9B: Tangutの表意文字L2008-0195
17D9C: タング付表意文字L2008-0905
17D9D: Tangutの表意文字L2008-0899
17D9E: Tangutの表意文字L2008-5490
17D9F: タング付表意文字L2008-0906
17DA0: Tangutの表意文字L2008-2396
17DA1: Tangut表意文字L2008-5491
17DA2: タング付表意文字L2008-0908
17DA3: Tangutの表意文字L2008-2573
17DA4: Tangutの表意文字L2008-0475
17DA5: Tangutの表意文字L2008-0907
17DA6: タング付表意文字L2008-1576
17DA7: Tangutの表意文字L2008-2397
17DA8: Tangutの表意文字L2008-2995
17DA9: タング付表意文字L2008-2574
17DAA: Tangutの表意文字L2008-5862
17DAB: Tangutの表意文字L2008-2996
17DAC: タング付表意文字N1966-319-114
17DAD: タング付表意文字L2008-5062
17DAE: タング付表意文字L2008-0155
17DAF: Tangut表意文字L2008-5492
17DB0: タング付表意文字L2008-3520
17DB1: Tangutの表意文字L2008-4479
17DB2: Tangutの表意文字L2008-4478
17DB3: Tangutの表意文字L2008-4473
17DB4: Tangutの表意文字L2008-4475
17DB5: Tangutの表意文字L2008-4472
17DB6: Tangutの表意文字L2008-4496
17DB7: タング付表意文字L2008-4481
17DB8: Tangutの表意文字L2008-4498
17DB9: タング付表意文字L2008-4469
17DBA: Tangutの表意文字L2008-4471
17DBB: Tangutの表意文字L2008-4482
17DBC: タング付表意文字L2008-4492
17DBD: Tangutの表意文字L2008-4488
17DBE: Tangutの表意文字L2008-4474
17DBF: Tangutの表意文字L2008-4484
17DC0: タング付表意文字L2008-4500
17DC1: Tangut表意文字L2008-4497
17DC2: Tangutの表意文字L2008-4470
17DC3: Tangutの表意文字L2008-4491
17DC4: Tangutの表意文字L2008-4477
17DC5: タング付表意文字L2008-4502
17DC6: タング付表意文字L2008-4489
17DC7: タング付表意文字L2008-4490
17DC8: Tangut表意文字L2008-4483
17DC9: Tangutの表意文字L2008-4501
17DCA: Tangutの表意文字L2008-6054
17DCB: タング付表意文字H2004-A-5844
17DCC: Tangutの表意文字L2008-4494
17DCD: Tangut表意文字L2008-4493
17DCE: タング付表意文字L2008-4480
17DCF: Tangutの表意文字L2008-4495
17DD0: Tangutの表意文字L2008-4499
17DD1: Tangut表意文字L2008-4486
17DD2: タング付表意文字H2004-A-5845
17DD3: Tangutの表意文字L2008-6053
