17E00: Tangutの表意文字L2008-1786
17E01: タング付表意文字L2008-1800
17E02: Tangutの表意文字L2008-0606
17E03: Tangutの表意文字L2008-0410
17E04: タング付表意文字L2008-1804
17E05: タング付表意文字L2008-1466
17E06: タング付表意文字L2008-1467
17E07: タング付表意文字L2008-1438
17E08: タング付表意文字L2008-0406-0407
17E09: Tangut表意文字L2008-1807
17E0A: Tangutの表意文字L2008-0833
17E0B: タング付表意文字L2008-1435
17E0C: タング付表意文字L2008-0832
17E0D: Tangutの表意文字L2008-0415
17E0E: Tangut表意文字L2008-0610
17E0F: タング付表意文字L2008-1479
17E10: タング付表意文字L2008-1474
17E11: Tangutの表意文字L2008-0617
17E12: タング付表意文字L2008-1473
17E13: Tangutの表意文字L2008-0425
17E14: Tangutの表意文字L2008-0887
17E15: Tangut表意文字L2008-0074
17E16: Tangutの表意文字L2008-0555
17E17: タング付表意文字L2008-0528
17E18: Tangutの表意文字L2008-0316
17E19: Tangutの表意文字L2008-0861
17E1A: Tangutの表意文字L2008-1873
17E1B: Tangutの表意文字L2008-0783
17E1C: Tangutの表意文字L2008-1705
17E1D: Tangutの表意文字L2008-1704
17E1E: Tangutの表意文字L2008-0317
17E1F: タング付表意文字L2008-0533
17E20: タング付表意文字L2008-0256
17E21: Tangutの表意文字L2008-0482
17E22: タング付表意文字L2008-0184-4510
17E23: Tangutの表意文字L2008-0644
17E24: Tangutの表意文字L2008-1134-4624
17E25: タング付表意文字L2008-1625
17E26: Tangutの表意文字L2008-0545
17E27: タング付表意文字L2008-1415
17E28: タング付表意文字L2008-1423
17E29: Tangutの表意文字L2008-0384
17E2A: タング付表意文字L2008-1257
17E2B: Tangutの表意文字L2008-1694
17E2C: Tangutの表意文字L2008-1669
17E2D: Tangutの表意文字L2008-0894
17E2E: タング付表意文字L2008-1293
17E2F: タング付表意文字L2008-1220
17E30: タング付表意文字L2008-1258
17E31: タング付表意文字L2008-0276
17E32: タング付表意文字L2008-1368
17E33: タング付表意文字L2008-1695
17E34: タング付表意文字L2008-0185
17E35: タング付表意文字L2008-0858
17E36: Tangutの表意文字L2008-0568
17E37: Tangutの表意文字L2008-1779
17E38: タング付表意文字L2008-0369
17E39: Tangutの表意文字L2008-0493
17E3A: Tangutの表意文字L2008-0485
17E3B: タング付表意文字L2008-0208
17E3C: Tangutの表意文字L2008-0198
17E3D: Tangutの表意文字L2008-0641
17E3E: Tangutの表意文字L2008-0656
17E3F: タング付表意文字L2008-0236
17E40: タング付表意文字L2008-0220
17E41: タング付表意文字L2008-1635
17E42: Tangutの表意文字L2008-0746
17E43: Tangutの表意文字L2008-0204
17E44: Tangutの表意文字L2008-0199
17E45: タング付表意文字L2008-1587
17E46: Tangutの表意文字L2008-6014
17E47: Tangutの表意文字L2008-0926
17E48: Tangutの表意文字L2008-1662
17E49: Tangutの表意文字L2008-0179
17E4A: Tangutの表意文字L2008-0211
17E4B: タング付表意文字L2008-1596
17E4C: タング付表意文字L2008-1597
17E4D: タング付表意文字L2008-1558
17E4E: タング付表意文字L2008-0637
17E4F: Tangutの表意文字L2008-0473
17E50: タング付表意文字L2008-1569
17E51: タング付表意文字L2008-1836
17E52: タング付表意文字L2008-1562
17E53: Tangutの表意文字L2008-0465
17E54: Tangutの表意文字L2008-0841
17E55: タング付表意文字L2008-1574
17E56: タング付表意文字L2008-1570
17E57: Tangutの表意文字L2008-0474
17E58: タング付表意文字L2008-1834
17E59: Tangutの表意文字L2008-0467
17E5A: Tangutの表意文字L2008-0631
17E5B: Tangutの表意文字L2008-0623
17E5C: タング付表意文字L2008-2388
17E5D: Tangutの表意文字L2008-1957
17E5E: Tangutの表意文字L2008-2391
17E5F: Tangutの表意文字L2008-3470
17E60: Tangutの表意文字L2008-2716
17E61: Tangutの表意文字L2008-1959
17E62: Tangutの表意文字L2008-1986
17E63: Tangutの表意文字L2008-2974
17E64: タング付表意文字L2008-1932
