17F00: タング付表意文字L2008-3152
17F01: Tangutの表意文字L2008-3269
17F02: タング付表意文字L2008-2200
17F03: Tangutの表意文字L2008-2544
17F04: Tangutの表意文字L2008-2341
17F05: タング付表意文字L2008-3434
17F06: Tangut表意文字L2008-2335
17F07: Tangutの表意文字L2008-2344
17F08: Tangutの表意文字L2008-2546
17F09: Tangut表意文字L2008-3751
17F0A: Tangutの表意文字L2008-3429
17F0B: タング付表意文字L2008-3442
17F0C: Tangutの表意文字L2008-2348
17F0D: Tangutの表意文字L2008-3435-3436
17F0E: Tangutの表意文字L2008-3752
17F0F: Tangutの表意文字L2008-3443
17F10: Tangut表意文字L2008-2345
17F11: Tangut表意文字L2008-2814
17F12: タング付表意文字L2008-2815
17F13: Tangutの表意文字L2008-2349
17F14: Tangutの表意文字L2008-2336
17F15: Tangutの表意文字L2008-2342
17F16: タング付表意文字L2008-2545
17F17: タング付表意文字L2008-3433
17F18: Tangutの表意文字L2008-3749
17F19: タング付表意文字L2008-2813
17F1A: タング付表意文字L2008-3437
17F1B: Tangutの表意文字L2008-2547
17F1C: Tangutの表意文字L2008-2337
17F1D: Tangutの表意文字L2008-2816
17F1E: Tangut表意文字L2008-3753
17F1F: タング付表意文字L2008-3750
17F20: Tangutの表意文字L2008-3438
17F21: タング付表意文字L2008-3439
17F22: Tangutの表意文字L2008-3754
17F23: Tangutの表意文字L2008-2338
17F24: タング付表意文字L2008-2340
17F25: タング付表意文字L2008-3440
17F26: Tangutの表意文字L2008-2346
17F27: Tangut表意文字L2008-6037
17F28: Tangutの表意文字L2008-2339
17F29: Tangutの表意文字L2008-3441
17F2A: タング付表意文字L2008-3430
17F2B: タング付表意文字L2008-3748
17F2C: Tangutの表意文字L2008-2343
17F2D: Tangutの表意文字L2008-2347
17F2E: Tangutの表意文字L2008-3431
17F2F: Tangutの表意文字L2008-2433
17F30: タング付表意文字L2008-3184
17F31: Tangutの表意文字L2008-2068
17F32: Tangutの表意文字L2008-2804
17F33: Tangutの表意文字L2008-2069
17F34: タング付表意文字L2008-2218
17F35: タング付表意文字L2008-2635
17F36: タング付表意文字L2008-3362
17F37: Tangutの表意文字L2008-2145
17F38: Tangut表意文字L2008-2077
17F39: Tangutの表意文字L2008-2207
17F3A: Tangutの表意文字L2008-2498
17F3B: Tangutの表意文字L2008-2627
17F3C: Tangutの表意文字L2008-2605
17F3D: タング付表意文字L2008-3799
17F3E: タング付表意文字L2008-3382
17F3F: タング付表意文字L2008-3206
17F40: Tangutの表意文字L2008-3264
17F41: Tangutの表意文字L2008-2871
17F42: Tangutの表意文字L2008-2285
17F43: Tangut表意文字L2008-2654
17F44: Tangutの表意文字L2008-2461
17F45: Tangutの表意文字L2008-2685
17F46: タング付表意文字L2008-3792
17F47: Tangut表意文字L2008-3667
17F48: Tangutの表意文字L2008-3668
17F49: タング付表意文字L2008-3185
17F4A: Tangutの表意文字L2008-2889
17F4B: Tangutの表意文字L2008-3223
17F4C: タング付表意文字L2008-3122
17F4D: タング付表意文字L2008-2799A
17F4E: タングタング表意文字L2008-2799B
17F4F: Tangutの表意文字L2008-2237
17F50: Tangutの表意文字L2008-2199
17F51: タング付表意文字L2008-3309
17F52: Tangutの表意文字L2008-2137
17F53: Tangutの表意文字L2008-2154
17F54: Tangutの表意文字L2008-3721
17F55: タング付表意文字L2008-2780
17F56: Tangutの表意文字L2008-3291
17F57: Tangutの表意文字L2008-3290
17F58: Tangutの表意文字L2008-3387
17F59: Tangutの表意文字L2008-2741
17F5A: Tangutの表意文字L2008-2773
17F5B: タング付表意文字L2008-3136
17F5C: Tangutの表意文字L2008-3293
17F5D: タング付表意文字L2008-3632
17F5E: Tangutの表意文字L2008-3666
17F5F: タング付表意文字L2008-3169
17F60: Tangut表意文字L2008-3689
17F61: Tangutの表意文字L2008-2674
17F62: タング付表意文字L2008-3137
17F63: タング付表意文字L2008-3328
17F64: Tangut表意文字L2008-2153
17F65: Tangutの表意文字L2008-2121
17F66: Tangutの表意文字L2008-2482
17F67: Tangutの表意文字L2008-2758
17F68: タング付表意文字L2008-3203
17F69: タング付表意文字L2008-3108
17F6A: Tangutの表意文字L2008-2122
17F6B: Tangutの表意文字L2008-2765
17F6C: Tangutの表意文字L2008-2861
17F6D: Tangutの表意文字L2008-3601
17F6E: Tangutの表意文字L2008-3669
17F6F: Tangutの表意文字L2008-2483
17F70: Tangutの表意文字L2008-2138
17F71: タング付表意文字L2008-3390
17F72: Tangutの表意文字L2008-2181
17F73: Tangutの表意文字L2008-2887
17F74: タング付表意文字L2008-3292
17F75: タング付表意文字L2008-3138
17F76: タング付表意文字L2008-3358
17F77: Tangutの表意文字L2008-2085
17F78: Tangutの表意文字L2008-3321
17F79: Tangutの表意文字L2008-2450
17F7A: Tangutの表意文字L2008-3177
17F7B: Tangutの表意文字L2008-2673
17F7C: タング付表意文字L2008-3584
17F7D: Tangutの表意文字L2008-2598
17F7E: Tangutの表意文字L2008-2585
17F7F: Tangutの表意文字L2008-2632
17F80: Tangutの表意文字L2008-2576
17F81: Tangutの表意文字L2008-6035
17F82: タング付表意文字L2008-2599
17F83: Tangutの表意文字L2008-2692
17F84: Tangutの表意文字L2008-2658
17F85: Tangutの表意文字L2008-2593
17F86: タング付表意文字L2008-3087
17F87: Tangutの表意文字L2008-3242
17F88: Tangutの表意文字L2008-3294
17F89: タング付表意文字L2008-3186
17F8A: Tangutの表意文字L2008-2252-2253
17F8B: Tangutの表意文字L2008-2742
17F8C: Tangutの表意文字L2008-3645
17F8D: タング付表意文字L2008-3204
17F8E: Tangutの表意文字L2008-3243
17F8F: タング付表意文字L2008-3109
17F90: Tangutの表意文字L2008-2238
17F91: Tangutの表意文字L2008-2254
17F92: Tangutの表意文字L2008-2070
17F93: Tangutの表意文字L2008-2079
17F94: Tangutの表意文字L2008-2449
17F95: Tangutの表意文字L2008-3295
17F96: Tangutの表意文字L2008-2628
