18100: タング付表意文字L2008-1013
18101: Tangutの表意文字L2008-0495
18102: タング付表意文字L2008-1598
18103: タング付表意文字L2008-1592
18104: タング付表意文字L2008-1085
18105: Tangutの表意文字L2008-0221
18106: タング付表意文字L2008-0183
18107: タング付表意文字L2008-0166
18108: Tangutの表意文字L2008-0643
18109: Tangutの表意文字L2008-0958
1810A: タング付表意文字L2008-0938
1810B: Tangutの表意文字L2008-0225
1810C: Tangutの表意文字L2008-0939
1810D: タング付表意文字L2008-1637
1810E: タング付表意文字L2008-1638
1810F: タング付表意文字L2008-0756
18110: タング付表意文字L1986-3906
18111: タング付表意文字L2008-0757
18112: Tangutの表意文字L2008-0776
18113: Tangutの表意文字L2008-1149
18114: Tangutの表意文字L2008-0989
18115: タング付表意文字L2008-0569
18116: タング付表意文字L2008-0710
18117: Tangut表意文字L2008-1404
18118: タング付表意文字L2008-1352
18119: Tangutの表意文字L2008-0865
1811A: Tangutの表意文字L2008-0712
1811B: タング付表意文字L2008-0331
1811C: タング付表意文字L2008-0159
1811D: Tangutの表意文字L2008-1636
1811E: Tangutの表意文字L2008-0657
1811F: タング付表意文字L2008-1273
18120: タング付表意文字L2008-1385
18121: Tangutの表意文字L2008-1771
18122: タング付表意文字L2008-1718
18123: タング付表意文字L2008-0344
18124: タング付表意文字L2008-1286
18125: Tangutの表意文字L2008-1205
18126: Tangutの表意文字L2008-1772
18127: Tangutの表意文字L2008-0871
18128: タング付表意文字L2008-1015
18129: タング付表意文字L2008-0500
1812A: タング付表意文字L2008-1850
1812B: タング付表意文字L2008-1098
1812C: Tangutの表意文字L2008-0849
1812D: Tangutの表意文字L2008-1646
1812E: Tangutの表意文字L2008-0662
1812F: タング付表意文字L2008-0779
18130: Tangutの表意文字L2008-0821
18131: タング付表意文字L2008-1234
18132: Tangutの表意文字L2008-0349
18133: Tangutの表意文字L2008-0543
18134: タング付表意文字L2008-1319
18135: タング付表意文字L2008-1296
18136: Tangutの表意文字L2008-6019
18137: タング付表意文字L2008-1721
18138: Tangut表意文字L2008-1708
18139: Tangutの表意文字L2008-1317-1318
1813A: タング付表意文字L2008-0312
1813B: タング付表意文字L2008-1289
1813C: タング付表意文字L2008-0361
1813D: タング付表意文字L2008-0685
1813E: Tangut表意文字L2008-1759
1813F: タング付表意文字L2008-1355
18140: Tangutの表意文字L2008-0563
18141: Tangutの表意文字L2008-0675
18142: Tangutの表意文字L2008-0693
18143: Tangutの表意文字L2008-0790
18144: Tangutの表意文字L2008-1693
18145: Tangutの表意文字L2008-1865
18146: タング付表意文字L2008-1670
18147: Tangutの表意文字L2008-1734-1735
18148: タングタング表意文字L1997-5997
18149: タング付表意文字L2008-1217
1814A: Tangutの表意文字L2008-0273
1814B: タング付表意文字L2008-0333
1814C: Tangutの表意文字L2008-0360
1814D: Tangutの表意文字L2008-0705
1814E: タング付表意文字L2008-1410
1814F: タング付表意文字L2008-0295
18150: タング付表意文字L2008-0350
18151: Tangutの表意文字L2008-1758
18152: Tangutの表意文字L2008-0791
18153: タング付表意文字L2008-0818
18154: Tangutの表意文字L2008-6016
18155: タング付表意文字L2008-1173
18156: タング付表意文字L2008-1320
18157: タング付表意文字L2008-1321
18158: タング付表意文字L2008-1419
18159: Tangutの表意文字L2008-0575
1815A: Tangutの表意文字L2008-0874
1815B: Tangutの表意文字L2008-6010
1815C: Tangutの表意文字L2008-1323
1815D: Tangutの表意文字L2008-0305
1815E: Tangutの表意文字L2008-1204
1815F: タング付表意文字L2008-1288
18160: Tangutの表意文字L2008-6017
18161: タング付表意文字L2008-1398
18162: タング付表意文字L2008-1295
18163: タング付表意文字L2008-1183
18164: タング付表意文字L2008-1715
18165: タング付表意文字L2008-0867
18166: タングタング表意文字S1968-4780
18167: Tangutの表意文字L2008-0576
18168: Tangutの表意文字L2008-0287
18169: タング付表意文字L2008-0274
1816A: Tangutの表意文字L2008-0603
1816B: Tangutの表意文字L2008-1736
1816C: タング付表意文字L2008-0792
1816D: タング付表意文字L2008-1322
1816E: タング付表意文字L2008-0868
1816F: タング付表意文字L2008-0342
18170: Tangutの表意文字L2008-0866
18171: タング付表意文字L2008-6007
18172: Tangutの表意文字L2008-0717
18173: Tangutの表意文字L2008-0880
18174: Tangutの表意文字L2008-0259
18175: タング付表意文字L2008-0345
18176: Tangutの表意文字L2008-6022
18177: タング付表意文字L2008-0873
18178: タング付表意文字L2008-1388
18179: タング付表意文字L2008-0877
1817A: タング付表意文字L2008-0600
1817B: タング付表意文字L2008-0343
1817C: Tangutの表意文字L2008-6015
1817D: タング付表意文字H2004-A-5854
1817E: Tangutの表意文字L2008-1151
1817F: Tangut表意文字L2008-1443
18180: タング付表意文字L2008-0825
18181: Tangutの表意文字L2008-0723
18182: Tangutの表意文字L2008-0391
18183: タング付表意文字L2008-1454
18184: タング付表意文字L2008-0724
18185: Tangutの表意文字L2008-0829
18186: Tangutの表意文字L2008-1441
18187: Tangut表意文字L2008-1442
18188: Tangutの表意文字L2008-1784
18189: タング付表意文字N1966-059-111
1818A: タング付表意文字L2008-1440
1818B: タング付表意文字L2008-1805
1818C: タング付表意文字L2008-1880
1818D: Tangutの表意文字L2008-0909
1818E: Tangutの表意文字L2008-0844
1818F: タング付表意文字L2008-1514
18190: Tangutの表意文字L2008-0994
18191: Tangutの表意文字L2008-0987
18192: タング付表意文字L2008-1519
18193: タング付表意文字L2008-1229
