18400: Tangutの表意文字L2008-5233
18401: Tangutの表意文字L2008-5216
18402: Tangut表意文字L2008-5192
18403: タング付表意文字N1966-236-07G
18404: Tangut表意文字L2008-5226
18405: Tangutの表意文字L2008-5208
18406: Tangutの表意文字L2008-5404
18407: Tangutの表意文字L2008-5373
18408: Tangut表意文字L2008-5758
18409: Tangutの表意文字L2008-5791
1840A: Tangutの表意文字L2008-5760
1840B: Tangutの表意文字L2008-5724
1840C: Tangutの表意文字L2008-5763
1840D: Tangutの表意文字L2008-5601
1840E: Tangutの表意文字L2008-5456
1840F: Tangutの表意文字L2008-5449
18410: タング付表意文字L2008-5628
18411: Tangutの表意文字L2008-5445
18412: Tangutの表意文字L2008-5683
18413: Tangutの表意文字L2008-5443
18414: Tangutの表意文字L2008-5771
18415: Tangutの表意文字L2008-5184
18416: Tangutの表意文字L2008-5765
18417: Tangutの表意文字L2008-5486
18418: Tangutの表意文字L2008-5217
18419: Tangutの表意文字L2008-5334
1841A: Tangutの表意文字L2008-5178
1841B: Tangutの表意文字L2008-5727
1841C: Tangutの表意文字L2008-6063
1841D: Tangutの表意文字L2008-5339
1841E: タング付表意文字L2008-5639
1841F: タング付表意文字L2008-5450
18420: Tangutの表意文字L2008-5377
18421: タング付表意文字L2008-5379
18422: Tangutの表意文字L2008-5608
18423: Tangutの表意文字L2008-5744
18424: Tangut表意文字L2008-5737
18425: Tangutの表意文字L2008-5764
18426: Tangutの表意文字L2008-5729
18427: Tangutの表意文字L2008-5647
18428: Tangutの表意文字L2008-5584
18429: Tangutの表意文字L2008-5607
1842A: Tangutの表意文字L2008-5245
1842B: Tangutの表意文字L2008-5769
1842C: Tangutの表意文字L2008-5481
1842D: Tangutの表意文字L2008-5487
1842E: Tangutの表意文字L2008-6065
1842F: Tangutの表意文字L2008-5341
18430: タング付表意文字L2008-5312
18431: Tangutの表意文字L2008-5335
18432: Tangutの表意文字L2008-5206
18433: Tangutの表意文字L2008-5302
18434: Tangutの表意文字L2008-5585
18435: Tangutの表意文字L2008-5648
18436: Tangutの表意文字L2008-5586
18437: Tangutの表意文字L2008-5682
18438: Tangutの表意文字L2008-5483
18439: Tangutの表意文字L2008-5229
1843A: Tangutの表意文字L2008-5461
1843B: Tangutの表意文字L2008-5476
1843C: Tangutの表意文字L2008-5484
1843D: Tangutの表意文字L2008-5475
1843E: Tangutの表意文字L2008-5482
1843F: Tangutの表意文字L2008-5459
18440: タング付表意文字L2008-5378
18441: Tangutの表意文字L2008-5797
18442: Tangut表意文字L2008-5213
18443: タング付表意文字L1986-4840
18444: Tangut表意文字L2008-5336
18445: Tangut表意文字L2008-5631
18446: Tangutの表意文字L2008-5649
18447: Tangutの表意文字L2008-5209
18448: タング付表意文字L2008-5188
18449: Tangutの表意文字L2008-5172
1844A: Tangut表意文字L2008-5231
1844B: Tangutの表意文字L2008-6071
1844C: Tangutの表意文字L2008-5726
1844D: Tangutの表意文字L2008-5770
1844E: Tangutの表意文字L2008-6069
1844F: Tangutの表意文字L2008-5772
18450: Tangutの表意文字L2008-5477
18451: Tangutの表意文字L2008-5663
18452: Tangutの表意文字L2008-5662
18453: Tangutの表意文字L2008-5485
18454: Tangutの表意文字L2008-5732
18455: Tangutの表意文字L2008-5473
18456: Tangutの表意文字L2008-5730
18457: Tangutの表意文字L2008-4871
18458: Tangutの表意文字L2008-4860
18459: タング付表意文字L2008-1458
1845A: タング付表意文字L2008-1016
1845B: Tangutの表意文字L2008-0526
1845C: タング付表意文字L2008-0780
1845D: タング付表意文字L2008-0246
1845E: Tangutの表意文字L2008-0531
1845F: Tangutの表意文字L2008-0694
18460: タング付表意文字L2008-1237
18461: Tangutの表意文字L2008-0387
18462: Tangutの表意文字L2008-0682
18463: Tangutの表意文字L2008-0881
18464: Tangutの表意文字L2008-0370
18465: タング付表意文字L2008-0940
18466: タング付表意文字L2008-1037
18467: タング付表意文字L2008-1132
18468: Tangutの表意文字L2008-0645
18469: Tangutの表意文字L2008-1066
1846A: Tangutの表意文字L2008-0417
1846B: タング付表意文字L2008-0404
1846C: タング付表意文字L2008-0615
1846D: タング付表意文字L2008-0609
1846E: Tangutの表意文字L2008-0725
1846F: タング付表意文字L2008-1468
18470: Tangut表意文字L2008-1806
18471: Tangutの表意文字L2008-0414
18472: タング付表意文字L2008-1030
18473: Tangutの表意文字L2008-0247
18474: Tangutの表意文字L2008-1184
18475: タング付表意文字L2008-1711
18476: タング付表意文字L2008-1724
18477: タング付表意文字L2008-0814
18478: タング付表意文字L2008-1417
18479: タング付表意文字L2008-0315
1847A: Tangutの表意文字L2008-0299
1847B: タング付表意文字L2008-1389
1847C: Tangutの表意文字L2008-0794
1847D: Tangutの表意文字L2008-0277
1847E: タング付表意文字L2008-0240
1847F: タング付表意文字L2008-0242
18480: Tangutの表意文字L2008-0241
18481: タング付表意文字L2008-1152
18482: Tangutの表意文字L2008-0683
18483: タング付表意文字L2008-1086
18484: タング付表意文字L2008-1255
18485: タング付表意文字L2008-1025
18486: タング付表意文字L2008-1061
18487: タング付表意文字L2008-1526
18488: タング付表意文字L2008-1510
18489: タング付表意文字L2008-1345
1848A: タング付表意文字L2008-1094
1848B: Tangutの表意文字L2008-0953
1848C: タング付表意文字L2008-1472
1848D: Tangutの表意文字L2008-0934
1848E: タング付表意文字L2008-1408
1848F: タング付表意文字L2008-1531
18490: タング付表意文字L2008-1462
18491: タング付表意文字L2008-1366
18492: タング付表意文字L2008-1428
18493: Tangutの表意文字L2008-0975
18494: Tangutの表意文字L2008-1167
18495: タング付表意文字L2008-1503
18496: タング付表意文字L2008-1535
18497: タング付表意文字L2008-1095
18498: Tangutの表意文字L2008-1199
18499: Tangut表意文字L2008-1305
1849A: タング付表意文字L2008-1508
1849B: タング付表意文字L2008-1512
1849C: Tangutの表意文字L2008-0954
1849D: Tangutの表意文字L2008-0976
1849E: タング付表意文字L2008-0904
1849F: タング付表意文字L2008-1186
184A0: Tangutの表意文字L2006-1186
184A1: タング付表意文字L2008-0096
184A2: タング付表意文字L2008-1130
184A3: タング付表意文字L2008-1045
184A4: タング付表意文字L2008-0646
184A5: Tangutの表意文字L2008-0483
184A6: タング付表意文字L2008-1054
184A7: タング付表意文字L2008-0196
184A8: Tangutの表意文字L2008-0771
184A9: タング付表意文字L2008-0524
184AA: タング付表意文字L2008-1117
184AB: Tangut表意文字L2008-5871
184AC: Tangutの表意文字L2008-5976
184AD: Tangut表意文字L2008-5833
184AE: Tangutの表意文字L2008-5869
184AF: タング付表意文字L2008-5892
184B0: Tangutの表意文字L2008-5977
184B1: Tangutの表意文字L2008-5991
184B2: Tangutの表意文字L2008-5978
184B3: Tangutの表意文字L2008-5939
184B4: Tangutの表意文字L2008-5936
184B5: Tangutの表意文字L2008-5940
184B6: タング付表意文字L2008-0418
184B7: Tangutの表意文字L2008-0719
184B8: Tangutの表意文字L2008-1798
184B9: タング付表意文字L2008-1763
184BA: タング付表意文字L2008-0187
184BB: Tangutの表意文字L2008-0769
184BC: Tangutの表意文字L2008-0647
184BD: Tangutの表意文字L2008-1607
184BE: タング付表意文字L2008-0188
184BF: タング付表意文字L2008-4433
184C0: Tangutの表意文字L2008-4436
184C1: Tangutの表意文字L2008-4444
184C2: タング付表意文字L2008-4435
184C3: タング付表意文字L2008-4438
184C4: タング付表意文字L2008-4437
184C5: Tangutの表意文字L2008-4463
184C6: Tangutの表意文字L2008-4464
184C7: Tangutの表意文字L2008-4465
184C8: タング付表意文字L2008-4434
184C9: Tangutの表意文字L2008-0993
184CA: タング付表意文字L2008-0502
184CB: タング付表意文字L2008-1017
184CC: タング付表意文字L2008-0507
184CD: Tangutの表意文字L2008-2530
184CE: Tangutの表意文字L2008-2333
184CF: Tangutの表意文字L2008-2324
184D0: Tangutの表意文字L2008-2541
184D1: Tangutの表意文字L2008-2896
184D2: Tangutの表意文字L2008-2321
184D3: Tangutの表意文字L2008-2323
184D4: Tangut表意文字L2008-2325
184D5: タング付表意文字L2008-3737
184D6: タング付表意文字L2008-3738
184D7: タング付表意文字L2008-3420
184D8: タング付表意文字L2008-2900
184D9: Tangutの表意文字L2008-2543
184DA: Tangutの表意文字L2008-2542
184DB: Tangutの表意文字L2008-3411
184DC: Tangutの表意文字L2008-2696
184DD: Tangutの表意文字L2008-2697
184DE: タング付表意文字L2008-3735
184DF: タング付表意文字L2008-3744
184E0: タング付表意文字L2008-2322
184E1: タング付表意文字L2008-2812
184E2: Tangutの表意文字L2008-2407
184E3: Tangutの表意文字L2008-2736
184E4: Tangutの表意文字L2008-2021
184E5: Tangutの表意文字L2008-2847
184E6: Tangutの表意文字L2008-0556
184E7: Tangut表意文字L2008-1334
184E8: タング付表意文字L2008-1275
184E9: タング付表意文字L2008-0310
184EA: タング付表意文字L2008-4062
184EB: Tangut表意文字L2008-1309
184EC: タング付表意文字L2008-0036
184ED: Tangutの表意文字L2008-0489
184EE: タング付表意文字L2008-1624
184EF: タング付表意文字L2008-1105
184F0: Tangut表意文字L2008-0230
184F1: Tangutの表意文字L2008-1106-1107
184F2: Tangutの表意文字L2008-0654
184F3: Tangut表意文字L2008-1602
184F4: タング付表意文字L1986-5541
184F5: Tangutの表意文字L2008-1108
184F6: タング付表意文字L2008-1042
184F7: Tangutの表意文字L2008-0860
184F8: タング付表意文字L2008-0231
184F9: タング付表意文字L2008-1623
184FA: タング付表意文字L2008-0510
184FB: タング付表意文字L2008-4629
184FC: タング付表意文字L2008-4555
184FD: Tangutの表意文字L2008-4556
184FE: Tangutの表意文字L2008-4660
184FF: Tangutの表意文字L2008-4659
