18800: タングット成分001
18801: タングット成分-002
18802: タングット成分-003
18803: タングット成分-004
18804: タングット成分-005
18805: タングット成分-006
18806: タングット成分-007
18807: タングット成分-008
18808: タングット成分-009
18809: タングット成分010
1880A: タングット成分011
1880B: タングット成分012
1880C: タングット成分013
1880D: タングット成分014
1880E: タングット成分-015
1880F: タングット成分016
18810: タングット成分017
18811: タングット成分018
18812: タングット成分019
18813: タングット成分020
18814: タングット成分021
18815: タングット成分022
18816: タングット成分023
18817: タングット成分-024
18818: タングット成分-025
18819: タングット成分026
1881A: タングコンポーネント -  027
1881B: タングット成分028
1881C: タングット成分029
1881D: タングット成分-030
1881E: タングット成分-031
1881F: タングアイテム032
18820: タングット成分-033
18821: タングット成分-034
18822: タングット成分-035
18823: タングット成分-036
18824: タングット成分-037
18825: タングット成分-038
18826: タングット成分-039
18827: タングアイテム040
18828: タングット成分-041
18829: タングット成分-042
1882A: タングット成分-043
1882B: タングット成分-044
1882C: タングット成分-045
1882D: タングット成分-046
1882E: タングット成分-047
1882F: タングット成分-048
18830: タングット成分-049
18831: タングット成分-050
18832: タングット成分-051
18833: タングット成分-052
18834: タングット成分-053
18835: タングット成分-054
18836: タングット成分-055
18837: タングット成分-056
18838: タングット成分-057
18839: タングット成分-058
1883A: タングット成分-059
1883B: タングット成分-060
1883C: タングット成分-061
1883D: タングット成分-062
1883E: タングット成分-063
1883F: タングット成分-064
18840: タングアイテム065
18841: タングット成分-066
18842: タングット成分-067
18843: タングット成分-068
18844: タングット成分-069
18845: タングアイテム070
18846: タングット成分-071
18847: タングアイテム072
18848: タングット成分-073
18849: タングット成分-074
1884A: タングット成分-075
1884B: タングット成分-076
1884C: タングアイテム077
1884D: タングット成分-078
1884E: タングット成分-079
1884F: タングアイテム080
18850: タングット成分-081
18851: タングット成分-082
18852: タングット成分-083
18853: タングット成分-084
18854: タングット成分-085
18855: タングット成分-086
18856: タングット成分-087
18857: タングット成分-088
18858: タングット成分-089
18859: タングアイテム090
1885A: タングット成分-091
1885B: タングット成分-092
1885C: タングット成分-093
1885D: タングアイテム094
1885E: タングアイテム095
1885F: タングット成分-096
18860: タングット成分-097
18861: タングット成分-098
18862: タングアイテム099
18863: タングット成分100
18864: タングットコンポーネント101
18865: タングット成分102
18866: タングット成分-103
18867: タングット成分-104
18868: タングット成分-105
18869: タングット成分-106
1886A: タングット成分-107
1886B: タングット成分-108
1886C: タングット成分-109
1886D: タングット成分-110
1886E: タングット成分-111
1886F: タングット成分-112
18870: タングット成分-113
18871: タングット成分-114
18872: タングット成分-115
18873: タングット成分116
18874: タングット成分117
18875: タングット成分118
18876: タングット成分119
18877: タンクトコンポーネント-120
18878: タングット成分121
18879: タングアイテム122
1887A: タングット成分123
1887B: タングット成分-124
1887C: タングット成分-125
1887D: タングット成分-126
1887E: タングット成分-127
1887F: タングット成分-128
18880: タングット成分-129
18881: タングット成分-130
18882: タングット成分-131
18883: タングット成分-132
18884: タングット成分-133
18885: タングット成分-134
18886: タングコンポーネント -  135
18887: タングコンポーネント -  136
18888: タングット成分137
18889: タングコンポーネント -  138
1888A: タングット成分-139
1888B: タングット成分-140
1888C: タングアイテム141
1888D: タングット成分142
1888E: タングット成分143
1888F: タングット成分-144
18890: タングコンポーネント -  145
18891: タングット成分146
18892: タングット成分147
18893: タングット成分148
18894: タングット成分-149
18895: タンクトコンポーネント-150
18896: タングット成分151
18897: タングット成分-152
18898: タングット成分153
18899: タングット成分154
1889A: タングット成分155
1889B: タングット成分156
1889C: タングット成分157
1889D: タングット成分158
1889E: タングコンポーネント -  159
1889F: タングットコンポーネント-160
188A0: タングット成分161
188A1: タングット成分162
188A2: タングコンポーネント -  163
188A3: タングット成分-164
188A4: タングット成分165
188A5: タングット成分166
188A6: タングット成分-167
188A7: タングット成分168
188A8: タングート成分169
188A9: タングット成分-170
188AA: タングット成分-171
188AB: タングット成分172
188AC: タングコンポーネント-173
188AD: タングット成分-174
188AE: タングット成分175
188AF: タングット成分176
188B0: タングット成分177
188B1: タングート成分178
188B2: タングット成分179
188B3: タングット成分-180
188B4: タングット成分-181
188B5: タングコンポーネント -  182
188B6: タングアイテム183
188B7: タングット成分-184
188B8: タングアイテム185
188B9: タングアイテム186
188BA: タングアイテム187
188BB: タングアイテム188
188BC: タングアイテム189
188BD: タングット成分-190
188BE: タングコンポーネント -  191
188BF: タングットコンポーネント192
188C0: タングコンポーネント -  193
188C1: タングコンポーネント -  194
188C2: タングコンポーネント -  195
188C3: タングコンポーネント -  196
188C4: タングコンポーネント -  197
188C5: タングコンポーネント -  198
188C6: タングット成分199
188C7: タングットコンポーネント200
188C8: タングットコンポーネント201
188C9: タングット成分202
188CA: タングット成分203
188CB: タングコンポーネント -  204
188CC: タングット成分205
188CD: タングコンポーネント -  206
188CE: タングット成分207
188CF: タングコンポーネント -  208
188D0: タングット成分209
188D1: タングット成分-210
188D2: タングアイテム-211
188D3: タングット成分-212
188D4: タングット成分-213
188D5: タングアイテム-214
188D6: タングコンポーネント -  215
188D7: タングット成分-216
188D8: タングット成分217
188D9: タングット成分-218
188DA: タングット成分219
188DB: タングット成分-220
