1B000: カタカナレターアルカイックE
1B001: ひらがなレターアルカイックイェ
1B002: 変態文字A-1
1B003: 変態文字A-2
1B004: 変態文字A-3
1B005: 変態文字A-Wo
1B006: 変態文字I-1
1B007: 変態文字I-2
1B008: 変態少女レターI-3
1B009: 変態少女レターI-4
1B00A: 変態文字U-1
1B00B: 変態文字U-2
1B00C: 変態文字U-3
1B00D: 変態文字U-4
1B00E: 変態少女レターU-5
1B00F: 変態文字E-2
1B010: 変態文字E-3
1B011: 変態文字E-4
1B012: 変態文字E-5
1B013: 変態文字E-6
1B014: 変態文字O-1
1B015: 変態文字O-2
1B016: 変態少女の手紙O-3
1B017: 変態文字レターKa-1
1B018: 変態文字レターKa-2
1B019: 変態文字レターKa-3
1B01A: 変態少女レターKa-4
1B01B: 変態文字レターKa-5
1B01C: 変態文字レターKa-6
1B01D: 変態文字レターKa-7
1B01E: 変態少女レターKa-8
1B01F: 変態少女レターKa-9
1B020: 変態少女レターKa-10
1B021: 変態少女レターKa-11
1B022: 変態文字レターKa-Ke
1B023: 変態花手紙Ki-1
1B024: 変態花手紙Ki-2
1B025: 変態花手紙Ki-3
1B026: 変態少女レターKi-4
1B027: 変態花手紙Ki-5
1B028: 変態花手紙Ki-6
1B029: 変態花手紙Ki-7
1B02A: 変態花手紙Ki-8
1B02B: 変態文字レターKu-1
1B02C: 変態文字レターKu-2
1B02D: 変態文字レターKu-3
1B02E: 変態文字レターKu-4
1B02F: 変態文字レターKu-5
1B030: 変態文字レターKu-6
1B031: 変態文字レターKu-7
1B032: 変態文字Let Ke-1
1B033: 変態文字Let Ke 2
1B034: 変態文字Let Ke 3
1B035: 変態文字Let Ke-4
1B036: 変態文字Let Ke-5
1B037: 変態文字Let Ke-6
1B038: 変態文字レ - コ1
1B039: 変態少女の手紙Ko-2
1B03A: 変態少女の手紙Ko-3
1B03B: 変態文字レターコキ
1B03C: 変態文字レターSa-1
1B03D: 変態文字レターSa-2
1B03E: 変態文字レターSa-3
1B03F: 変態文字レターSa-4
1B040: 変態文字レターSa-5
1B041: 変態少女レターSa-6
1B042: 変態文字レターSa-7
1B043: 変態少女レターSa-8
1B044: 変態少女の手紙Si-1
1B045: 変態花手紙Si-2
1B046: 変態少女の手紙Si-3
1B047: 変態ガナ書簡Si-4
1B048: 変態少女の手紙Si-5
1B049: 変態ガナ書簡Si-6
1B04A: 変態少女の手紙Su-1
1B04B: 変態文字レ蘇-2
1B04C: 変態少女レターSu-3
1B04D: 変態少女レターSu-4
1B04E: 変態少女の手紙Su-5
1B04F: 変態少女レターSu-6
1B050: 変態少女レターSu-7
1B051: 変態少女レターSu-8
1B052: 変態少女レターSe-1
1B053: 変態少女レターSe-2
1B054: 変態少女の手紙Se-3
1B055: 変態少女レターSe-4
1B056: 変態少女の手紙Se-5
1B057: 変態文字Let-1
1B058: 変態文字Let-2
1B059: 変態文字Let-3
1B05A: 変態文字Let-4
1B05B: 変態少女の手紙So-5
1B05C: 変態少女の手紙So-6
1B05D: 変態少女の手紙So-7
1B05E: 変態少女レターTa-1
1B05F: 変態文字レターTa-2
1B060: 変態文字レターTa-3
1B061: 変態文字レターTa-4
1B062: 変態文字レターTi-1
1B063: 変態文字レターTi-2
1B064: 変態文字レターTi-3
1B065: 変態文字レターTi-4
1B066: 変態文字レターTi-5
1B067: 変態文字レターTi-6
1B068: 変態文字レターTi-7
1B069: 変態文字Let-1
1B06A: 変態文字Let Tu-2
1B06B: 変態文字Let-3
1B06C: ヘンタイガナ書簡Tu-4
1B06D: ヘンタイガナ文字Tu-To
1B06E: 変態文字Let-1
1B06F: 変態少女の手紙Te-2
1B070: 変態文字Let-3
1B071: 変態少女レターTe-4
1B072: 変態少女の手紙Te-5
1B073: 変態少女レターTe-6
1B074: 変態少女レターTe-7
1B075: 変態少女の手紙Te-8
1B076: 変態少女レターTe-9
1B077: 変態文字To-1
1B078: 変態少女の手紙To-2
1B079: 変態少女の手紙To-3
1B07A: 変態少女の手紙To-4
1B07B: 変態少女の手紙To-5
1B07C: 変態少女の手紙To-6
1B07D: 変態少女の手紙To-Ra
1B07E: 変態文字レターナ-1
1B07F: 変態文字レターナ2
1B080: 変態文字レターナ3
1B081: 変態文字レターナ-4
1B082: 変態文字レターナ-5
1B083: 変態文字レターナ-6
1B084: 変態文字レターナ7
1B085: 変態文字レターナ-8
1B086: 変態文字レターナ9
1B087: 変態文字レターNi-1
1B088: 変態文字レターNi-2
1B089: 変態文字レターNi-3
1B08A: 変態文字レターNi-4
1B08B: 変態文字レターNi-5
1B08C: 変態文字レターNi-6
1B08D: 変態文字レターNi-7
1B08E: 変態文字レターNi-Te
1B08F: 変態文字レターニュー-1
1B090: 変態文字レター2
1B091: 変態文字レターニュー3
1B092: 変態少女レターNe-1
1B093: 変態少女レターNe-2
1B094: 変態少女レターNe-3
1B095: 変態少女レターNe-4
1B096: 変態少女レターNe-5
1B097: 変態少女レターNe-6
1B098: 変態文字レターネコ
1B099: 変態文字レターNo-1
1B09A: 変態少女レターNo-2
1B09B: 変態文字レターNo-3
1B09C: 変態文字レターNo-4
1B09D: 変態少女レターNo-5
1B09E: 変態ガナ書簡ハ-1
1B09F: 変態少女の手紙Ha-2
1B0A0: 変態少女の手紙ハ-3
1B0A1: 変態少女の手紙ハ-4
1B0A2: 変態ガナ書簡ハ-5
1B0A3: 変態少女の手紙ハ-6
1B0A4: 変態少女レターHa-7
1B0A5: 変態少女レターHa-8
1B0A6: 変態少女の手紙Ha-9
1B0A7: 変態少女の手紙ハ-10
1B0A8: 変態少女の手紙ハ-11
1B0A9: 変態ガナ書簡Hi-1
1B0AA: 変態少女レターHi-2
1B0AB: 変態少女レターHi-3
1B0AC: 変態少女レターHi-4
1B0AD: 変態少女レターHi-5
1B0AE: 変態少女レターHi-6
1B0AF: 変態少女レターHi-7
1B0B0: 変態文字Let Hu-1
1B0B1: 変態文字Let Hu-2
1B0B2: 変態文字Let Hu-3
1B0B3: 変態文字He-1
1B0B4: ヘンタイガナレターHe-2
1B0B5: 変態文字He-3
1B0B6: 変態少女レターHe-4
1B0B7: 変態文字He-5
1B0B8: 変態文字He-6
1B0B9: ヘンタイガナレターHe-7
1B0BA: 変態文字Let Ho-1
1B0BB: 変態文字Let Ho-2
1B0BC: 変態少女の手紙ホー3
1B0BD: 変態文字Let Ho-4
1B0BE: 変態少女の手紙ホー5
1B0BF: 変態文字Let Ho-6
1B0C0: 変態文字Let Ho-7
1B0C1: 変態文字Let Ho-8
1B0C2: 変態少女レターMa-1
1B0C3: 変態少女レターMa-2
1B0C4: 変態少女レターMa-3
1B0C5: 変態少女レターMa-4
1B0C6: 変態少女レターMa-5
1B0C7: 変態少女レターMa-6
1B0C8: 変態少女レターMa-7
1B0C9: 変態少女レターMi-1
1B0CA: 変態少女レターMi-2
1B0CB: 変態少女レターMi-3
1B0CC: 変態少女レターMi-4
1B0CD: 変態少女レターMi-5
1B0CE: 変態少女レターMi-6
1B0CF: 変態少女レターMi-7
1B0D0: 変態文字Let Mu-1
1B0D1: 変態文字Let Mu-2
1B0D2: 変態文字Let Mu-3
1B0D3: 変態文字Let Mu-4
1B0D4: 変態少女レターミー-1
1B0D5: 変態少女レターミー2
1B0D6: ヘンタイガナレターミーマ
1B0D7: 変態少女レターMo-1
1B0D8: 変態文字Let Mo-2
1B0D9: 変態少女レターMo-3
1B0DA: 変態少女レターMo-4
1B0DB: 変態少女レターMo-5
1B0DC: 変態少女レターMo-6
1B0DD: 変態文字Ya-1
1B0DE: 変態文字Ya-2
1B0DF: 変態文字Ya-3
1B0E0: 変態文字Ya-4
1B0E1: 変態文字Ya-5
1B0E2: ヘンタイガナ書簡
1B0E3: 変態文字レターゆう-1
1B0E4: 変態文字レターゆう-2
1B0E5: 変態少女レターゆう-3
1B0E6: 変態文字レターゆう-4
1B0E7: 変態文字Yo-1
1B0E8: 変態文字Yo-2
1B0E9: 変態花手紙Yo-3
1B0EA: 変態花手紙Yo-4
1B0EB: 変態少女レターYo-5
1B0EC: 変態花手紙Yo-6
1B0ED: 変態少女レターRa-1
1B0EE: 変態少女レターRa-2
1B0EF: 変態少女レターRa-3
1B0F0: 変態少女レターRa-4
1B0F1: 変態ガナ手紙Ri-1
1B0F2: 変態ガナ手紙Ri-2
1B0F3: 変態ガナ書簡Ri-3
1B0F4: 変態ガナ手紙Ri-4
1B0F5: 変態ガナ書簡Ri-5
1B0F6: 変態少女の手紙Ri-6
1B0F7: 変態少女の手紙Ri-7
1B0F8: 変態文字Let-1
1B0F9: ヘンタイガナレターRu-2
1B0FA: 変態少女レターRu-3
1B0FB: 変態少女レターRu-4
1B0FC: 変態少女レターRu-5
1B0FD: 変態少女レターRu-6
1B0FE: 変態文字Re-1
1B0FF: 変態少女レター2
