1D400: 数学ボールドキャピタルA
1D401: 数学ボールドキャピタルB
1D402: 数学ボールドキャピタルC
1D403: 数学ボールドキャピタルD
1D404: 数学ボールドキャピタルE
1D405: 数学ボールドキャピタルF
1D406: 数学ボールドキャピタルG
1D407: 数学ボールドキャピタルH
1D408: 数学の太字の首都I
1D409: 数学ボールドキャピタルJ
1D40A: 数学ボールドキャピタルK
1D40B: 数学ボールドキャピタルL
1D40C: 数学ボールドキャピタルM
1D40D: 数学ボールドキャピタルN
1D40E: 数学的ボールドキャピタルO
1D40F: 数学ボールドキャピタルP
1D410: 数学ボールドキャピタルQ
1D411: 数学ボールドキャピタルR
1D412: 数学ボールドキャピタルS
1D413: 数学ボールドキャピタルT
1D414: 数学ボールドキャピタルU
1D415: 数学的ボールドキャピタルV
1D416: 数学ボールドキャピタルW
1D417: 数学ボールドキャピタルX
1D418: 数学ボールドキャピタルY
1D419: 数学ボールドキャピタルZ
1D41A: 数学ボールドスモールA
1D41B: 数学ボールドスモールB
1D41C: 数学ボールドスモールC
1D41D: 数学ボールドスモールD
1D41E: 数学ボールドスモールE
1D41F: 数学ボールドスモールF
1D420: 数学ボールドスモールG
1D421: 数学ボールドスモールH
1D422: 数学ボールドスモールI
1D423: 数学ボールドスモールJ
1D424: 数学ボールドスモールK
1D425: 数学ボールドスモールL
1D426: 数学ボールドスモールM
1D427: 数学ボールドスモールN
1D428: 数学ボールドスモールO
1D429: 数学ボールドスモールP
1D42A: 数学ボールドスモールQ
1D42B: 数学ボールドスモールR
1D42C: 数学ボールドスモールS
1D42D: 数学ボールドスモールT
1D42E: 数学ボールドスモールU
1D42F: 数学ボールドスモールV
1D430: 数学ボールドスモールW
1D431: 数学ボールドスモールX
1D432: 数学ボールドスモールY
1D433: 数学ボールドスモールZ
1D434: 数学イタリック体A
1D435: イタリック体資本B
1D436: イタリックキャピタルC
1D437: イタリック体資本D
1D438: イタリック体E
1D439: イタリック体資本数F
1D43A: イタリック体の首都G
1D43B: 数学イタリック体H
1D43C: イタリック体の首都I
1D43D: イタリック体J
1D43E: イタリック体の首都K
1D43F: 数学イタリック体L
1D440: イタリックキャピタルM
1D441: イタリック体の首都N
1D442: イタリック体の首都O
1D443: イタリック体資本数P
1D444: イタリック体の首都Q
1D445: イタリックキャピタルR
1D446: 数学イタリック体S
1D447: イタリックキャピタルT
1D448: イタリック体の首都U
1D449: イタリック体の首都V
1D44A: イタリックキャピタルW
1D44B: 数学イタリック体X
1D44C: イタリック体資本Y
1D44D: イタリック体の首都Z
1D44E: 数学イタリックスモールA
1D44F: 数学イタリックスモールB
1D450: 数学イタリックスモールC
1D451: 数学イタリックスモールD
1D452: イタリックスモールE
1D453: イタリックスモールF小
1D454: 数学イタリックスモールG
1D455: <予約済み>
1D456: 数学イタリックスモールI
1D457: イタリックスモールJ
1D458: 数学イタリックスモールK
1D459: 数学イタリックスモールL
1D45A: イタリックスモールM
1D45B: 数学イタリックスモールN
1D45C: 数学イタリックスモールO
1D45D: 数学イタリックスモールP
1D45E: 数学イタリックスモールQ
1D45F: 数学イタリックスモールR
1D460: 数学イタリックスモールS
1D461: イタリックスモールT
1D462: 数学イタリックスモールU
1D463: 数学イタリックスモールV
1D464: 数学イタリックスモールW
1D465: 数学イタリックスモールX
1D466: 数学イタリックスモールY
1D467: 数学イタリックスモールZ
1D468: 数学ボールドイタリックキャピタルA
1D469: 数学ボールドイタリックキャピタルB
1D46A: 数学ボールドイタリックキャピタルC
1D46B: 数学ボールドイタリックキャピタルD
1D46C: 数学ボールドイタリックキャピタルE
1D46D: 数学ボールドイタリックキャピタルF
1D46E: 数学ボールドイタリックキャピタルG
1D46F: 数学ボールドイタリックキャピタルH
1D470: 数学的太字斜体資本I
1D471: 数学ボールドイタリックキャピタルJ
1D472: 数学ボールドイタリックキャピタルK
1D473: 数学ボールドイタリックキャピタルL
1D474: 数学ボールドイタリックキャピタルM
1D475: 数学ボールドイタリックキャピタルN
1D476: 数学ボールドイタリックキャピタルO
1D477: 数学ボールドイタリックキャピタルP
1D478: 数学ボールドイタリックキャピタルQ
1D479: 数学ボールドイタリックキャピタルR
1D47A: 数学ボールドイタリックキャピタルS
1D47B: 数学ボールドイタリックキャピタルT
1D47C: 数学ボールドイタリックキャピタルU
1D47D: 数学ボールドイタリックキャピタルV
1D47E: 数学ボールドイタリックキャピタルW
1D47F: 数学ボールドイタリックキャピタルX
1D480: 数学ボールドイタリックキャピタルY
1D481: 数学ボールドイタリックキャピタルZ
1D482: 数学ボールドイタリックスモールA
1D483: 数学ボールドイタリックスモールB
1D484: 数学ボールドイタリックスモールC
1D485: 数学ボールドイタリックスモールD
1D486: 数学ボールドイタリックスモールE
1D487: 数学ボールドイタリックスモールF
1D488: 数学ボールドイタリックスモールG
1D489: 数学ボールドイタリックスモールH
1D48A: 数学ボールドイタリックスモールI
1D48B: 数学ボールドイタリックスモールJ
1D48C: 数学ボールドイタリックスモールK
1D48D: 数学ボールドイタリックスモールL
1D48E: 数学ボールドイタリックスモールM
1D48F: 数学ボールドイタリックスモールN
1D490: 数学ボールドイタリックスモールO
1D491: 数学ボールドイタリックスモールP
1D492: 数学ボールドイタリックスモールQ
1D493: 数学ボールドイタリックスモールR
1D494: 数学ボールドイタリックスモールS
1D495: 数学ボールドイタリックスモールT
1D496: 数学ボールドイタリックスモールU
1D497: 数学ボールドイタリックスモールV
1D498: 数学ボールドイタリックスモールW
1D499: 数学ボールドイタリックスモールX
1D49A: 数学ボールドイタリックスモールY
1D49B: 数学ボールドイタリックスモールZ
1D49C: 数学スクリプトの首都A
1D49D: <予約済み>
1D49E: 数学スクリプトの首都C
1D49F: 数学スクリプトの首都D
1D4A0: <予約済み>
1D4A1: <予約済み>
1D4A2: 数学スクリプトの首都G
1D4A3: <予約済み>
1D4A4: <予約済み>
1D4A5: 数学のスクリプトの首都J
1D4A6: 数学スクリプトの首都K
1D4A7: <予約済み>
1D4A8: <予約済み>
1D4A9: 数学スクリプトの首都N
1D4AA: 数学スクリプトの首都O
1D4AB: 数学スクリプトの首都P : 電源セット
1D4AC: 数学スクリプトの首都Q
1D4AD: <予約済み>
1D4AE: 数学のスクリプト資本S
1D4AF: 数学スクリプトの首都T
1D4B0: 数学スクリプトの首都U
1D4B1: 数学スクリプトの首都V
1D4B2: 数学スクリプトの首都W
1D4B3: 数学のスクリプト資本X
1D4B4: 数学スクリプトの首都Y
1D4B5: 数学スクリプトの首都Z
1D4B6: 数学スクリプト小A
1D4B7: 数学スクリプト小B
1D4B8: 数学スクリプト小C
1D4B9: 数学スクリプト小D
1D4BA: <予約済み>
1D4BB: 数学スクリプト小F
1D4BC: <予約済み>
1D4BD: 数学スクリプト小H
1D4BE: 数学スクリプト小I
1D4BF: 数学スクリプト小J
1D4C0: 数学スクリプト小K
1D4C1: 数学スクリプト小L
1D4C2: 数学スクリプト小M
1D4C3: 数学スクリプト小N
1D4C4: <予約済み>
1D4C5: 数学スクリプト小P
1D4C6: 数学スクリプト小Q
1D4C7: 数学スクリプト小R
1D4C8: 数学スクリプト小S
1D4C9: 数学スクリプト小T
1D4CA: 数学スクリプト小U
1D4CB: 数学スクリプト小V
1D4CC: 数学スクリプト小W
1D4CD: 数学スクリプトSmall X
1D4CE: 数学スクリプト小Y
1D4CF: 数学スクリプト小Z
1D4D0: 数学的な太字のスクリプト首都A
1D4D1: 数学的な太字のスクリプト大文字B
1D4D2: 数学の太字の首都C
1D4D3: 数学ボールドスクリプトキャピタルD
1D4D4: 数学の太字の首都E
1D4D5: 数学の太字の首都F
1D4D6: 数学の太字の首都G
1D4D7: 数学ボールドスクリプトキャピタルH
1D4D8: 数学的な太字のスクリプト首都I
1D4D9: 数学の太字の首都J
1D4DA: 数学ボールドスクリプトキャピタルK
1D4DB: 数学ボールドスクリプトキャピタルL
1D4DC: 数学ボールドスクリプトキャピタルM
1D4DD: 数学の太字の首都N
1D4DE: 数学的な太字のスクリプト大文字O
1D4DF: 数学ボールドスクリプトキャピタルP
1D4E0: 数学ボールドスクリプトキャピタルQ
1D4E1: 数学的な太字のスクリプト大文字R
1D4E2: 数学の太字の首都S
1D4E3: 数学的な太字のスクリプト首都T
1D4E4: 数学的な太字のスクリプト首都U
1D4E5: 数学的な太字のスクリプト首都V
1D4E6: 数学ボールドスクリプトキャピタルW
1D4E7: 数学ボールドスクリプトキャピタルX
1D4E8: 数学的な太字の文字大文字Y
1D4E9: 数学的な太字のスクリプト首都Z
1D4EA: 数学の太字の文字小A
1D4EB: 数学の太字の文字小B
1D4EC: 数学の太字のスクリプト小C
1D4ED: 数学太字スクリプト小D
1D4EE: 数学太字スクリプト小E
1D4EF: 数学太字スクリプト小F
1D4F0: 数学太字スクリプト小G
1D4F1: 数学の太字の文字小H
1D4F2: 数学的ボールドスクリプト小I
1D4F3: 数学の太字の文字小J
1D4F4: 数学ボールドスクリプトスモールK
1D4F5: 数学ボールドスクリプトスモールL
1D4F6: 数学ボールドスクリプト小M
1D4F7: 数学的ボールドスクリプト小N
1D4F8: 数学的な太字のスクリプト小O
1D4F9: 数学太字スクリプト小P
1D4FA: 数学的ボールドスクリプト小Q
1D4FB: 数学的ボールドスクリプト小R
1D4FC: 数学ボールドスクリプト小S
1D4FD: 数学的ボールドスクリプト小T
1D4FE: 数学の太字の文字小U
1D4FF: 数学的ボールドスクリプト小V
