1D600: 数学サンセリフボールドスモールS
1D601: 数学サンセリフボールドスモールT
1D602: 数学サンセリフボールドスモールU
1D603: 数学サンセリフボールドスモールV
1D604: 数学サンセリフボールドスモールW
1D605: 数学サンセリフボールドスモールX
1D606: 数学サンセリフボールドスモールY
1D607: 数学サンセリフボールドスモールZ
1D608: 数学サンセリフイタリック体A
1D609: 数学サンセリフイタリック体B
1D60A: 数学サンセリフイタリックキャピタルC
1D60B: 数学サンセリフイタリック体D
1D60C: 数学サンセリフイタリック体E
1D60D: 数学サンセリフイタリック体首都F
1D60E: 数学サンセリフイタリック体首都G
1D60F: 数学サンセリフイタリック体H
1D610: 数学サンセリフイタリック体I
1D611: 数学サンセリフイタリック体J
1D612: 数学サンセリフイタリック体K
1D613: 数学サンセリフイタリック体L
1D614: 数学サンセリフイタリック体M
1D615: 数学サンセリフイタリック体資本N
1D616: 数学サンセリフイタリックキャピタルO
1D617: 数学サンセリフイタリック体P
1D618: 数学サンセリフイタリック体Q
1D619: 数学サンセリフイタリックキャピタルR
1D61A: 数学のサンセリフイタリック体S
1D61B: 数学サンセリフイタリック体T
1D61C: 数学サンセリフイタリック体U
1D61D: 数学サンセリフイタリックキャピタルV
1D61E: 数学サンセリフイタリック体W
1D61F: 数学サンセリフイタリック体X
1D620: 数学サンセリフイタリック体Y
1D621: 数学サンセリフイタリックキャピタルZ
1D622: 数学サンセリフイタリックスモールA
1D623: 数学サンセリフイタリックスモールB
1D624: 数学サンセリフイタリックスモールC
1D625: 数学サンセリフイタリックスモールD
1D626: 数学サンセリフイタリック体小E
1D627: 数学サンセリフイタリック体小F
1D628: 数学サンセリフイタリックスモールG
1D629: 数学サンセリフイタリック体小H
1D62A: 数学サンセリフイタリックスモールI
1D62B: 数学サンセリフイタリックスモールJ
1D62C: 数学サンセリフイタリックスモールK
1D62D: 数学サンセリフイタリックスモールL
1D62E: 数学サンセリフイタリックスモールM
1D62F: 数学サンセリフイタリック体小N
1D630: 数学サンセリフイタリック小O
1D631: 数学サンセリフイタリック体小P
1D632: 数学サンセリフイタリックスモールQ
1D633: 数学サンセリフイタリックスモールR
1D634: 数学サンセリフイタリックスモールS
1D635: 数学サンセリフイタリックスモールT
1D636: 数学サンセリフイタリック小U
1D637: 数学サンセリフイタリックスモールV
1D638: 数学サンセリフイタリック体小W
1D639: 数学サンセリフイタリックスモールX
1D63A: 数学サンセリフイタリック体小Y
1D63B: 数学サンセリフイタリックスモールZ
1D63C: 数学サンセリフボールドイタリックキャピタルA
1D63D: 数学サンセリフボールドイタリックキャピタルB
1D63E: 数学サンセリフボールドイタリックキャピタルC
1D63F: 数学サンセリフボールドイタリックキャピタルD
1D640: 数学サンセリフボールドイタリックキャピタルE
1D641: 数学サンセリフボールドイタリックキャピタルF
1D642: 数学サンセリフボールドイタリックキャピタルG
1D643: 数学サンセリフボールドイタリックキャピタルH
1D644: 数学サンセリフボールドイタリックキャピタルI
1D645: 数学サンセリフボールドイタリックキャピタルJ
1D646: 数学サンセリフボールドイタリックキャピタルK
1D647: 数学サンセリフボールドイタリックキャピタルL
1D648: 数学サンセリフボールドイタリックキャピタルM
1D649: 数学サンセリフボールドイタリックキャピタルN
1D64A: 数学サンセリフボールドイタリックキャピタルO
1D64B: 数学サンセリフボールドイタリックキャピタルP
1D64C: 数学のサンセリフ太字斜体資本Q
1D64D: 数学サンセリフボールドイタリックキャピタルR
1D64E: 数学サンセリフボールドイタリックキャピタルS
1D64F: 数学サンセリフボールドイタリックキャピタルT
1D650: 数学的なサンセリフボールドイタリックキャピタルU
1D651: 数学サンセリフボールドイタリックキャピタルV
1D652: 数学サンセリフボールドイタリックキャピタルW
1D653: 数学サンセリフボールドイタリックキャピタルX
1D654: 数学サンセリフボールドイタリックキャピタルY
1D655: 数学サンセリフボールドイタリックキャピタルZ
1D656: 数学サンセリフボールドイタリックスモールA
1D657: 数学サンセリフボールドイタリックスモールB
1D658: 数学サンセリフボールドイタリックスモールC
1D659: 数学サンセリフボールドイタリックスモールD
1D65A: 数学サンセリフボールドイタリックスモールE
1D65B: 数学サンセリフボールドイタリックスモールF
1D65C: 数学サンセリフボールドイタリックスモールG
1D65D: 数学サンセリフボールドイタリックスモールH
1D65E: 数学サンセリフボールドイタリックスモールI
1D65F: 数学サンセリフボールドイタリックスモールJ
1D660: 数学サンセリフボールドイタリックスモールK
1D661: 数学サンセリフボールドイタリックスモールL
1D662: 数学サンセリフボールドイタリックスモールM
1D663: 数学サンセリフボールドイタリックスモールN
1D664: 数学サンセリフボールドイタリックスモールO
1D665: 数学サンセリフボールドイタリックスモールP
1D666: 数学サンセリフボールドイタリックスモールQ
1D667: 数学サンセリフボールドイタリックスモールR
1D668: 数学サンセリフボールドイタリックスモールS
1D669: 数学サンセリフボールドイタリックスモールT
1D66A: 数学サンセリフボールドイタリックスモールU
1D66B: 数学サンセリフボールドイタリックスモールV
1D66C: 数学サンセリフボールドイタリックスモールW
1D66D: 数学サンセリフボールドイタリックスモールX
1D66E: 数学サンセリフボールドイタリックスモールY
1D66F: 数学サンセリフボールドイタリックスモールZ
1D670: 等幅固定幅大文字A
1D671: 等幅固定幅大文字B
1D672: 等幅固定幅大文字C
1D673: 等幅固定幅資本D
1D674: 等幅整数資本E
1D675: 等幅固定幅資本F
1D676: 等幅整数資本G
1D677: 等幅固定幅資本H
1D678: 等幅固定幅資本I
1D679: 等幅整数資本J
1D67A: 等幅固定幅大文字K
1D67B: 等幅固定幅大文字L
1D67C: 等幅固定幅大文字M
1D67D: 等幅固定幅大文字N
1D67E: 等幅固定幅大文字O
1D67F: 等幅固定幅大文字P
1D680: 等幅固定幅資本Q
1D681: 等幅固定幅大文字R
1D682: 等幅固定幅S
1D683: 等幅固定幅資本T
1D684: 等幅固定幅大文字U
1D685: 等幅固定幅キャピタルV
1D686: 等幅固定幅大文字W
1D687: 等幅固定幅資本X
1D688: 等幅整数資本Y
1D689: 等幅固定幅大文字Z
1D68A: 等幅数スモールA
1D68B: 等幅数スモールB
1D68C: 等幅数スモールC
1D68D: 等幅数スモールD
1D68E: 等幅数小E
1D68F: 等幅数スモールF
1D690: 等幅数スモールG
1D691: 等幅数スモールH
1D692: 等幅数スモールI
1D693: 等幅数スモールJ
1D694: 等幅数スモールK
1D695: 等幅数スモールL
1D696: 等幅数スモールM
1D697: 等幅数スモールN
1D698: 等幅数スモールO
1D699: 等幅数スモールP
1D69A: 等幅数スモールQ
1D69B: 等幅数スモールR
1D69C: 等幅数スモールS
1D69D: 等幅数スモールT
1D69E: 等幅数スモールU
1D69F: 等幅数スモールV
1D6A0: 等幅数スモールW
1D6A1: 等幅数スモールX
1D6A2: 等幅数スモールY
1D6A3: 等幅数スモールZ
1D6A4: 数学イタリックスモールドットレスI: \ imath
1D6A5: 数学イタリックスモールドットレスJ: \ jmath
1D6A6:
1D6A7:
1D6A8: 数学ボールドキャピタルアルファ
1D6A9: 数学的ボールドキャピタルベータ
1D6AA: 数学的ボールドキャピタルガンマ
1D6AB: 数学ボールドキャピタルデルタ
1D6AC: 数学的ボールドキャピタルイプシロン
1D6AD: 数学ボールドキャピタルゼータ
1D6AE: 数学の太字の首都イータ
1D6AF: 数学的ボールドキャピタルシータ
1D6B0: 数学の太字の首都イオタ
1D6B1: 数学ボールドキャピタルカッパ
1D6B2: 数学的ボールドキャピタルラムダ
1D6B3: 数学ボールドキャピタルMu
1D6B4: 数学ボールドキャピタルニュー
1D6B5: 数学ボールドキャピタルXi
1D6B6: 数学ボールドキャピタルオミクロン
1D6B7: 数学ボールドキャピタルパイ
1D6B8: 数学的な大胆な資本ロー
1D6B9: 数学的ボールドキャピタルシータシンボル
1D6BA: 数学ボールドキャピタルシグマ
1D6BB: 数学的ボールドキャピタルタウ
1D6BC: 数学的ボールドキャピタルウプシロン
1D6BD: 数学ボールドキャピタルファイ
1D6BE: 数学ボールドキャピタルカイ
1D6BF: 数学ボールドキャピタルPsi
1D6C0: 数学的な大胆な首都オメガ
1D6C1: 数学的ボールドナブラ
1D6C2: 数学ボールドスモールアルファ
1D6C3: 数学ボールドスモールベータ
1D6C4: 数学的ボールドスモールガンマ
1D6C5: 数学的ボールドスモールデルタ
1D6C6: 数学の太字の小イプシロン
1D6C7: 数学的ボールドスモールゼータ
1D6C8: 数学的ボールドスモールイータ
1D6C9: 数学的ボールドスモールシータ
1D6CA: 数学的太字小イオタ
1D6CB: 数学太字小カッパ
1D6CC: 数学的太字スモールラムダ
