1D700: 数学イタリック体小イプシロン
1D701: 数学イタリックスモールゼータ
1D702: 数学イタリックスモールイータ
1D703: 数学イタリックスモールシータ
1D704: 数学イタリックスモールイオタ
1D705: 数学イタリックスモールカッパ
1D706: 数学イタリックスモールラムダ
1D707: 数学イタリックスモールミュー
1D708: 数学イタリックスモールNu
1D709: 数学イタリックスモールXi
1D70A: 数学イタリックスモールオミクロン
1D70B: 数学イタリックスモールパイ
1D70C: 数学イタリックスモールロー
1D70D: 数学イタリックスモールファイナルシグマ
1D70E: イタリックスモールシグマ
1D70F: 数学イタリックスモールタウ
1D710: 数学イタリックスモールウプシロン
1D711: 数学イタリックスモールファイ
1D712: 数学イタリックスモールチー
1D713: 数学イタリック体小Psi
1D714: 数学イタリックスモールオメガ
1D715: 数学イタリック偏微分
1D716: 数学イタリックイプシロン記号
1D717: 数学イタリック体シータ記号
1D718: 数学斜体カッパ記号
1D719: 数学斜体ピピシンボル
1D71A: 数学イタリック体Rhoシンボル
1D71B: 数学イタリック円記号
1D71C: 数学ボールドイタリックキャピタルアルファ
1D71D: 数学ボールドイタリックキャピタルベータ
1D71E: 数学ボールドイタリックキャピタルガンマ
1D71F: 数学ボールドイタリックキャピタルデルタ
1D720: 数学ボールドイタリックキャピタルイプシロン
1D721: 数学ボールドイタリックキャピタルゼータ
1D722: 数学ボールドイタリックキャピタルエタ
1D723: 数学ボールドイタリックキャピタルシータ
1D724: 数学ボールドイタリックキャピタルイオタ
1D725: 数学ボールドイタリックキャピタルカッパ
1D726: 数学ボールドイタリックキャピタルラムダ
1D727: 数学ボールドイタリックキャピタルMu
1D728: 数学ボールドイタリックキャピタルニュー
1D729: 数学ボールドイタリックキャピタルXi
1D72A: 数学ボールドイタリックキャピタルオミクロン
1D72B: 数学ボールドイタリックキャピタルパイ
1D72C: 数学ボールドイタリックキャピタルロー
1D72D: 数学の太字斜体大文字シータシンボル
1D72E: 数学ボールドイタリックキャピタルシグマ
1D72F: 数学ボールドイタリックキャピタルタウ
1D730: 数学ボールドイタリックキャピタルウプシロン
1D731: 数学ボールドイタリックキャピタルファイ
1D732: 数学ボールドイタリックキャピタルカイ
1D733: 数学ボールドイタリックキャピタルPSI
1D734: 数学ボールドイタリックキャピタルオメガ
1D735: 数学ボールドイタリックナブラ
1D736: 数学ボールドイタリックスモールアルファ
1D737: 数学ボールドイタリックスモールベータ
1D738: 数学的太字斜体スモールガンマ
1D739: 数学太字斜体スモールデルタ
1D73A: 数学的な太字の斜体の小イプシロン
1D73B: 数学ボールドイタリックスモールゼータ
1D73C: 数学的太字斜体スモールイータ
1D73D: 数学的太字斜体スモールシータ
1D73E: 数学的太字斜体スモールイオタ
1D73F: 数学太字斜体スモールカッパ
1D740: 数学太字斜体スモールラムダ
1D741: 数学ボールドイタリックスモールミュー
1D742: 数学ボールドイタリックスモールニュー
1D743: 数学ボールドイタリックスモールXi
1D744: 数学太字斜体スモールオミクロン
1D745: 数学ボールドイタリックスモールパイ
1D746: 数学ボールドイタリックスモールロー
1D747: 数学ボールドイタリックスモールファイナルシグマ
1D748: 数学ボールドイタリックスモールシグマ
1D749: 数学的太字斜体スモールタウ
1D74A: 数学的な太字の斜体の小さなウプシロン
1D74B: 数学ボールドイタリックスモールファイ
1D74C: 数学ボールドイタリックスモールチー
1D74D: 数学的太字斜体Small Psi
1D74E: 数学太字斜体スモールオメガ
1D74F: 数学ボールドイタリック偏微分
1D750: 数学の太字斜体イプシロン記号
1D751: 数学の太字斜体シータ記号
1D752: 数学太字斜体カッパシンボル
1D753: 数学の太字斜体ピピシンボル
1D754: 数学太字斜体Rhoシンボル
1D755: 数学ボールドイタリックパイシンボル
1D756: 数学サンセリフボールドキャピタルアルファ
1D757: 数学サンセリフボールドキャピタルベータ
1D758: 数学サンセリフボールド首都ガンマ
1D759: 数学サンセリフボールド首都デルタ
1D75A: 数学のサンセリフボールド首都イプシロン
1D75B: 数学サンセリフボールドキャピタルゼータ
1D75C: 数学のサンセリフボールド首都エタ
1D75D: 数学的なサンセリフボールドキャピタルシータ
1D75E: 数学のサンセリフボールド首都イオタ
1D75F: 数学サンセリフボールドキャピタルカッパ
1D760: 数学のサンセリフボールド首都ラムダ
1D761: 数学のサンセリフボールド首都ムー
1D762: 数学サンセリフボールドキャピタルニュー
1D763: 数学サンセリフボールドキャピタルXi
1D764: 数学サンセリフボールドキャピタルオミクロン
1D765: 数学サンセリフボールドキャピタルパイ
1D766: 数学サンセリフボールドキャピタルロー
1D767: 数学のサンセリフボールド首都シータシンボル
1D768: 数学のサンセリフボールドキャピタルシグマ
1D769: 数学サンセリフボールドキャピタルタウ
1D76A: 数学的なサンセリフボールド首都ウプシロン
1D76B: 数学サンセリフボールドキャピタルファイ
1D76C: 数学サンセリフボールドキャピタルカイ
1D76D: 数学のサンセリフボールドキャピタルPSI
1D76E: 数学サンセリフボールド首都オメガ
1D76F: 数学サンセリフボールドナブラ
1D770: 数学サンセリフボールドスモールアルファ
1D771: 数学サンセリフボールドスモールベータ
1D772: 数学的なサンセリフボールドスモールガンマ
1D773: 数学的なサンセリフボールドスモールデルタ
1D774: 数学的なサンセリフボールド小イプシロン
1D775: 数学的なサンセリフボールドスモールゼータ
1D776: 数学サンセリフボールドスモールイータ
1D777: 数学的なサンセリフボールドスモールシータ
1D778: 数学のサンセリフボールドスモールイオタ
1D779: 数学サンセリフボールドスモールカッパ
1D77A: 数学的なサンセリフボールドスモールラムダ
1D77B: 数学サンセリフボールドスモールミュー
1D77C: 数学サンセリフボールドスモールニュー
1D77D: 数学サンセリフボールド小Xi
1D77E: 数学的なサンセリフボールドスモールオミクロン
1D77F: 数学サンセリフボールドスモールパイ
1D780: 数学サンセリフボールドスモールロー
1D781: 数学のサンセリフボールドスモールファイナルシグマ
1D782: 数学のサンセリフボールドスモールシグマ
1D783: 数学サンセリフボールドスモールタウ
1D784: 数学的なサンセリフボールド小ウプシロン
1D785: 数学サンセリフボールドスモールファイ
1D786: 数学Sans-Serif Bold Small Chi
1D787: 数学的なサンセリフボールドスモールPSI
