1F600: ニヤリ顔
1F601: 笑顔の目で顔をニヤリと
1F602: 喜びの涙で直面する
1F603: 口を開けて笑顔
1F604: 口を開けて目を笑顔で笑顔
1F605: 口を開けて冷たい汗で顔を笑顔
1F606: 開いた口としっかりと目を閉じて笑顔
1F607: ハローと笑顔
1F608: 角を持つ笑顔
1F609: ウインクフェイス
1F60A: 目を笑顔で笑顔
1F60B: おいしい食べ物を味わう顔
1F60C: ほっとした顔
1F60D: ハート型の目で笑顔
1F60E: サングラスと笑顔
1F60F: スマイキングフェイス
1F610: ニュートラルフェイス
1F611: 無表情の顔
1F612: 未使用の顔
1F613: 冷たい汗をかいた顔
1F614: 物思いにふける顔
1F615: 混乱した顔
1F616: 混乱した顔
1F617: キス顔
1F618: キスを投げる顔
1F619: 笑顔の目で顔にキス
1F61A: 目を閉じて顔にキス
1F61B: 突き出した舌で顔をする
1F61C: 突き出た舌とまばたきの目をした顔
1F61D: はみ出した舌としっかりと目を閉じて顔
1F61E: がっかりした顔
1F61F: 心配そうな顔
1F620: 怒った顔
1F621: ふくれっ面
1F622: 泣いている顔
1F623: 忍耐力のある顔
1F624: 勝利の外観を持つ顔
1F625: がっかりしたがほっとした顔
1F626: 口を開けて渋面
1F627: 悩んだ顔
1F628: 恐ろしい顔
1F629: 疲れた顔
1F62A: 眠そうな顔
1F62B: 疲れた顔
1F62C: 顔をゆがめた
1F62D: 大声で泣いている顔
1F62E: 口を開けて顔
1F62F: つぶれた顔
1F630: 口を開けて冷たい汗をかく顔
1F631: 恐怖で叫んでいる顔
1F632: びっくりした顔
1F633: フラッシュ顔
1F634: 寝顔
1F635: めまい顔
1F636: 口のない顔
1F637: 医療用マスクが付いている表面
1F638: 笑顔の目でニヤリと猫の顔
1F639: 喜びの涙で猫の顔
1F63A: 口を開けて猫の顔を笑顔
1F63B: ハート型の目で猫の顔を笑顔
1F63C: 苦笑している猫の顔
1F63D: 目を閉じて猫の顔にキス
1F63E: 猫の顔をふくれっ面
1F63F: 泣いている猫の顔
1F640: 疲れた猫の顔
1F641: やや渋面
1F642: 少し微笑む顔
1F643: 逆さまの顔
1F644: 目を転がして顔
1F645: いいジェスチャーではない顔
1F646: Okのジェスチャーで直面する
1F647: 深くお辞儀をする人
1F648: 邪悪な猿
1F649: 聞こえない猿
1F64A: 無邪気なモンキー
1F64B: 片手を上げる幸せな人
1F64C: お祝いに両手を上げる人 : バンザイ！
1F64D: 渋面の人
1F64E: ふくれっ面を持つ人
1F64F: 手を組んでいる人
1F650: 北西ポインティングリーフ
1F651: 南西ポインティングリーフ
1F652: 北東ポインティングリーフ
1F653: 南東ポインティングリーフ
1F654: 北西ポインティングリーフ
1F655: 南西ポインティングリーフ
1F656: 北東ポインティングリーフ
1F657: 南東ポインティングリーフ
1F658: 北西を指すつるの葉
1F659: 南西向きのつるの葉
1F65A: 北東のつるの葉
1F65B: 南東のつるの葉
1F65C: ヘビーノースウェストポインティングヴァインリーフ
1F65D: ヘビーサウスウェストポインティングヴァインリーフ
1F65E: ヘビーノースイーストポインティングヴァインリーフ
1F65F: ヘビーサウスイーストポインティングヴァインリーフ
1F660: 北西ポインティングバド
1F661: 南西ポインティングバド
1F662: 北東ポインティングバド
1F663: 南東ポインティングバド
