1FB00: ブロック六分儀-1
1FB01: ブロック六分儀-2
1FB02: ブロック六分儀-12
1FB03: ブロック六分儀-3
1FB04: ブロック六分儀-13
1FB05: ブロック六分儀-23
1FB06: ブロック六分儀-123
1FB07: ブロック六分儀-4
1FB08: ブロック六分儀-14
1FB09: ブロック六分儀-24
1FB0A: ブロック六分儀-124
1FB0B: ブロック六分儀-34
1FB0C: ブロック六分儀-134
1FB0D: ブロック六分儀-234
1FB0E: ブロック六分儀-1234
1FB0F: ブロック六分儀-5
1FB10: ブロック六分儀-15
1FB11: ブロック六分儀-25
1FB12: ブロック六分儀-125
1FB13: ブロック六分儀-35
1FB14: ブロック六分儀-235
1FB15: ブロック六分儀-1235
1FB16: ブロック六分儀-45
1FB17: ブロック六分儀-145
1FB18: ブロック六分儀-245
1FB19: ブロック六分儀-1245
1FB1A: ブロック六分儀-345
1FB1B: ブロック六分儀-1345
1FB1C: ブロック六分儀-2345
1FB1D: ブロック六分儀-12345
1FB1E: ブロック六分儀-6
1FB1F: ブロック六分儀-16
1FB20: ブロック六分儀-26
1FB21: ブロック六分儀-126
1FB22: ブロック六分儀-36
1FB23: ブロック六分儀-136
1FB24: ブロック六分儀-236
1FB25: ブロック六分儀-1236
1FB26: ブロック六分儀-46
1FB27: ブロック六分儀-146
1FB28: ブロック六分儀-1246
1FB29: ブロック六分儀-346
1FB2A: ブロック六分儀-1346
1FB2B: ブロック六分儀-2346
1FB2C: ブロック六分儀-12346
1FB2D: ブロック六分儀-56
1FB2E: ブロック六分儀-156
1FB2F: ブロック六分儀-256
1FB30: ブロック六分儀-1256
1FB31: ブロック六分儀-356
1FB32: ブロック六分儀-1356
1FB33: ブロック六分儀-2356
1FB34: ブロック六分儀-12356
1FB35: ブロック六分儀-456
1FB36: ブロック六分儀-1456
1FB37: ブロック六分儀-2456
1FB38: ブロック六分儀-12456
1FB39: ブロック六分儀-3456
1FB3A: ブロック六分儀-13456
1FB3B: ブロック六分儀-23456
1FB3C: 左下のブロックの対角線下部中央左から下部中央
1FB3D: 左下のブロックの対角線下部中央左から右下
1FB3E: 左下のブロック対角線上中央左から下中央
1FB3F: 左下のブロックの斜め上中央左から右下
1FB40: 左下のブロック対角線左上から中央下
1FB41: 右下のブロック対角線上中央左から上中央
1FB42: 右下のブロックの対角線上中央左から右上
1FB43: 右下のブロックの対角線下部中央左から上部中央
1FB44: 右下のブロックの対角線下中央左から右上
1FB45: 右下のブロック対角線左下から上中央
1FB46: 右下のブロックの対角線下中央左から右上中央
1FB47: 右下のブロックの対角線下中央から右下中央
1FB48: 右下のブロックの対角線左下から中央下右
1FB49: 右下のブロックの対角線下部中央から右上中央
1FB4A: 右下ブロックの対角線左下から右上中央
1FB4B: 右下のブロック対角線の下部中央から右上
1FB4C: 左下のブロック対角線上中央から右上中央
1FB4D: 左下のブロックの対角線左上から右上中央
1FB4E: 左下のブロック対角線上中央から右下中央
1FB4F: 左下ブロックの対角線左上から右下中央
1FB50: 左下のブロック対角線上中央から右下
1FB51: 左下のブロックの斜め上中央左から下中央右
1FB52: 右上のブロックの対角線の下部中央左から下部中央
1FB53: 右上のブロック対角線の下部中央左から右下
1FB54: 右上ブロック対角線上中央左下中央
1FB55: 右上のブロック対角線上中央左から右下
1FB56: 右上ブロック対角線左上から中央下
1FB57: 左上ブロック対角上中央左上中央
1FB58: 左上ブロック斜め上中央左から右上
1FB59: 左上ブロック対角線下中央左上中央
1FB5A: 左上ブロック対角線下中央左から右上
1FB5B: 左上ブロック対角線左下から上中央
1FB5C: 左上ブロックの対角線、下部中央左から上部中央右
1FB5D: 左上ブロックの対角線下部中央から下部中央右
1FB5E: 左上ブロックの対角線左下から右下中央
1FB5F: 左上ブロックの対角線下部中央から右上中央
1FB60: 左上ブロックの対角線左下から右上中央
1FB61: 左上ブロックの対角線下部中央から右上
1FB62: 右上ブロック対角線上中央から右上中央
1FB63: 右上のブロック対角線左上から右上中央
1FB64: 右上のブロック対角線上中央から右下中央
1FB65: 右上ブロック対角線左上から右下中央
1FB66: 右上ブロックの対角線上中央から右下へ
1FB67: 右上ブロック対角線上中央左から下中央右
1FB68: 上下三角の3/4ブロック
1FB69: 左と下と右の三角形の3/4ブロック
1FB6A: 上と左と下の三角形の3/4ブロック
1FB6B: 左と上と右の三角形の3/4ブロック
1FB6C: 左三角四分の一ブロック
1FB6D: 上三角四分の一ブロック
1FB6E: 直角四分の一ブロック
1FB6F: 下三角四分の一ブロック
1FB70: 垂直1/8ブロック2
1FB71: 垂直1/8ブロック3
1FB72: 垂直1/8ブロック-4
1FB73: 垂直1/8ブロック-5
1FB74: 垂直1/8ブロック-6
1FB75: 垂直1/8ブロック-7
1FB76: 水平1/8ブロック2
1FB77: 水平1/8ブロック3
1FB78: 水平1/8ブロック-4
1FB79: 水平1/8ブロック-5
1FB7A: 水平1/8ブロック-6
1FB7B: 水平1/8ブロック-7
1FB7C: 左と下の1/8ブロック
