2F800: CJKコンパチビリティアイディアグラフ-2F800
2F801: CJKコンパチビリティアイディアグラフ-2F801
2F802: CJKコンパチビリティアイディアグラフ-2F802
2F803: CJKコンパチビリティアイディアグラフ-2F803
2F804: CJKコンパチビリティアイディアグラフ-2F804
2F805: CJKコンパチビリティアイディアグラフ-2F805
2F806: CJKコンパチビリティアイディアグラフ-2F806
2F807: CJKコンパチビリティアイディアグラフ-2F807
2F808: CJKコンパチビリティアイディアグラフ-2F808
2F809: CJKコンパチビリティアイディアグラフ-2F809
2F80A: CJKコンパチブルアイディアグラフ2F80A
2F80B: CJKコンパチブルアイディアグラフ2F80B
2F80C: CJKコンパチブルアイディアグラフ-2F80C
2F80D: CJKコンパチビリティアイディアグラフ-2F80D
2F80E: CJKコンパチビリティアイディアグラフ-2F80E
2F80F: CJKコンパチブルアイディアグラフ2F80F
2F810: CJKコンパチビリティアイディアグラフ-2F810
2F811: CJKコンパチビリティアイディアグラフ-2F811
2F812: CJKコンパチビリティアイディアグラフ-2F812
2F813: CJKコンパチビリティアイディアグラフ-2F813
2F814: CJKコンパチビリティアイディアグラフ-2F814
2F815: CJKコンパチビリティアイディアグラフ-2F815
2F816: CJKコンパチビリティアイディアグラフ-2F816
2F817: CJKコンパチビリティアイディアグラフ-2F817
2F818: CJKコンパチビリティアイディアグラフ-2F818
2F819: CJKコンパチビリティアイディアグラフ-2F819
2F81A: CJKコンパチビリティアイディアグラフ-2F81A
2F81B: CJK互換アイディアグラフ2F81B
2F81C: CJKコンパチビリティアイディアグラフ-2F81C
2F81D: CJKコンパチビリティアイディアグラフ-2F81D
2F81E: CJKコンパチビリティIdeograph-2F81E
2F81F: CJKコンパチビリティアイディアグラフ-2F81F
2F820: CJKコンパチビリティアイディアグラフ-2F820
2F821: CJKコンパチビリティアイディアグラフ-2F821
2F822: CJKコンパチビリティアイディアグラフ-2F822
2F823: CJKコンパチビリティアイディアグラフ-2F823
2F824: CJKコンパチビリティアイディアグラフ-2F824
2F825: 表意文字5
2F826: CJKコンパチビリティアイディアグラフ-2F826
2F827: CJKコンパチビリティアイディアグラフ-2F827
2F828: CJKコンパチビリティアイディアグラフ-2F828
2F829: CJKコンパチビリティアイディアグラフ-2F829
2F82A: CJKコンパチビリティアイディアグラフ-2F82A
2F82B: CJK互換アイディアグラフ2F82B
2F82C: CJKコンパチブル・イデオグラフ-2F82C
2F82D: CJKコンパチブルアイディアグラフ2F82D
2F82E: CJKコンパチビリティアイディアグラフ-2F82E
2F82F: CJKコンパチビリティアイディアグラフ-2F82F
2F830: CJKコンパチビリティアイディアグラフ-2F830
2F831: CJKコンパチビリティアイディアグラフ-2F831
