E0001: 言語タグ
E0020: タグスペース
E0021: タグの感嘆符
E0022: タグ引用符
E0023: タグナンバーサイン
E0024: タグドル記号
E0025: タグパーセント記号
E0026: タグアンパサンド
E0027: タグアポストロフィ
E0028: タグ左括弧
E0029: タグの右括弧
E002A: アスタリスクタグ
E002B: タグプラスサイン
E002C: タグコンマ
E002D: タグハイフンマイナス
E002E: 完全停止タグ
E002F: タグSolidus
E0030: タグディジットゼロ
E0031: タグディジットワン
E0032: タグディジット2
E0033: タグ番号3
E0034: タグ番号4
E0035: タグディジットファイブ
E0036: タグディジット6
E0037: タグディジット7
E0038: タグディジット8
E0039: タグディジット9
E003A: タグコロン
E003B: タグセミコロン
E003C: 小なり記号にタグを付ける
E003D: タグがサインに等しい
E003E: 大なり記号にタグを付ける
E003F: 疑問符にタグを付ける
E0040: でコマーシャルにタグを付ける
E0041: タグラテン大文字A
E0042: タグラテン大文字B
E0043: タグラテン大文字C
E0044: タグラテン大文字D
E0045: タグラテン大文字E
E0046: タグラテン大文字F
E0047: タグラテン大文字G
E0048: タグラテン大文字H
E0049: タグラテン大文字I
E004A: タグラテン大文字J
E004B: タグラテン大文字K
E004C: タグラテン大文字L
E004D: タグラテン大文字M
E004E: タグラテン大文字N
E004F: タグラテン大文字O
E0050: タグラテン大文字P
E0051: タグラテン大文字Q
E0052: タグラテン大文字R
E0053: タグラテン大文字S
E0054: タグラテン大文字T
E0055: タグラテン大文字U
E0056: タグラテン大文字V
E0057: タグラテン大文字W
E0058: タグラテン大文字X
E0059: タグラテン大文字Y
E005A: タグラテン大文字Z
E005B: タグ左角かっこ
E005C: タグReverse Solidus
E005D: タグ右角かっこ
E005E: タグ曲折アクセント
E005F: タグローライン
E0060: タグ墓アクセント
E0061: タグラテン小文字A
E0062: タグラテン小文字B
E0063: タグラテン小文字C
E0064: タグラテン小文字D
E0065: タグラテン小文字E
E0066: タグラテン小文字F
E0067: タグラテン小文字G
E0068: タグラテン小文字H
E0069: タグラテン小文字I
E006A: タグラテン小文字J
E006B: タグラテン小文字K
E006C: タグラテン小文字L
E006D: タグラテン小文字M
E006E: タグラテン小文字N
E006F: タグラテン小文字O
E0070: タグラテン小文字P
E0071: タグラテン小文字Q
E0072: タグラテン小文字R
E0073: タグラテン小文字S
E0074: タグラテン小文字T
E0075: タグラテン小文字U
E0076: タグラテン小文字V
E0077: タグラテン小文字W
E0078: タグラテン小文字X
E0079: タグラテン小文字Y
E007A: タグラテン小文字Z
E007B: タグ左中括弧
E007C: タグ縦線
E007D: タグ右中かっこ
E007E: Tag Tilde
E007F: タグをキャンセル
