properties: プロパティ
hide: 隠す
show: 示す
up: トップに戻ります
range: スコープ
loading: ロード、待ってください
count: 文字の合計数
sort-order: 連続して
sort-block: 文字範囲のセグメントを押してください
copy-clipboard: クリップボードにコピー
help-range: 文字の範囲をクリックして表示します
more: もっと
prev: フォワード
next: 後方
separate-page: 新しい開いているページ
share-link: シェア
recent: 最近
# @todo recent-text
read-more: 続きを読みます
read-less: 隠します

copied: コピーしました！
see_also: また見なさい
page_content_menu: 目次
homepage: ホームページ
cookie-message: このサイトでは 🍪cookie を使用して、最高のエクスペリエンスを確保しています。
accept: 受け入れる
empty-cell: 空のセル
block-description: 説明
more-information: 続きを読む
back: 戻る
widget-keyboard-title: シンボルキーボード
widget-keyboard-placeholder: ここにはコピーしたすべての記号が表示されます ✨

[mobile]
to-full: フルバージョンに移動します
to-mobile: モバイル版

[edit]: 編集
save: 保存
submit: 提出します
undo: 取り消します
send-changes: 変更内容は、サイトの開発に送信されます。本当に？
thanks: ありがとう
