0000-001F: C0コントロール
0020-002F: ASCII句読点と記号
0030-0039: ASCII数字
003A-0040: ASCII句読点と記号
0041-005A: 大文字のラテンアルファベット
005B-0060: ASCII句読点と記号
0061-007A: ラテンアルファベットの小文字
007B-007E: ASCII句読点と記号
007F-007F: 制御文字
0080-009F: C1コントロール
00A0-00BB: Latin-1句読点と記号
00BC-00BE: 下品な画分
00BF-00BF: 句読点
00C0-00D6: 手紙
00D7-00D7: 数学演算子
00D8-00F6: 手紙
00F7-00F7: 数学演算子
00F8-00FF: 手紙
0100-0148: ヨーロッパのラテン
0149-0149: 廃止された手紙
014A-017F: ヨーロッパのラテン
0180-01BF: 非ヨーロッパおよび歴史的なラテン語
01C0-01C3: クリックのためのアフリカの手紙
01C4-01CC: セルビア語のキリル文字に一致するラテン語のダイグラフ
01CD-01DC: ピンイン発音区別符号と母音の組み合わせ
01DD-01FF: ふりがなと歴史的な手紙
0200-0217: スロベニア語とクロアチア語の追加
0218-021B: ルーマニア語の追加
021C-0229: その他の追加
022A-0233: リボニアンの追加
0234-0236: シノロジーの追加
0237-0237: その他の追加
0238-0239: アフリカ系言語学のための追加
023A-023E: Sencotenの追加
023F-0240: アフリカ系言語学のための追加
0241-024F: その他の追加
0250-02A8: IPA拡張
02A9-02AD: 無秩序な発話のためのIPA文字
02AE-02AF: シノロジーの追加
02B0-02B8: ラテン語の上付き修飾文字
02B9-02D7: その他の音声修飾子
02D8-02DD: 分音記号のクローンの間隔
02DE-02E4: 1989 IPAに基づく追加
02E5-02E9: トーンレター
02EA-02EB: 拡張ボポモフォトーンマーク
02EC-02ED: IPA修飾子
02EE-02EE: その他の修飾文字
02EF-02FF: UPA修飾子
0300-0333: 通常の発音区別符号
0334-0338: 重ね打ち発音記号
0339-033F: その他の追加
0340-0341: ベトナム語調
0342-0345: ギリシャ語の追加
0346-034A: IPAの追加
034B-034E: 無秩序な発言のためのIPA発音区別符号
034F-034F: 書記素ジョイナー
0350-0357: ウラル音声記号の追加
0358-035B: その他の追加
035C-0362: 二重発音符
0363-036F: 中世の上付き文字分音記号
0370-0373: 古風な手紙
0374-0375: 数字記号
0376-0377: 古風な手紙
037A-037A: イオタ添え字
037B-037D: 編集記号の小文字
037E-037E: 句読点
037F-037F: 追加の手紙
0384-0385: アクセント記号の間隔
0386-0386: 文字
0387-0387: 句読点
0388-03CE: 手紙
03CF-03D7: バリアントレターフォーム
03D8-03E1: 古風な手紙
03E2-03EF: Demoticから派生したコプト文字
03F0-03F2: バリアントレターフォーム
03F3-03F3: 追加の手紙
03F4-03F6: バリアントの文字と記号
03F7-03F8: バクトリアンのための追加の古風な手紙
03F9-03F9: バリアントレターフォーム
