title: 아름다운 키릴 문자
list_title: 아름다운 키릴 문자

square: 제곱 라틴 대문자
old-english: 오래 된 스타일 영어 알파벳
runic: 룬 문자 영어 알파벳
cyrillic: 키릴 문자
la: 편지 А
lb: 편지 Б
lv: 편지 В
lg: 편지 Г
ld: 편지 Д
le: 편지 Е
lzh: 편지 Ж
lz: 편지 З
li: 편지 И
ly: 편지 Й
lk: 편지 К
ll: 편지 Л
lm: 편지 М
ln: 편지 Н
lo: 편지 О
lp: 편지 П
lr: 편지 Р
ls: 편지 С
lt: 편지 Т
lu: 편지 У
lf: 편지 Ф
lh: 편지 Х
lc: 편지 Ц
lch: 편지 Ч
lsh: 편지 Ш
lsch: 편지 Щ
ltvzn: 편지 Ъ
lyy: 편지 Ы
lmzn: 편지 Ь
lye: 편지 Э
lyu: 편지 Ю
lya: 편지 Я
latin: 라틴어
circle: 동그라미 라틴 대문자
lla: 편지 A
llb: 편지 B
llc: 편지 C
lld: 편지 D
lle: 편지 E
llf: 편지 F
llg: 편지 G
llh: 편지 H
lli: 편지 I
llj: 편지 J
llk: 편지 K
lll: 편지 L
llm: 편지 M
lln: 편지 N
llo: 편지 O
llp: 편지 P
llr: 편지 R
lls: 편지 S
llt: 편지 T
llu: 편지 U
llv: 편지 V
llw: 편지 W
llx: 편지 X
lly: 편지 Y
llz: 편지 Z
