abkhazian       	: 압하스어
ainu            	: 艾努 언어
arabic          	: 아라비아 말
armenian        	: 아르메니아의
amharic         	: 암하라어
balinese        	: 발리
bamum           	: 바뭄 언어
batak           	: 바 타크
bengali         	: 벵골어
buhid           	: 부 히드 어
buginese        	: 부기 스 언어
bulgarian       	: 불가리아 사람
burmese         	: 버마의
celtic          	: 켈트족의
cham            	: 참
cherokee        	: 체로키
chinese         	: 중국어
cia-cia         	: 찌아 찌아 어
coptic          	: 콥트 사람의
cree            	: 크리어
croatian        	: 크로아티아의
dravidian       	: 드라비다어 족
ethiopian-semitic 	: 에티오피아 셈족 언어 가족
english         	: 영어
french          	: 프랑스의
georgian        	: 그루지야의
german          	: 독일의
greek           	: 그리스의
hanunoo         	: 누누 언어
hebrew          	: 히브리어
hindi           	: 힌디 어
italian         	: 이탈리아어
indian          	: 힌디 어
japanese        	: 일본의
javanese        	: 자바어
kayah           	: 카야 언어
khmer           	: 크메르어
komi            	: 코미어
korean          	: 한국의
kurd            	: 쿠르드어
laotian         	: 라오스 언어
lepcha          	: 레프
limbu           	: 림부
lisu            	: 리수
makassarese     	: Makassarese
maldivian       	: 디베히어
maltese         	: 몰타의
mandaic         	: 만다 이즘
mandar          	: 만다
marathi         	: 마라타어
mongolian       	: 몽고의
nko             	: NKO 언어
okinawan        	: 오키나와 언어
old-church-slavic 	: 고대 교회 슬라브어
old-italic      	: 옛 이탈리아어
oriya           	: 오리야어
palauan         	: 팔라우
palaun          	: Palaun
pali            	: 팔리 어
polish          	: 폴란드어
punjabi         	: 펀 자브
persian         	: 페르시아의
pictish         	: Pictish 언어
primitive-irish 	: 원시 아일랜드어
rejang          	: 르 생강 언어
runic           	: 룬 문자 알파벳
russian         	: 러시아어
sanskrit        	: 산스크리트
santali         	: Santali 언어
sami            	: 사미
sasak           	: 사삭
saurashtra      	: 사우라 슈트라 언어
sinhalese       	: 스리랑카 어
slovenian       	: 슬로베니아
sundanese       	: 순다어
sylheti         	: Sylheti
syrian          	: 시리아
tagalog         	: 타갈로그어
tamil           	: 타밀어
telugu          	: 텔루구어
thai            	: 타이어
tibetan         	: 티베트어 언어
tigtinya        	: 티그리냐어
tuareg          	: 투아레그 족의 언어
turkish         	: 터키의
ukrainian       	: 우크라이나의
uyghur          	: 위구르어
vai             	: 밟아 언어
vietnamese      	: 베트남어
yi              	: 이순신 언어
yiddish         	: 이디시 말의 

