popular	: 가장 인기있는 캐릭터
new-year-and-christmas-symbols	: 크리스마스와 새해 패턴
olympic-symbols	: 올림픽 플래그
chess-symbols	: 체스 패턴
hearts-symbols	: 하트 모양의 패턴
signs-of-the-zodiac	: 별자리 기호
suits-of-the-cards	: 포커 패턴
currency-symbols	: 통화 기호
office-accessory-symbols	: 사무실 시리즈 패턴
arrows-symbols	: 화살표 패턴
quotation-marks	: 인용 부호
special-symbols	: 특수 기호
sea-symbols	: 마린 스타일 패턴
music-symbols	: 음악 기호
flowers-symbols	: 꽃 디자인
greek-symbols	: 그리스 문자
social-symbols	: 페이스 북이 사용하는 패턴
esperanto	: 에스페란토
animals	: 동물
valentine	: 발렌타인 데이
stars-symbols	: 스타 기호
Roman-numerals	: 로마 숫자
nickname-symbols	: 닉네임 기호
crosses	: 크로스
symbols-vk	: 페이스 북은 단순히 패턴을 사용
punctuation-marks	: 구두 
