arab	: Arabski
	
armenian	: Ormiański
	
avestan	: Awestyjski
	
balinese	: Balijskie
	
bamum	: Bamum
	
bashkir	: Bashkir
	
bassa-vah	: Bassa-vah
	
batak	: Batackie
	
belarusian	: Białoruski
	
bengali	: Bengalskie
	
bopomofo	: Bopomofo. zhuyin
	
brahmi	: Brahmi
	
buginese	: Bugiński
	
buhid	: Buhid
	
bulgarian	: Bułgarski
	
carian	: Carian
	
caucasian-albanian	: Kaukaski albański
	
chakma	: Czakma
	
cham	: Cham
	
cherokee	: Cherokee
	
chinese	: Chiński pinyin
	
coptic	: Koptyjski
	
cypriot-syllabary	: Cypryjski syllabary
	
cyrillic	: Cyrylica
	
czech	: Czeska
	
deseret	: Deseret
	
devanagari	: Dewanagari
	
elbasan	: Elbasan
	
english	: Angielski
	
esperanto	: Esperanto
	
ethiopic	: Etiopski Ge'ez
	
french	: Francuski
	
georgian	: Gruziński
	
german	: Niemiecki
	
glagolitic	: Głagolicy
	
gothic	: Gocki
	
grantha	: Grantha
	
greek	: Grecki
	
gujarati	: Gudżarati
	
gurmukhi	: Gurmukhi
	
hangul	: Hangul
	
hanunoo	: Hanunoo
	
hebrew	: Hebrajski
	
hungarian	: Węgierski
	
imperial-aramaic	: Imperial aramejski
	
international-phonetic-alphabet	: Międzynarodowy fonetyczny
	
italian	: Włoski
	
japanese-hiragana	: Japoński hiragana
	
japanese-katakana	: Japoński katakana
	
javanese	: Jawajski
	
kaithi	: Kaithi
	
kannada	: Kannada
	
kayah-li	: Kayah Li
	
kazakh	: Kazachski
	
kharoshthi	: Kharoszthi
	
khmer	: Khmer
	
khojki	: Khojki
	
khudawadi	: Khudawadi
	
lao	: Lao
	
latin	: Laciński
	
lepcha	: Rong
	
limbu	: Limbu
	
linear-b-Syllabary	: Linear B syllabary
	
lisu	: Lisu
	
lycian	: Lycian
	
lydian	: Lydian
	
nabataean	: Nabataean
	
mahajani	: Mahadżani
	
malayalam	: Malajalam
	
mandaic	: Mandejski
	
manichaean	: Manichejskie
	
meetei-mayek	: Munipuri
	
mende-kikakui	: Mende kikakui
	
meroitic-cursive	: Meroickie kursywą
	
modi	: Modi
	
mongolian	: Mongolski
	
mro	: MRO
	
myanmar	: Birma
	
new-tai-lue	: lue tai nowy
	
nko	: Nko
	
ogham	: Ngham
	
ol-chiki	: Ol ciki
	
old-italic	: etruski włoski stary
	
old-north-arabian	: Arabskiego północny stary
	
old-permic	: Permic Stary
	
old-persian	: Staroperski
	
old-south-arabian	: Arabskiego południe stary
	
old-turkic	: Tureckich runiczny stary
	
oriya	: Orija
	
osmanya	: Osmanija
	
pahawh-hmong	: Pahawh Hmong
	
pahlavi	: Pahlavi
	
palmyrene	: Palmyrene
	
pau-cin-hau	: Pau cin hau
	
phags-pa	: Phags pa
	
phoenician	: Fenicki
	
polish	: Polski
	
pollard	: Pollard
	
rejang	: Rejang
	
runic	: Runiczny
	
russian	: Rosyjski
	
samaritan	: Samarytanin
	
saurashtra	: Saurashtra
	
sharada	: Sharada
	
shavian	: Shawa
	
siddham	: Siddham
	
sinhala	: Syngaleskie
	
sora-sompeng	: Sory Sompeng
	
spanish	: Hiszpański
	
sundanese	: Sundajskie
	
syloti-nagri	: Syloti Nagri
	
syriac	: Syryjski
	
tagalog	: Tagalog
	
tagbanwa	: Tagbanwa
	
tai-le	: Tai le
	
tai-tham	: Lanna
	
tai-viet	: Viet Tai
	
takri	: Takri
	
tamil	: Tamil
	
tatar	: Tatarski
	
telugu	: Telugu
	
thaana	: Thaana
	
thai	: Tajskie
	
tibetan	: Tybetańskie
	
tifinagh	: Tifinagh
	
tirhuta	: Tirhuta
	
turkish	: turecki
	
ugaritic	: Ugarycki
	
ukrainian	: Ukraiński
	
unified-canadian-aboriginal-syllabics	: canadian rodowity unified syllabary
	
vai	: Vai syllabary
	
varang-kshiti	: Varang kshiti
	
yi-syllables	: Yi syllabary 
