abkhazia        	:  Abchazja
afghanistan     	:  Afganistan
algeria         	:  Algieria
armenia         	:  Armenia
australia       	:  Australia
azerbaijan      	:  Azerbejdżan
bahrain         	:  Bahrajn
bali            	:  Bali
bangladesh      	:  Bangladesz
bosnia          	:  Bośnia
bulgaria        	:  Bułgaria
burma           	:  Birma
butane          	:  Butan
cambodia        	:  Kambodża
cameroon        	:  Kamerun
canada          	:  Kanada
china           	:  Chiny
croatia         	:  Chorwacja
egypt           	:  Egipt
england         	:  Anglia
eritrea         	:  Erytrea
estland         	:  Estonia
ethiopia        	:  Etiopia
fiji_islands    	:  Wyspy Fidżi
finland         	:  Finlandia
france          	:  Francja
georgia         	:  Gruzja
germany         	:  Niemcy
goa             	:  Goa
greece          	:  Grecja
guam            	:  Guam
guinea          	:  Gwinea
herzegovina     	:  Hercegowina
hungary         	:  Węgry
india           	:  Indie
indonesia       	:  Indonezja
iran            	:  Iran
iraq            	:  Irak
ireland         	:  Irlandia
israel          	:  Izrael
italy           	:  Włochy
jakarta         	:  Djakarta
japan           	:  Japonia
kashmir         	:  Kaszmir
kazakhstan      	:  Kazachstan
kenya           	:  Kenia
kuwait          	:  Kuwejt
laos            	:  Laos
levant          	:  Uciec
liberia         	:  Liberia
libya           	:  Libia
lombok          	:  Lombok
macedonia       	:  Macedonia
malaysia        	:  Malezja
maldives        	:  Malediwy
mali            	:  Mali
malta           	:  Malta
mauritius       	:  Mauritius
mesopotamia     	:  Mezopotamia
moldova         	:  Moldova
mongolia        	:  Mongolia
montenegro      	:  Czarnogóra
myanmar         	:  Myanmar
nepal           	:  Nepal
nigeria         	:  Nigeria
north_africa    	:  Północna Afryka
north_korea     	:  Korea Północna
north_philippines 	:  Północna Filipiny
norway          	:  Norwegia
pakistan        	:  Pakistan
peru            	:  Peru
philippines     	:  Filipiny
poland          	:  Polska
rumania         	:  Rumunia
russia          	:  Rosja
salvador        	:  Salvador
scotland        	:  Szkocja
serbia          	:  Serbia
sierra_leone    	:  Sierra Leone
singapore       	:  Singapur
slovenia        	:  Słowenia
somalia         	:  Somali
south_korea     	:  Korea Południowa
sri_lanka       	:  Sri Lanka
sudan           	:  Sudan
sumatra         	:  Sumatra
sweden          	:  Szwecja
syria           	:  Syria
taiwan          	:  Tajwan
tanzania        	:  Tanzania
thailand        	:  Tajlandia
tibet           	:  Tybet
turkey          	:  Indyk
uganda          	:  Uganda
ukraine         	:  Ukraina
usa             	:  USA
vietnam         	:  Wietnam
wales           	:  Walia 
