abkhazian       	: abchaski
ainu            	: ainu
arabic          	: arabski
armenian        	: ormiański
amharic         	: amharski
balinese        	: balijski
bamum           	: bamum
batak           	: Batak
bengali         	: bengalski
buhid           	: buhid
buginese        	: bugiński
bulgarian       	: bułgarski
burmese         	: birmańczyk
celtic          	: celtic
cham            	: cham
cherokee        	: cherokee
chinese         	: chiński
cia-cia         	: cia-cia
coptic          	: koptyjski
cree            	: cree
croatian        	: chorwacki
dravidian       	: dravidian
ethiopian-semitic 	: etiopski semickie
english         	: język angielski
french          	: francuski
georgian        	: gruziński
german          	: niemiecki
greek           	: grecki
hanunoo         	: hanunoo
hebrew          	: hebrajski
hindi           	: hinduski
hungarian       	: język węgierski
italian         	: włoski
indian          	: indyjski
japanese        	: język japoński
javanese        	: jawajski
kayah           	: Kayah
khmer           	: khmer
komi            	: komi
korean          	: koreański
kurd            	: kurd
laotian         	: laosu
lepcha          	: lepcza
limbu           	: limbu
lisu            	: lisu
makassarese     	: makassarese
maldivian       	: malediwów
maltese         	: maltański
mandaic         	: mandejski
mandar          	: mandar
marathi         	: marathi
mongolian       	: mongolski
nko             	: nko
okinawan        	: okinawy
old-church-slavic 	: stary kościół słowiański
old-italic      	: stare kursywa
oriya           	: oriya
palauan         	: palauan
palaun          	: palaun
pali            	: pali
polish          	: Polskie
punjabi         	: punjabi
persian         	: perski
pictish         	: piktów
primitive-irish 	: prymitywne irlandzki
rejang          	: rejang
runic           	: runiczny
russian         	: rosyjski
sanskrit        	: sanskryt
santali         	: santali
sami            	: sami
sasak           	: sasak
saurashtra      	: saurashtra
sinhalese       	: cejloński
slovenian       	: słoweński
sundanese       	: sundanese
sylheti         	: sylheti
syrian          	: syryjski
tagalog         	: tagalog
tamil           	: tamil
telugu          	: telugu
thai            	: tajski
tibetan         	: tybetański
tigtinya        	: tigtinya
tuareg          	: tuareg
turkish         	: turecki
ukrainian       	: ukraiński
uyghur          	: uyghur
vai             	: vai
vietnamese      	: wietnamski
yi              	: yi
yiddish         	: jidysz

