abkhazia        	  : Abcásia
afghanistan     	  : Afeganistão
algeria         	  : Argélia
armenia         	  : Armênia
australia       	  : Austrália
azerbaijan      	  : Azerbaijão
bahrain         	  : Bahrein
bali            	  : Bali
bangladesh      	  : Bangladesh
bosnia          	  : Bósnia
bulgaria        	  : Bulgária
burma           	  : Birmânia
butane          	  : Butano
cambodia        	  : Camboja
cameroon        	  : Camarões
canada          	  : Canadá
china           	  : China
croatia         	  : Croácia
egypt           	  : Egito
england         	  : Inglaterra
eritrea         	  : Eritreia
estland         	  : Estônia
ethiopia        	  : Etiópia
fiji_islands    	  : Ilhas Fiji
finland         	  : Finlândia
france          	  : França
georgia         	  : Geórgia
germany         	  : Alemanha
goa             	  : Goa
greece          	  : Grécia
guam            	  : Guam
guinea          	  : Guiné
herzegovina     	  : Herzegovina
hungary         	  : Hungria
india           	  : Índia
indonesia       	  : Indonésia
iran            	  : Irã
iraq            	  : Iraque
ireland         	  : Irlanda
israel          	  : Israel
italy           	  : Itália
jakarta         	  : Jacarta
japan           	  : Japão
kashmir         	  : Caxemira
kazakhstan      	  : Cazaquistão
kenya           	  : Quênia
kuwait          	  : Kuwait
laos            	  : Laos
levant          	  : Levante
liberia         	  : Libéria
libya           	  : Líbia
lombok          	  : Lombok
macedonia       	  : Macedônia
malaysia        	  : Malásia
maldives        	  : Maldivas
mali            	  : Mali
malta           	  : Malta
mauritius       	  : Maurício
mesopotamia     	  : Mesopotâmia
moldova         	  : Moldávia
mongolia        	  : Mongólia
montenegro      	  : Montenegro
myanmar         	  : Mianmar
nepal           	  : Nepal
nigeria         	  : Nigéria
north_africa    	  : norte da África
north_korea     	  : Coreia do Norte
north_philippines 	  : Filipinas do Norte
norway          	  : Noruega
pakistan        	  : Paquistão
peru            	  : Peru
philippines     	  : Filipinas
poland          	  : Polônia
rumania         	  : Romênia
russia          	  : Rússia
salvador        	  : Salvador
scotland        	  : Escócia
serbia          	  : Sérvia
sierra_leone    	  : Serra Leoa
singapore       	  : Cingapura
slovenia        	  : Eslovênia
somalia         	  : Somália
south_korea     	  : Coreia do Sul
sri_lanka       	  : Sri Lanka
sudan           	  : Sudão
sumatra         	  : Sumatra
sweden          	  : Suécia
syria           	  : Síria
taiwan          	  : Taiwan
tanzania        	  : Tanzânia
thailand        	  : Tailândia
tibet           	  : Tibet
turkey          	  : Peru
uganda          	  : Uganda
ukraine         	  : Ucrânia
usa             	  : EUA
vietnam         	  : Vietnã
wales           	  : País de Gales 
