abkhazian       	: abcazio
ainu            	: ainu
arabic          	: árabe
armenian        	: armênio
amharic         	: amárico
balinese        	: balinês
bamum           	: bamum
batak           	: batak
bengali         	: bengali
buhid           	: buhid
buginese        	: buginês
bulgarian       	: búlgaro
burmese         	: birmanês
celtic          	: céltico
cham            	: cham
cherokee        	: cherokee
chinese         	: chinês
cia-cia         	: cia-cia
coptic          	: cóptico
cree            	: Cree
croatian        	: croata
dravidian       	: dravídico
ethiopian-semitic 	: etíope semita
english         	: inglês
french          	: francês
georgian        	: georgiano
german          	: alemão
greek           	: grego
hanunoo         	: hanunoo
hebrew          	: hebraico
hindi           	: hindi
hungarian       	: húngaro
italian         	: italiano
indian          	: indiano
japanese        	: japonês
javanese        	: javanês
kayah           	: kayah
khmer           	: khmer
komi            	: komi
korean          	: coreano
kurd            	: curdo
laotian         	: laotian
lepcha          	: lepcha
limbu           	: limbu
lisu            	: lisu
makassarese     	: makassarese
maldivian       	: maldivo
maltese         	: maltês
mandaic         	: mandaico
mandar          	: mandar
marathi         	: marathi
mongolian       	: mongol
nko             	: nko
okinawan        	: okinawa
old-church-slavic 	: antiga igreja eslava
old-italic      	: itálico antigo
oriya           	: oriya
palauan         	: palauan
palaun          	: palaun
pali            	: pali
polish          	: polonês
punjabi         	: punjabi
persian         	: persa
pictish         	: pictish
primitive-irish 	: primitivo irlandês
rejang          	: rejang
runic           	: rúnico
russian         	: russo
sanskrit        	: sânscrito
santali         	: santali
sami            	: sami
sasak           	: sasak
saurashtra      	: saurashtra
sinhalese       	: sinhalese
slovenian       	: esloveno
sundanese       	: sundanês
sylheti         	: sylheti
syrian          	: sírio
tagalog         	: tagalog
tamil           	: tâmil
telugu          	: telugu
thai            	: tailandês
tibetan         	: tibetano
tigtinya        	: tigtinya
tuareg          	: tuareg
turkish         	: turco
ukrainian       	: ucraniano
uyghur          	: uyghur
vai             	: vai
vietnamese      	: vietnamita
yi              	: yi
yiddish         	: yiddish
