A000: Yi Sílaba
A001: Yi Sílaba Ix
A002: Yi Sílaba I
A003: Yi Syllable Ip
A004: Yi Syllable Iet
A005: Yi Syllable Iex
A006: Yi Syllable Ie
A007: Yi Sílaba Iep
A008: Yi Syllable At
A009: Yi Syllable Axe
A00A: Yi Sílaba A
A00B: Yi Syllable Ap
A00C: Yi Syllable Uox
A00D: Yi Syllable Uo
A00E: Yi Syllable Uop
A00F: Yi Syllable Ot
A010: Yi Boi Sílaba
A011: Yi Sílaba O
A012: Yi Syllable Op
A013: Yi Sílaba Ex
A014: Yi Sílaba E
A015: Yi Syllable Wu
A016: Yi Sílaba Bit
A017: Yi Sílaba Bix
A018: Yi Syllable Bi
A019: Yi Sílaba Bip
A01A: Yi Sílaba Biet
A01B: Yi Syllable Biex
A01C: Yi Syllable Bie
A01D: Yi Syllable Biep
A01E: Yi Sílaba Bat
A01F: Yi Sílaba Bax
A020: Yi Syllable Ba
A021: Yi Sílaba Bap
A022: Yi Syllable Buox
A023: Yi Sílaba Buo
A024: Yi Syllable Buop
A025: Yi Syllable Bot
A026: Yi Syllable Box
A027: Yi Syllable Bo
A028: Yi Syllable Bop
A029: Yi Sílaba Bex
A02A: Yi Syllable Be
A02B: Yi Sílaba Bep
A02C: Yi Syllable Mas
A02D: Yi Syllable Bux
A02E: Yi Syllable Bu
A02F: Yi Syllable Bup
A030: Yi Syllable Burx
A031: Yi Sílaba Bur
A032: Yi Syllable Byt
A033: Yi Syllable Byx
A034: Yi Sílaba Por
A035: Yi Syllable Byp
A036: Yi Syllable Byrx
A037: Yi Syllable Byr
A038: Poço da sílaba de Yi
A039: Yi Syllable Pix
A03A: Yi Syllable Pi
A03B: Pip sílaba Yi
A03C: Yi Syllable Piex
A03D: Torta de Sílaba Yi
A03E: Yi Syllable Piep
A03F: Yi Syllable Pat
A040: Yi Sílaba Pax
A041: Yi Syllable Pa
A042: Yi Syllable Pap
A043: Yi sílaba Puox
A044: Sílaba Yi Puo
A045: Yi sílabo Puop
A046: Pot Yi Sílaba
A047: Yi Sílaba Pox
A048: Yi Syllable Po
A049: Yi Syllable Pop
A04A: Yi Syllable Put
A04B: Yi Syllable Pux
A04C: Yi sílaba Pu
A04D: Filhote de sílaba Yi
A04E: Yi Sílaba Purx
A04F: Yi Syllable Pur
A050: Yi Syllable Pyt
A051: Yi Syllable Pyx
A052: Yi Syllable Py
A053: Yi Sílaba Pyp
A054: Yi Syllable Pyrx
A055: Yi Syllable Pyr
A056: Yi Sílabo Bbit
A057: Yi Sílaba Bbix
A058: Yi Sílaba Bbi
A059: Yi Sílaba Bbip
A05A: Yi Syllable Bbiet
A05B: Yi Syllable Bbiex
A05C: Yi Sílaba Bbie
A05D: Yi Sílaba Bbiep
A05E: Yi Sílaba Bbat
A05F: Yi Syllable Bbax
A060: Yi Syllable Bba
A061: Yi Sílaba Bbap
A062: Yi Sílaba Bbuox
A063: Yi Syllable Bbuo
A064: Yi Sílaba Bbuop
A065: Yi Sílaba Bbot
A066: Yi Sílaba Bbox
A067: Yi Sílaba Bbo
A068: Yi Sílaba Bbop
A069: Yi Sílaba Bbex
A06A: Yi Sílaba Bbe
A06B: Yi Sílaba Bbep
A06C: Yi Sílaba Bbut
A06D: Yi Sílaba Bbux
A06E: Yi Sílaba Bbu
A06F: Yi Syllable Bbup
A070: Yi Sílaba Bburx
A071: Yi Sílaba Bbur
A072: Yi Syllable Bbyt
A073: Yi Sílaba Bbyx
A074: Yi Syllable Bby
A075: Yi Syllable Bbyp
A076: Yi Syllable Nbit
A077: Yi Syllable Nbix
A078: Yi Sílaba Nbi
A079: Yi Sílaba Nbip
A07A: Yi Syllable Nbiex
A07B: Yi Sílaba Nbie
A07C: Yi Sílaba Nbiep
A07D: Yi Sílaba Nbat
A07E: Yi Sílaba Nbax
A07F: Yi Syllable Nba
A080: Yi Syllable Nbap
A081: Yi Syllable Nbot
A082: Yi Syllable Nbox
A083: Yi Syllable Nbo
A084: Yi Syllable Nbop
A085: Yi Sílaba Nbut
A086: Yi Syllable Nbux
A087: Yi Syllable Nbu
A088: Yi Syllable Nbup
A089: Yi Sílaba Nburx
A08A: Yi Sílaba Nbur
A08B: Yi Syllable Nbyt
A08C: Yi Syllable Nbyx
A08D: Yi Syllable Nby
A08E: Yi Syllable Nbyp
A08F: Yi Syllable Nbyrx
A090: Yi Syllable Nbyr
A091: Yi Syllable Hmit
A092: Yi Syllable Hmix
A093: Yi Syllable Hmi
A094: Yi Sílaba Hmip
A095: Yi Syllable Hmiex
A096: Yi Sílaba Hmie
A097: Yi Syllable Hmiep
A098: Yi Syllable Hmat
A099: Yi Sílaba Hmax
A09A: Yi Syllable Hma
A09B: Yi Syllable Hmap
A09C: Yi Syllable Hmuox
A09D: Yi Syllable Hmuo
A09E: Yi Syllable Hmuop
A09F: Yi Syllable Hmot
A0A0: Yi Syllable Hmox
A0A1: Yi Syllable Hmo
A0A2: Yi Syllable Hmop
A0A3: Yi Syllable Hmut
A0A4: Yi Syllable Hmux
A0A5: Yi Syllable Hmu
A0A6: Yi Syllable Hmup
A0A7: Yi Syllable Hmurx
A0A8: Yi Syllable Hmur
A0A9: Yi Syllable Hmyx
A0AA: Yi Syllable Hmy
A0AB: Yi Syllable Hmyp
A0AC: Yi Syllable Hmyrx
A0AD: Yi Syllable Hmyr
A0AE: Yi Syllable Mit
A0AF: Yi Syllable Mix
A0B0: Yi Syllable Mi
A0B1: Yi sílaba Mip
A0B2: Yi Syllable Miex
A0B3: Yi Syllable Mie
A0B4: Yi Syllable Miep
A0B5: Esteira Sílaba Yi
A0B6: Yi Syllable Max
A0B7: Yi Syllable Ma
A0B8: Yi Mapa da Sílaba
A0B9: Yi Syllable Muot
