A000: Yi Syllabilul
A001: Yi silabă Ix
A002: Yi Syllabia I
A003: Yi Syllable Ip
A004: Yi silabă
A005: Yi Syllable Iex
A006: Yi Syllable De exemplu
A007: Yi Syllabia Iep
A008: Yi silabă la
A009: Yi Syllable Ax
A00A: Yi silabă A
A00B: Yi Syllable Ap
A00C: Yi Syllable Uox
A00D: Yi Syllable Uo
A00E: Yi Syllable Uop
A00F: Yi Syllable Ot
A010: Yi Syllable Ox
A011: Yi Syllable O
A012: Yi Syllable Op
A013: Yi silabă Ex
A014: Yi Syllable E
A015: Yi silabă Wu
A016: Yi Syllable Bit
A017: Yi Syllable Bix
A018: Yi Syllable Bi
A019: Yi silabă Bip
A01A: Yi silabă Biet
A01B: Yi silabă Biex
A01C: Yi silabă Bie
A01D: Yi silabă Biep
A01E: Yi Syllable Bat
A01F: Yi Syllable Bax
A020: Yi silabă Ba
A021: Yi Syllable Bap
A022: Yi silabă Buox
A023: Yi silabă Buo
A024: Yi Syllable Buop
A025: Yi Syllable Bot
A026: Yi Syllable Box
A027: Yi silabă Bo
A028: Yi silabă BOP
A029: Yi Syllable Bex
A02A: Yi Syllable Be
A02B: Yi Syllable Bep
A02C: Yi silabă Dar
A02D: Yi Syllable Bux
A02E: Yi silabă Bu
A02F: Yi Syllable Bup
A030: Yi silabă Burx
A031: Yi Syllable Bur
A032: Yi Syllable Byt
A033: Yi silabă Byx
A034: Yi Silabila Prin
A035: Yi Syllable Byp
A036: Yi silabă Byrx
A037: Yi Syllable Byr
A038: Yi Syllable Pit
A039: Yi Syllable Pix
A03A: Yi Syllable Pi
A03B: Yi Syllable Pip
A03C: Yi Silabă Piex
A03D: Yi Slabă Pie
A03E: Yi Syllable Piep
A03F: Yi Syllable Pat
A040: Yi Syllable Pax
A041: Yi silabă Pa
A042: Yi silabă Pap
A043: Yi Syllable Puox
A044: Yi Syllable Puo
A045: Yi Syllable Puop
A046: Yi Silable Pot
A047: Yi silabă Pox
A048: Yi Syllable Po
A049: Yi Syllable Pop
A04A: Yi Syllable Put
A04B: Yi Syllable Pux
A04C: Yi Syllable Pu
A04D: Yi Syllable Pup
A04E: Yi Syllable Purx
A04F: Yi Syllable Pur
A050: Yi Syllable Pyt
A051: Yi silabă Pyx
A052: Yi Syllable Py
A053: Yi Syllable Pyp
A054: Yi silabă Pyrx
A055: Yi silabă Pyr
A056: Yi silabă Bbit
A057: Yi silabă Bbix
A058: Yi silabă Bbi
A059: Yi Syllable Bbip
A05A: Yi Syllable Bbiet
A05B: Yi silabă Bbiex
A05C: Yi Syllable Bbie
A05D: Yi Syllable Bbiep
A05E: Yi Syllable Bbat
A05F: Yi silabă Bbax
A060: Yi silabă Bba
A061: Yi silabă Bbap
A062: Yi silabă Bbuox
A063: Yi silabă Bbuo
A064: Yi silabă Bbuop
A065: Yi Syllable Bbot
A066: Yi silabă Bbox
A067: Yi silabă Bbo
A068: Yi silabă Bbop
A069: Yi silabă Bbex
A06A: Yi Syllable Bbe
A06B: Yi Syllable Bbep
A06C: Yi Syllable Bbut
A06D: Yi silabă Bbux
A06E: Yi Syllable Bbu
A06F: Yi Syllable Bbup
A070: Yi silabă Bburx
A071: Yi Syllable Bbur
A072: Yi Syllable Bbyt
A073: Yi silabă Bbyx
A074: Yi silabă Bby
A075: Yi silabă Bbyp
A076: Yi silabă Nbit
A077: Yi silabă Nbix
A078: Yi Slabă Nbi
A079: Yi silabă Nbip
