scripts: งานเขียน
european-scripts: งานเขียนยุโรป
modifier-letters: ตัวอักษรตัวปรับเปลี่ยน
combining-marks: สัญญาณรวม
miscellaneous: มีความหลากหลาย
african-scripts: งานเขียนแอฟริกัน
middle-eastern-scripts: งานเขียนตะวันออกกลาง
central-asian-scripts: งานเขียนเอเชียกลาง
south-asian-scripts: งานเขียนเอเชียใต้
southeast-asian-scripts: งานเขียนของเอเชียตะวันออกเฉียงใต้
indonesian-philippine: สคริปต์อินโดนีเซียและฟิลิปปินส์
east-asian-scripts: งานเขียนเอเชียตะวันออก
american-scripts: งานเขียนอเมริกัน

symbols-and-punctuation: สัญลักษณ์และเครื่องหมายวรรคตอน
notational-systems: ระบบสัญกรณ์
punctuation: เครื่องหมายวรรคตอน
alphanumeric-symbols: ตัวอักษรและตัวเลข
technical-symbols: สัญลักษณ์ทางเทคนิค
numbers-and-digits: ตัวเลขและตัวเลข
mathematical-symbols: สัญลักษณ์ทางคณิตศาสตร์
emoji-and-pictographs: อิโมจิและรูปสัญลักษณ์
other-symbols: ตัวละครอื่นๆ
specials: พิเศษ
private-use: การใช้งานส่วนตัว
surrogates: เซอร์โรเกท
noncharacters-in-charts: สัญลักษณ์แบบไม่มีวิสัยในไดอะแกรม

groups.latin-ligatures: Latin Ligatures
