# __________________________________________________________
#
# Language File: Thai (ภาษาไทย) - TH by Thanapon Namjittrong
# __________________________________________________________

abkhazia        : อับฮาเซีย
afghanistan     : อัฟกานิสถาน
algeria         : แอลจีเรีย
armenia         : อาร์เมเนีย
australia       : ออสเตรเลีย
azerbaijan      : อาเซอร์ไบจาน
bahrain         : บาห์เรน
bali            : บาหลี
bangladesh      : บังกลาเทศ
bosnia          : บอสเนีย
bulgaria        : บัลแกเรีย
burma           : พม่า
butane          : ภูฏาน
cambodia        : กัมพูชา
cameroon        : แคเมอรูน
canada          : แคนาดา
china           : จีน
croatia         : โครเอเชีย
egypt           : อียิปต์
england         : อังกฤษ
eritrea         : เอริเทรีย
estland         : เอสโตเนีย
ethiopia        : เอธิโอเปีย
fiji_islands    : ฟีจี
finland         : ฟินแลนด์
france          : ฝรั่งเศส
georgia         : จอร์เจีย
germany         : เยอรมนี
goa             : กัว
greece          : กรีซ
guam            : ดินแดนกวม
guinea          : กินี
herzegovina     : เฮอร์เซโกวีนา
hungary         : ฮังการี
india           : อินเดีย
indonesia       : อินโดนีเซีย
iran            : อิหร่าน
iraq            : อิรัก
ireland         : ไอร์แลนด์
israel          : อิสราเอล
italy           : อิตาลี
jakarta         : จาการ์ตา
japan           : ญี่ปุ่น
kashmir         : กัศมีร์
kazakhstan      : คาซัคสถาน
kenya           : เคนยา
kuwait          : คูเวต
laos            : ลาว
levant          : ลิแวนต์
liberia         : ไลบีเรีย
libya           : ลิเบีย
lombok          : ลอมบอก
macedonia       : มาซิโดเนีย
malaysia        : มาเลเซีย
maldives        : มัลดีฟส์
mali            : มาลี
malta           : มอลตา
mauritius       : มอริเชียส
mesopotamia     : เมโสโปเตเมีย
moldova         : มอลโดวา
mongolia        : มองโกเลีย
montenegro      : มอนเตเนโกร
myanmar         : พม่า
nepal           : เนปาล
nigeria         : ไนจีเรีย
north_africa    : แอฟริกาเหนือ
north_korea     : เกาหลีเหนือ
north_philippines : ฟิลิปปินส์เหนือ
norway          : นอร์เวย์
pakistan        : ปากีสถาน
peru            : เปรู
philippines     : ฟิลิปปินส์
poland          : โปแลนด์
rumania         : โรมาเนีย
russia          : รัสเซีย
salvador        : เอลซัลวาดอร์
scotland        : สกอตแลนด์
serbia          : เซอร์เบีย
sierra_leone    : เซียร์ราลีโอน
singapore       : สิงคโปร์
slovenia        : สโลวีเนีย
somalia         : โซมาเลีย
south_korea     : เกาหลีใต้
sri_lanka       : ศรีลังกา
sudan           : ซูดาน
sumatra         : สุมาตรา
sweden          : สวีเดน
syria           : ซีเรีย
taiwan          : ไต้หวัน
tanzania        : แทนซาเนีย
thailand        : ไทย
tibet           : ทิเบต
turkey          : ตุรกี
uganda          : ยูกันดา
ukraine         : ยูเครน
usa             : สหรัฐอเมริกา
vietnam         : เวียดนาม
wales           : เวลส์
