title: ตัวอักษรแฟนซี
list_title: ตัวอักษรแฟนซี

square: อักษรตัวพิมพ์ใหญ่ละตินสอง
old-english: ตัวอักษรภาษาอังกฤษแบบเก่า
runic: อักษรภาษาอังกฤษสไตล์รูน

latin: ละติน
circle: ตัวอักษรละตินวงกลม
lla: จดหมาย A
llb: จดหมาย B
llc: จดหมาย C
lld: จดหมาย D
lle: จดหมาย E
llf: จดหมาย F
llg: จดหมาย G
llh: จดหมาย H
lli: จดหมาย I
llj: จดหมาย J
llk: จดหมาย K
lll: จดหมาย L
llm: จดหมาย M
lln: จดหมาย N
llo: จดหมาย O
llp: จดหมาย P
llq: จดหมาย Q
llr: จดหมาย R
lls: จดหมาย S
llt: จดหมาย T
llu: จดหมาย U
llv: จดหมาย V
llw: จดหมาย W
llx: จดหมาย X
lly: จดหมาย Y
llz: จดหมาย Z
