18B00: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b00
18B01: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b01
18B02: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b02
18B03: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b03
18B04: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b04
18B05: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b05
18B06: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b06
18B07: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b07
18B08: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b08
18B09: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b09
18B0A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0a
18B0B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0b
18B0C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0c
18B0D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0d
18B0E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0e
18B0F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b0f
18B10: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b10
18B11: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b11
18B12: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b12
18B13: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b13
18B14: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b14
18B15: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b15
18B16: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b16
18B17: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b17
18B18: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b18
18B19: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b19
18B1A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1a
18B1B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1b
18B1C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1c
18B1D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1d
18B1E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1e
18B1F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b1f
18B20: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b20
18B21: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b21
18B22: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b22
18B23: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b23
18B24: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b24
18B25: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b25
18B26: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b26
18B27: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b27
18B28: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b28
18B29: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b29
18B2A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2a
18B2B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2b
18B2C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2c
18B2D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2d
18B2E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2e
18B2F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b2f
18B30: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b30
18B31: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b31
18B32: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b32
18B33: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b33
18B34: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b34
18B35: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b35
18B36: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b36
18B37: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b37
18B38: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b38
18B39: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b39
18B3A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3a
18B3B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3b
18B3C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3c
18B3D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3d
18B3E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3e
18B3F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b3f
18B40: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b40
18B41: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b41
18B42: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b42
18B43: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b43
18B44: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b44
18B45: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b45
18B46: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b46
18B47: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b47
18B48: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b48
18B49: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b49
18B4A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4a
18B4B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4b
18B4C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4c
18B4D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4d
18B4E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4e
18B4F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b4f
18B50: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b50
18B51: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b51
18B52: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b52
18B53: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b53
18B54: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b54
18B55: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b55
18B56: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b56
18B57: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b57
18B58: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b58
18B59: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b59
18B5A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5a
18B5B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5b
18B5C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5c
18B5D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5d
18B5E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5e
18B5F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b5f
18B60: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b60
18B61: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b61
18B62: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b62
18B63: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b63
18B64: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b64
18B65: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b65
18B66: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b66
18B67: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b67
18B68: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b68
18B69: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b69
18B6A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6a
18B6B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6b
18B6C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6c
18B6D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6d
18B6E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6e
18B6F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b6f
18B70: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b70
18B71: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b71
18B72: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b72
18B73: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b73
18B74: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b74
18B75: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b75
18B76: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b76
18B77: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b77
18B78: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b78
18B79: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b79
18B7A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7a
18B7B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7b
18B7C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7c
18B7D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7d
18B7E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7e
18B7F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b7f
18B80: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b80
18B81: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b81
18B82: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b82
18B83: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b83
18B84: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b84
18B85: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b85
18B86: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b86
18B87: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b87
18B88: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b88
18B89: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b89
18B8A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8a
18B8B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8b
18B8C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8c
18B8D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8d
18B8E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8e
18B8F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b8f
18B90: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b90
18B91: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b91
18B92: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b92
18B93: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b93
18B94: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b94
18B95: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b95
18B96: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b96
18B97: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b97
18B98: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b98
18B99: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b99
18B9A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9a
18B9B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9b
18B9C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9c
18B9D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9d
18B9E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9e
18B9F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18b9f
18BA0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba0
18BA1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba1
18BA2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba2
18BA3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba3
18BA4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba4
18BA5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba5
18BA6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba6
18BA7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba7
18BA8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba8
18BA9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18ba9
18BAA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18baa
18BAB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bab
18BAC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bac
18BAD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bad
18BAE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bae
18BAF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18baf
18BB0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb0
18BB1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb1
18BB2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb2
18BB3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb3
18BB4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb4
18BB5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb5
18BB6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb6
18BB7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb7
18BB8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb8
18BB9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bb9
18BBA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bba
18BBB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bbb
18BBC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bbc
18BBD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bbd
18BBE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bbe
18BBF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bbf
18BC0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc0
18BC1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc1
18BC2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc2
18BC3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc3
18BC4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc4
18BC5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc5
18BC6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc6
18BC7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc7
18BC8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc8
18BC9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bc9
18BCA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bca
18BCB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bcb
18BCC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bcc
18BCD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bcd
18BCE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bce
18BCF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bcf
18BD0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd0
18BD1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd1
18BD2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd2
18BD3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd3
18BD4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd4
18BD5: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd5
18BD6: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd6
18BD7: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd7
18BD8: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd8
18BD9: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bd9
18BDA: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bda
18BDB: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bdb
18BDC: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bdc
18BDD: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bdd
18BDE: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bde
18BDF: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18bdf
18BE0: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be0
18BE1: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be1
18BE2: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be2
18BE3: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be3
18BE4: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18be4
