18C00: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c00
18C01: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c01
18C02: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c02
18C03: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c03
18C04: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c04
18C05: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c05
18C06: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c06
18C07: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c07
18C08: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c08
18C09: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c09
18C0A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0a
18C0B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0b
18C0C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0c
18C0D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0d
18C0E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0e
18C0F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c0f
18C10: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c10
18C11: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c11
18C12: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c12
18C13: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c13
18C14: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c14
18C15: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c15
18C16: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c16
18C17: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c17
18C18: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c18
18C19: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c19
18C1A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1a
18C1B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1b
18C1C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1c
18C1D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1d
18C1E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1e
18C1F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c1f
18C20: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c20
18C21: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c21
18C22: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c22
18C23: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c23
18C24: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c24
18C25: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c25
18C26: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c26
18C27: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c27
18C28: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c28
18C29: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c29
18C2A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2a
18C2B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2b
18C2C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2c
18C2D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2d
18C2E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2e
18C2F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c2f
18C30: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c30
18C31: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c31
18C32: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c32
18C33: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c33
18C34: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c34
18C35: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c35
18C36: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c36
18C37: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c37
18C38: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c38
18C39: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c39
18C3A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3a
18C3B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3b
18C3C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3c
18C3D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3d
18C3E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3e
18C3F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c3f
18C40: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c40
18C41: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c41
18C42: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c42
18C43: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c43
18C44: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c44
18C45: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c45
18C46: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c46
18C47: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c47
18C48: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c48
18C49: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c49
18C4A: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4a
18C4B: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4b
18C4C: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4c
18C4D: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4d
18C4E: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4e
18C4F: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c4f
18C50: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c50
18C51: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c51
18C52: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c52
18C53: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c53
18C54: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c54
18C55: คีตันตัวอักษรสคริปต์ขนาดเล็ก-18c55
