arab	: Arap
	
armenian	: Ermeni
	
avestan	: Avestan
	
balinese	: Bali
	
bamum	: Bamum
	
bashkir	: Başkurt
	
bassa-vah	: Bassa-vah
	
batak	: Batak
	
belarusian	: Belarus
	
bengali	: Bengalce
	
bopomofo	: Bopomofo. Zhuyin
	
brahmi	: Brahmi
	
buginese	: Bugince
	
buhid	: Buhid
	
bulgarian	: Bulgar
	
carian	: Karia
	
caucasian-albanian	: Kafkas arnavut
	
chakma	: Çakma
	
cham	: Cham
	
cherokee	: Cherokee
	
chinese	: Çince pinyin
	
coptic	: Kıpti
	
cypriot-syllabary	: Kıbrıs heceli
	
cyrillic	: Kiril
	
czech	: Çek
	
deseret	: Deseret
	
devanagari	: Devanagari
	
elbasan	: Elbasan
	
english	: Ingilizce
	
esperanto	: Esperanto
	
ethiopic	: Etiyopyalı Ge'ez
	
french	: Fransız
	
georgian	: Gürcüce
	
german	: Alman
	
glagolitic	: Glokalitik
	
gothic	: Gotik
	
grantha	: Grantha
	
greek	: Yunan
	
gujarati	: Gujarati
	
gurmukhi	: Gurmukhi
	
hangul	: Hangul
	
hanunoo	: Hanunoo
	
hebrew	: İbranice
	
hungarian	: Macarca
	
imperial-aramaic	: İmparator Aramic
	
international-phonetic-alphabet	: Uluslararası fonetik
	
italian	: İtalyan
	
japanese-hiragana	: Japon hiragana
	
japanese-katakana	: Japon katakana
	
javanese	: Cava
	
kaithi	: Kaithi
	
kannada	: Kannada
	
kayah-li	: Kayah li
	
kazakh	: Kazak
	
kharoshthi	: Kharoshthi
	
khmer	: Kmer
	
khojki	: Khojki
	
khudawadi	: Kudwadi
	
lao	: Lao
	
latin	: Latin
	
lepcha	: Lepcha
	
limbu	: Limbu
	
linear-b-Syllabary	: Doğrusal B hece
	
lisu	: Lisu
	
lycian	: Likya
	
lydian	: Lydia
	
nabataean	: Nabataean
	
mahajani	: Mahajani
	
malayalam	: Malayalam
	
mandaic	: Mandal
	
manichaean	: Maniheae
	
meetei-mayek	: Meetei mayek
	
mende-kikakui	: Mende kikakui
	
meroitic-cursive	: Meroitik parmakla
	
modi	: Mod
	
mongolian	: Moğolca
	
mro	: Mro
	
myanmar	: Myanmar
	
new-tai-lue	: Yeni tai lue
	
nko	: Nko
	
ogham	: Ngham
	
ol-chiki	: Ol chiki
	
old-italic	: Eski italik etruscan
	
old-north-arabian	: Eski kuzey arabian
	
old-permic	: Eski permik
	
old-persian	: Eski persian
	
old-south-arabian	: Eski güney arabian
	
old-turkic	: Eski türk rik
	
oriya	: Oriya
	
osmanya	: Osmanya
	
pahawh-hmong	: Harfi harf
	
pahlavi	: Pehlevi
	
palmyrene	: Palmyrene
	
pau-cin-hau	: Pau cin hau
	
phags-pa	: Phags-pa
	
phoenician	: Fenike
	
polish	: Lehçe
	
pollard	: Pollard
	
rejang	: Rejangını rejang
	
runic	: Akik
	
russian	: Rus
	
samaritan	: Samaritan
	
saurashtra	: Saurashtra
	
sharada	: Sharada
	
shavian	: Şiav
	
siddham	: Siddham
	
sinhala	: Sinhala
	
sora-sompeng	: Sora sampeng
	
spanish	: İspanyol
	
sundanese	: Sunda Dili

swedish	: İsveççe

syloti-nagri	: Syloti nagri
	
syriac	: Süryanice
	
tagalog	: Tagalog
	
tagbanwa	: Tagbanwa
	
tai-le	: Tai le
	
tai-tham	: Tai tham
	
tai-viet	: Tai viet
	
takri	: Takri
	
tamil	: Tamil
	
tatar	: Tatar
	
telugu	: Telugu
	
thaana	: Thaana
	
thai	: Taylandlı
	
tibetan	: Tibet
	
tifinagh	: Tifinagh
	
tirhuta	: Tirhuta
	
turkish	: Türkçe
	
ugaritic	: Ugarit
	
ukrainian	: Ukraynaca
	
unified-canadian-aboriginal-syllabics	: Birleşik kanada aborijin heceli
	
vai	: Vai heceli
	
varang-kshiti	: Varang kshiti
	
yi-syllables	: Yi heceli 
