control-character 	: Kontrol karakteri
basic-latin     	: Temel latin
latin-1-supplement 	: Latin-1 ek
latin-extended-a 	: Latin genişletilmiş-A
latin-extended-b 	: Latin genişletilmiş-B
ipa-extensions  	: IPA uzantıları
spacing-modifier-letters 	: Boşluk değiştirici harfler
combining-diacritical-marks 	: Aksan işaretlerini birleştirmek
greek-coptic    	: Yunanca ve Kıpti
cyrillic        	: Kiril
cyrillic-supplement 	: Kiril Ek
armenian        	: Ermeni
hebrew          	: İbranice
arabic          	: Arapça
syrian          	: Süryanice
arabic-supplement 	: Arapça Ek
thaana          	: Thaana
nko             	: NKo
samaritan       	: Samaritan
mandaic         	: Mandence
arabic-extended-a 	: Arapça Genişletilmiş-A
devanagari      	: Devanagari
bengali         	: Bengalce
gurmukhi        	: Gurmukhi
gujarati        	: Gujarati
oriya           	: Oriya
tamil           	: Tamil
telugu          	: Telugu
kannada         	: Kannada
malayalam       	: Malayalam
sinhala         	: Sinhala
thai            	: Tay dili
lao             	: Lao
tibetan         	: Tibetçe
myanmar         	: Myanmar
georgian        	: Gürcüce
hangul-jamo     	: Hangul Jamo
ethiopic        	: Etiyopyalı
ethiopic-supplement 	: Etiyopyalı Ek
cherokee        	: Cherokee
unified-canadian-aboriginal-syllabics 	: Birleşik kanada aborijin heceli
ogham           	: Ogham
runic           	: Rünik
tagalog         	: Tagalog
hanunoo         	: Hanunoo
buhid           	: Buhid
tagbanwa        	: Tagbanwa
khmer           	: Khmer
mongolian       	: Moğolca
unified-canadian-aboriginal-syllabics-extended 	: Birleşik kanada aborijin heceli Genişletilmiş
limbu           	: Limbu
tai-le          	: Tai Le
new-tai-lue     	: New Tai Lue
khmer-symbols   	: Khmer Sembolleri
buginese        	: Buginese
tai-tham        	: Tai Tham
balinese        	: Balinese
sundanese       	: Sunda Dili
batak           	: Batak
lepcha          	: Sevgilim
ol-chiki        	: Ol Chiki
cyrillic-extended-c	: Kiril Uzatılmış C
sundanese-supplement 	: Sundaese Supplement
vedic-extensions 	: Vedik Uzantılar
phonetic-extensions 	: Fonetik Uzantılar
phonetic-extensions-supplement 	: Fonetik Uzantıları Ek
combining-diacritical-marks-supplement 	: Aksanlı Marks Eklentisini Birleştirme
latin-extended-additional 	: Latin Genişletilmiş Ek
greek-extended  	: Yunanca Genişletilmiş
general-punctuation 	: Genel Noktalama İşaretleri
superscripts-and-subscripts 	: Üst simgeler ve alt simgeler
currency-symbols 	: Para birimi sembolleri
combining-diacritical-marks-for-symbols 	: Semboller için aksan işaretleri birleştirmek
letterlike-symbols 	: Harf benzeri semboller
number-forms    	: Sayı formları
arrows          	: Oklar
mathematical-operators 	: Matematiksel operatörler
miscellaneous-technical 	: Çeşitli teknik
control-pictures 	: Resimleri kontrol et
optical-character-recognition 	: Optik karakter tanıma
enclosed-alphanumerics 	: Kapatılan alfasayısal sayılar
box-drawing     	: Kutu çizimi
block-elements  	: Blok elemanları
geometric-shapes 	: Geometrik şekiller
miscellaneous-symbols 	: Çeşitli semboller
dingbats        	: Boynuzlar
