abkhazia        	: Abhazya
afghanistan     	: Afganistan
algeria         	: Cezayir
armenia         	: Ermenistan
australia       	: Avustralya
azerbaijan      	: Azerbaycan
bahrain         	: Bahreyn
bali            	: Bali
bangladesh      	: Bangladeş
bosnia          	: Bosna
bulgaria        	: Bulgaristan
burma           	: Burma
butane          	: Bütan
cambodia        	: Kamboçya
cameroon        	: Kamerun
canada          	: Kanada
china           	: Çin
croatia         	: Hırvatistan
egypt           	: Mısır
england         	: İngiltere
eritrea         	: Eritre
estland         	: Estland
ethiopia        	: Etiyopya
fiji_islands    	: Fiji Adaları
finland         	: Finlandiya
france          	: Fransa
georgia         	: Gürcistan
germany         	: Almanya
goa             	: Goa
greece          	: Yunanistan
guam            	: Guam
guinea          	: Gine
herzegovina     	: Herzegovina
hungary         	: Macaristan
india           	: Hindistan
indonesia       	: Endonezya
iran            	: İran
iraq            	: Irak
ireland         	: İrlanda
israel          	: İsrail
italy           	: İtalya
jakarta         	: Jakarta
japan           	: Japonya
kashmir         	: Keşmir
kazakhstan      	: Kazakistan
kenya           	: Kenya
kuwait          	: Kuveyt
laos            	: Laos
levant          	: Levant
liberia         	: Liberya
libya           	: Libya
lombok          	: Lombok
macedonia       	: Makedonya
malaysia        	: Malezya
maldives        	: Maldivler
mali            	: Mali
malta           	: Malta
mauritius       	: Mauritius
mesopotamia     	: Mezopotamya
moldova         	: Moldova
mongolia        	: Moğolistan
montenegro      	: Karadağ
myanmar         	: Myanmar
nepal           	: Nepal
nigeria         	: Nijerya
north_africa    	: Kuzey Afrika
north_korea     	: Kuzey Kore
north_philippines 	: Kuzey Filipinler
norway          	: Norveç
pakistan        	: Pakistan
peru            	: Peru
philippines     	: Filipinler
poland          	: Polonya
rumania         	: Romanya
russia          	: Rusya
salvador        	: Salvador
scotland        	: İskoçya
serbia          	: Sırbistan
sierra_leone    	: Sierra-Leone
singapore       	: Singapur
slovenia        	: Slovenya
somalia         	: Somali
south_korea     	: Güney Kore
sri_lanka       	: Sri Lanka
sudan           	: Sudan
sumatra         	: Sumatra
sweden          	: İsveç
syria           	: Suriye
taiwan          	: Tayvan
tanzania        	: Tanzanya
thailand        	: Tayland
tibet           	: Tibet
turkey          	: Türkiye
uganda          	: Uganda
ukraine         	: Ukrayna
usa             	: Amerika Birleşik Devletleri
vietnam         	: Vietnam
wales           	: Galler
