abkhazian       	: Abhazca
ainu            	: Ainu
arabic          	: Arapça
armenian        	: Ermeni
amharic         	: Amharca
balinese        	: Balinese
bamum           	: Bamum
batak           	: Batak
bengali         	: Bengalce
buhid           	: Buhid
buginese        	: Buginese
bulgarian       	: Bulgarca
burmese         	: Burmaca
celtic          	: Keltik
cham            	: Cham
cherokee        	: Cherokee
chinese         	: Çince
cia-cia         	: Cia-cia
coptic          	: Coptik
cree            	: Cree
croatian        	: Hırvat
dravidian       	: Kabadayılık
ethiopian-semitic 	: Etiyopyacı semitik
english         	: ingilizce
french          	: Fransızca
georgian        	: Gürcistanlı
german          	: Almanca
greek           	: Yunan
hanunoo         	: Hanunoo
hebrew          	: İbranice
hindi           	: Hintçe
hungarian       	: Macarca
italian         	: İtalyan
indian          	: Hintli
japanese        	: Japonca
javanese        	: Cava
kayah           	: Kayah
khmer           	: Kmer
komi            	: Komi
korean          	: Koreli
kurd            	: Kürt
laotian         	: Laotik
lepcha          	: Lepcha
limbu           	: Limb
lisu            	: Lisu
makassarese     	: Makassar
maldivian       	: Maldivler
maltese         	: Maltalı
mandaic         	: Mandaik
mandar          	: Mandaralı
marathi         	: Marathi
mongolian       	: Moğolca
nko             	: Nko
okinawan        	: Okinawan
old-church-slavic 	: Eski kilise slavik
old-italic      	: Eski italik
oriya           	: Oriya
palauan         	: Palauan
palaun          	: Palaun
pali            	: Pali
polish          	: Lehçe
punjabi         	: Punjabi
persian         	: Farsça
pictish         	: Resim
primitive-irish 	: Ilkel İrlandalı
rejang          	: Rejang
runic           	: Rünik
russian         	: Rusça
sanskrit        	: Sanskritçe
santali         	: Santali
sami            	: Sami
sasak           	: Sasak
saurashtra      	: Saurashtra
sinhalese       	: Sinhalese
slovenian       	: Slovenya ait
sundanese       	: Sundae
sylheti         	: Sylheti
syrian          	: Suriye
tagalog         	: Tagalog
tamil           	: Tamil
telugu          	: Telugu
thai            	: Taylandlı
tibetan         	: Tibetçe
tigtinya        	: Tigtinya
tuareg          	: Tuareg
turkish         	: Türk
ukrainian       	: Ukrayna
uyghur          	: Uyghur
vai             	: Vai
vietnamese      	: Vietnam
yi              	: Yi
yiddish         	: Yidiş
