popular	: En popüler karakterler
new-year-and-christmas-symbols	: Noel ve Yılbaşı sembolleri
stars-symbols	: Yıldız sembolleri
olympic-symbols	: Olimpik semboller
emoji	: Emoji
chess-symbols	: Satranç sembolleri
hearts-symbols	: Kalp sembolleri
signs-of-the-zodiac	: Burç simgeleri
suits-of-the-cards	: Kartların takımları
currency-symbols	: Para birimi sembolleri
office-accessory-symbols	: Ofis aksesuar sembolleri
arrows-symbols	: Ok simgesi
quotation-marks	: Alıntı işaretleri
special-symbols	: Özel semboller
sea-symbols	: Deniz teması sembolleri
music-symbols	: Müzik sembolleri
flowers-symbols	: Çiçek sembolleri
greek-symbols	: Yunan simgeleri
social-symbols	: Facebook sembolleri
esperanto	: Esperanto
animals	: Hayvanlar
valentine	: Sevgililer Günü
planets	: Gezegenler
Roman-numerals	: Roma rakamları
nickname-symbols	: Kullanıcı adı sembolleri
crosses	: Haçlar
symbols-vk	: Facebook için kolayca semboller
punctuation-marks	: Noktalama işaretleri
