abkhazia        : Абхазия
afghanistan     : Афганистан
algeria         : Алжир
armenia         : Армения
australia       : Австралия
azerbaijan      : Азербайджан
bahrain         : Бахрейн
bali            : Бали
bangladesh      : Бангладеш
bosnia          : Босния
bulgaria        : Болгария
burma           : Бирма
butane          : Бутан
cambodia        : Камбоджа
cameroon        : Камерун
canada          : Канада
china           : Китай
croatia         : Хорватия
egypt           : Египет
england         : Англия
eritrea         : Эритрея
estland         : Эстония
ethiopia        : Эфиопия
fiji_islands    : Фиджи
finland         : Финляндия
france          : Франция
georgia         : Грузия
germany         : Германия
goa             : Гоа
greece          : Греция
guam            : Гуам
guinea          : Гвинея
herzegovina     : Герцеговина
hungary         : Венгрия
india           : Индия
indonesia       : Индонезия
iran            : Иран
iraq            : Ирак
ireland         : Ирландия
israel          : Израиль
italy           : Италия
jakarta         : Джакарта
japan           : Япония
kashmir         : Кашмир
kazakhstan      : Казахстан
kenya           : Кения
kuwait          : Кувейт
laos            : Лаос
levant          : Левант
liberia         : Либерия
libya           : Ливия
lombok          : Ломбок
macedonia       : Македония
malaysia        : Малайзия
maldives        : Мальдивы
mali            : Мали
malta           : Мальта
mauritius       : Маврикий
mesopotamia     : Месопотамия
moldova         : Молдова
mongolia        : Монголия
montenegro      : Черногория
myanmar         : Мьянма
nepal           : Непал
nigeria         : Нигерия
north_africa    : Северная Африка
north_korea     : КНДР
north_philippines : Северные Филиппины
norway          : Норвегия
pakistan        : Пакистан
peru            : Перу
philippines     : Филиппины
poland          : Польша
rumania         : Румыния
russia          : Россия
salvador        : Сальвадор
scotland        : Шотландия
serbia          : Сербия
sierra_leone    : Сьерра-Леоне
singapore       : Сингапур
slovenia        : Словения
somalia         : Сомали
south_korea     : Южная Корея
sri_lanka       : Шри-Ланка
sudan           : Судан
sumatra         : Суматра
sweden          : Швеция
syria           : Сирия
taiwan          : Тайвань
tanzania        : Танзания
thailand        : Таиланд
tibet           : Тибет
turkey          : Турция
uganda          : Уганда
ukraine         : Украина
usa             : США
vietnam         : Вьетнам
wales           : Уэльс
